candidate_id,candidate_event_type,suggested_review_decision,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,event_scope,auto_quality_score,eligible_for_stratified,block_reasons,title,source
cand_00055,exchange_listing,exclude,,,,unknown,-85,False,"suggested_exclude,missing_asset_flag,missing_asset_symbol,missing_binance_symbol",戴尔：连续表态（共 2 条）,news:jin10
cand_00056,exchange_listing,exclude,,,,unknown,-85,False,"suggested_exclude,missing_asset_flag,missing_asset_symbol,missing_binance_symbol",戴尔：连续表态（共 4 条）,news:jin10
cand_00020,hack_security,include,BNB,BNBUSDT,BNBUSDT,multi_asset,85,False,multi_asset_score_below_90,The XRP Asian Breakout: Japan And South Korea Lead The Charge | Bitcoinist.com,news:bitcoinist
cand_00038,hack_security,include,BTC,BTCUSDT,BTCUSDT,multi_asset,85,False,multi_asset_score_below_90,星球早讯,news:odaily_exchange_gap
cand_00164,hack_security,include,BNB,BNBUSDT,BNBUSDT,multi_asset,85,False,multi_asset_score_below_90,HYPE Jumps On Bitwise’s Hyperliquid ETF Move—Galaxy Secures BitLicense In NY | Bitcoinist.com,news:bitcoinist
cand_00220,hack_security,include,ADA,ADAUSDT,ADAUSDT,multi_asset,85,False,multi_asset_score_below_90,Ethereum Institutional Adoption Expands: ETH Held In Corporate Reserves Climbs To New Landmark | Bitcoinist.com,news:bitcoinist
cand_00297,hack_security,include,BNB,BNBUSDT,BNBUSDT,multi_asset,85,False,multi_asset_score_below_90,Patrick Witt Teases ‘Breakthrough’ On US Bitcoin Reserve,news:bitcoinist
cand_00371,hack_security,include,BNB,BNBUSDT,BNBUSDT,multi_asset,85,False,multi_asset_score_below_90,"Analyst Predicts Bitcoin And Ethereum Price For The Rest Of 2026, What To Expect | Bitcoinist.com",news:bitcoinist
cand_00427,hack_security,include,ADA,ADAUSDT,ADAUSDT,multi_asset,85,False,multi_asset_score_below_90,Ethereum Founder Vitalik Buterin Says AI Verification Could Help Secure Crypto Networks - Decrypt,news:decrypt
cand_00472,hack_security,include,BNB,BNBUSDT,BNBUSDT,multi_asset,85,False,multi_asset_score_below_90,XRP’s Recent Strategic Setup Could Mark The End For Bears - Crypto Analyst Says | Bitcoinist.com,news:bitcoinist
