candidate_id,label_source,title,source,published_at_china,primary_asset_symbol,event_type_l1,event_type_l2,event_scope,channel_route,relevance_score_realtime,review_focus,manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes
cand_00247,publish_review,美国证券交易委员会准备允许基于区块链的代币化股票交易,webhook,2026-05-19 05:05:34 UTC+8,,project_business,rwa_tokenization,unknown,research_only,58.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,project_business,rwa_tokenization,,research_only,yes,auto_fill_unlabeled(conf=0.5)
cand_00317,publish_review,"⚡️REVOLUT LAUNCHES FIRST PHYSICAL CRYPTO CARD

Revolut unveiled its first physical crypto card as crypto-linked payments",webhook,2026-05-19 03:45:00 UTC+8,,project_business,payment_adoption,unknown,research_only,58.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,project_business,payment_adoption,,research_only,yes,auto_fill_unlabeled(conf=0.5)
cand_00422,publish_review,Revolut unveils first physical crypto card as industry-wide card usage grows,webhook,2026-05-19 01:39:32 UTC+8,,project_business,payment_adoption,unknown,research_only,58.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,project_business,payment_adoption,,research_only,yes,auto_fill_unlabeled(conf=0.5)
cand_00274,publish_review,币安链推出BNBAgent SDK，支持AI代理使用链上身份,webhook,2026-05-19 04:30:17 UTC+8,,network_upgrade,upgrade_or_fork,unknown,research_only,60.25,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,network_upgrade,upgrade_or_fork,,research_only,yes,auto_fill_unlabeled(conf=0.6)
cand_00188,publish_review,"P2P stablecoin transfers on @0xPolygon up 66.7% from Jan to April 🔥

every month bigger than the last. HIGHER! https://t",webhook,2026-05-19 06:13:03 UTC+8,,stablecoin_flow,stablecoin,unknown,research_only,61.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,stablecoin_flow,stablecoin,,research_only,yes,auto_fill_unlabeled(conf=0.6)
cand_00314,publish_review,消费者对企业的稳定币交易量同比增长128%,webhook,2026-05-19 03:50:17 UTC+8,,stablecoin_flow,stablecoin,unknown,research_only,61.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",keep_review,stablecoin_flow,stablecoin,,research_only,yes,auto_fill_unlabeled(conf=0.6)
cand_00235,publish_review,🇺🇸 NEW: U.S. Securities and Exchange Commission is preparing to allow blockchain-based trading of tokenized stocks.,webhook,2026-05-19 05:13:55 UTC+8,,regulation_macro,regulation,unknown,macro_policy,61.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_fill_unlabeled(conf=0.7)
cand_00149,publish_review,美国SEC最快本周推出代币化股票创新豁免框架,webhook,2026-05-19 06:52:06 UTC+8,,regulation_macro,regulation,unknown,macro_policy,61.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_fill_unlabeled(conf=0.7)
cand_00318,publish_review,Zerohash Europe获得荷兰央行电子货币机构牌照,webhook,2026-05-19 03:44:17 UTC+8,,regulation_macro,license,unknown,macro_policy,61.75,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required",approve_publish,regulation_macro,license,,macro_policy,yes,auto_fill_unlabeled(conf=0.7)
cand_00212,publish_review,"This is absolutely insane.

9 connected Polymarket accounts just netted +$2.4 million betting on the Iran war.

The win",webhook,2026-05-19 05:45:00 UTC+8,,regulation_macro,macro,market_wide,macro_policy,60.25,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80)
