event_id,event_time_utc,event_date_utc,source,candidate_source,author,source_id,abnormal_vs_btc_24h,title
cand_01916,2026-05-20T00:20:58Z,2026-05-20,webhook,webhook,,webhook,0.155904,"Whale 0xde42 sold 50K $HYPE ($2.41M) over the past 10 hours while also opening a 10x short on 223,404 $HYPE($10.55M).

h"
cand_01883,2026-05-20T00:58:40Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.168782,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 新开仓!
cand_01877,2026-05-20T01:04:39Z,2026-05-20,webhook,webhook,,webhook,0.166404,"Whale Loracle.hl (@loraclexyz) has started opening a $LIT (3x) long position, currently valued at ~$1M and it’s still in"
cand_01844,2026-05-20T01:42:41Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.179194,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈扩大！
cand_01835,2026-05-20T01:48:40Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.176597,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01826,2026-05-20T02:03:39Z,2026-05-20,webhook,webhook,,webhook,0.159375,a16z crypto相关地址成为HYPE第六大持仓实体
cand_01793,2026-05-20T02:52:40Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.159498,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01693,2026-05-20T05:52:40Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.155999,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01590,2026-05-20T08:14:44Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.195324,【ZEC最大空头】HYPE 空单 摊平 啦!
cand_01577,2026-05-20T08:38:41Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.198224,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_01529,2026-05-20T09:30:06Z,2026-05-20,webhook,webhook,,webhook,0.20201,"随着 $HYPE 来到 $49，去年 11 月份以 $38.6 的价格追高开多 138 万枚 $HYPE ($6740 万) 的鲸鱼，目前浮盈 $1400 万了。

好奇这老哥是准备要到啥价位才会平仓，他这个 HYPE 多单已经开了 7 个"
cand_01483,2026-05-20T10:28:40Z,2026-05-20,tg:HyperInsight,tg:HyperInsight,,tg:hyperinsight,0.171502,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
