event_id,asset_symbol,source,title,hack_subtype,matched_reason,abnormal_vs_btc_24h,status
cand_04490,SOL,news:cryptonews,Is Q-Day crypto’s next threat as blockchains rush quantum fixes?,active_exploit,\bstolen\b,-0.005313890093266105,ok
cand_04117,SOL,webhook,"🚀@GoPlusSecurity is now live on the @wallet Plugin Store.

Users can now access GoPlus security protection directly thro",hack_unclear,,0.003660284867480934,ok
cand_04079,AAVE,webhook,Aave restores Ether borrowing limits after $230 million exploit,active_exploit,\bexploit\b,0.008158343551856628,ok
cand_03933,LINK,news:utoday,Crypto Users Warn of Official-Looking Phishing Emails: Exchange and DeFi Users Targeted - U.Today,fund_recovery,\brecovery\b,0.01579867755381681,ok
cand_03916,AAVE,webhook,AAVE恢复WETH抵押限额，正常运营,hack_unclear,,0.0004667392183252961,ok
cand_03399,XRP,news:coinpaper,Crude Oil Prices: Brent and WTI Rise as Markets Respond to Trump-Xi Trade Talks,regulatory_enforcement,\bsanction,-0.013665389574804565,ok
cand_02824,BNB,news:utoday,BNB Reveals Biggest Challenge of Post-Quantum Network Migrations - U.Today,hack_unclear,,-0.002449109924462456,ok
cand_01769,LINK,webhook,Bitwise研究院：资金从LayerZero迁移至Chainlink CCIP,hack_unclear,,0.008241319544891823,ok
cand_01767,LINK,webhook,吴说获悉，Bitwise 加密研究院 Ishmael Asad 发文表示，在 rsETH 攻击事件后，资金在从 LayerZero 向 Chainlink CCIP 迁移，其中 LayerZero 日活跃地址数已跌至近三年来的最低点，ZRO,hack_unclear,,0.008852800458032162,ok
cand_01439,XRP,news:coinpedia,Why Is Elizabeth Warren Attacking Ripple? The Answer Reveals Who Really Fears the CLARITY Act,hack_unclear,generic_attack_language,0.0009841676124067167,ok
cand_01143,XRP,news:utoday,Ripple CLO Alderoty Breaks Down What Clarity Act Really Means for US Market - U.Today,hack_unclear,,-0.006961840539358222,ok
cand_04990,AAVE,news:decrypt,What Is AI Jailbreaking? A Beginner's Guide to the Cat-and-Mouse Game Behind Every Chatbot - Decrypt,security_disclosure,\bvulnerability\b,0.015356832716775237,ok
