candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags,auto_quality_score,suggested_reason,suggested_review_decision,review_priority,parsed_backtest_time_utc,event_age_hours,horizon_status,is_mature_72h
cand_01916,2056892904904474930,2026-05-20T00:20:58Z,2026-05-20 08:20:58 UTC+8,2026-05-20T00:20:58Z,2026-05-20 08:20:58 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 08:20:58 UTC+8,2026-05-20T00:20:58Z,2026-05-20 08:20:58 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Whale 0xde42 sold 50K $HYPE ($2.41M) over the past 10 hours while also opening a 10x short on 223,404 $HYPE($10.55M).

h","Whale 0xde42 sold 50K $HYPE ($2.41M) over the past 10 hours while also opening a 10x short on 223,404 $HYPE($10.55M).

https://t.co/M6A6tlQVz0 https://t.co/tZIpluc6jI",webhook,,HYPE,,HYPEUSDT,whale_position,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T00:20:58Z,202.6125,mature_72h,true
cand_01946,2056884346032898078,2026-05-19T23:46:57Z,2026-05-20 07:46:57 UTC+8,2026-05-19T23:46:57Z,2026-05-20 07:46:57 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 07:46:57 UTC+8,2026-05-19T23:46:57Z,2026-05-20 07:46:57 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,吴说获悉，彭博 ETF 分析师 James Seyffart 表示，Truth Social 已撤回其比特币 ETF 申请。他认为，此举可能与现货比特币 ETF 市场竞争加剧有关，尤其是在 Morgan Stanley 推出费率仅 14 个,吴说获悉，彭博 ETF 分析师 James Seyffart 表示，Truth Social 已撤回其比特币 ETF 申请。他认为，此举可能与现货比特币 ETF 市场竞争加剧有关，尤其是在 Morgan Stanley 推出费率仅 14 个基点的 MSBT 后。Seyffart 同时表示，相比继续推出新的现货比特币 ETF，Truth Social 后续可能更倾向于推出基于《1940 年投资公司法》框架、策略更灵活的加密 ETF 产品。https://t.co/auVKD2VX40,webhook,,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T23:46:57Z,203.1794,mature_72h,true
cand_01269,news:1023:e7fa3f14bf85566b,2026-05-20T13:57:32Z,2026-05-20 21:57:32 UTC+8,2026-05-20T13:57:32Z,2026-05-20 21:57:32 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-20 21:57:32 UTC+8,2026-05-20T13:57:32Z,2026-05-20 21:57:32 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Algorand price approaches golden cross amid Robinhood listing, will it reclaim $0.20?","Algorand price has started regaining momentum this month as traders rotate back into select layer-1 tokens supported by improving technical structures, rising on-chain activity, and fresh exchange accessibility catalysts.

According to data from crypto.news, Algorand ( ALGO ) price traded around $0.114 at press time on May 20 after climbing more than 39% from its March lows near $0.082. The token has also stabilized above the key psychological $0.10 zone for several consecutive weeks, suggesting buyers are beginning to defend higher support levels after months of sustained downside pressure.

One of the biggest catalysts supporting Algorand’s recent recovery is its official launch on Robinhood Crypto for users across the United States. The rollout significantly expands retail access to ALGO and potentially introduces a fresh source of liquidity from millions of American users who can now directly trade the token through one of the most widely used brokerage applications in the country.

The listing also follows Robinhood Europe’s earlier support for Algorand, meaning the token is now available to both U.S. and European users through the platform. Historically, major exchange accessibility expansions have often improved visibility and trading activity for mid-cap crypto assets seeking to recover from prolonged bearish cycles.

At the same time, Algorand has continued benefiting from improving regulatory sentiment in Asia. Earlier this year, the token was officially green-listed by Japan’s Virtual and Crypto Assets Exchange Association, or JVCEA, allowing licensed exchanges in the country to offer the asset more freely to local investors. The development triggered a strong rally at the time and helped reinforce investor confidence surrounding the project’s long-term regulatory positioning.

Additional support has also emerged from growing optimism surrounding the Real-World Asset tokenization sector. Algorand has increasingly positioned itself as an institutional-grade blockchain due to its sub-penny transaction costs, instant finality, and long track record of network uptime.

The network has recently seen notable increases in transaction activity, developer engagement, and wallet participation despite ALGO still trading far below its historical highs. Such divergence between network fundamentals and token price often attracts speculative buyers looking for undervalued ecosystems with improving utility metrics.

Staci Warden, CEO of the Algorand Foundation, previously emphasized the network’s focus on institutional-scale infrastructure and tokenization use cases.

“The future of finance will be built on blockchain infrastructure that institutions can actually trust and scale,” Warden said during a recent industry panel discussing tokenized assets and blockchain adoption.

That institutional narrative has become increasingly important as capital continues rotating toward blockchain networks viewed as suitable for tokenized treasuries, payment infrastructure, and enterprise settlement systems.

On the daily chart, Algorand price is now approaching one of its most important technical milestones in months: a potential golden cross formation between the 50-day and 200-day simple moving averages.

Currently, the 50-day SMA sits near $0.1137 while the 200-day SMA is positioned around $0.1163. The gap between both indicators has narrowed substantially over the past several weeks as ALGO maintained a sequence of higher lows following its March bottom near $0.08.

A golden cross occurs when the shorter-term moving average crosses above the longer-term average, signaling that medium-term momentum is beginning to overpower the broader bearish trend. Traders often interpret such crossovers as the early stages of a larger macro trend reversal.

The current structure also appears constructive because Algorand has already reclaimed its 50-day SMA and continues consolidating directly beneath the 200-day SMA resistance zone. This suggests buyers are attempting to build enough momentum for a decisive breakout rather than immediately rejecting from overhead resistance.

Meanwhile, the Aroon indicator is flashing increasingly bullish signals. Aroon Up currently sits around 85.7, while Aroon Down has dropped close to 14.2, indicating that bullish momentum is dominating recent price action and that recent highs are occurring more frequently than recent lows.

The broader chart structure also suggests Algorand may have already formed a major macro bottom between the $0.08 and $0.09 range after spending months in a prolonged accumulation phase.

Technical analysts are closely watching whether ALGO can successfully reclaim the 200-week SMA positioned near the $0.19 to $0.20 region. Historically, reclaiming the 200-week moving average has often marked the beginning of stronger recovery phases across major crypto assets emerging from deep bear markets.

If the current golden cross confirms alongside a broader altcoin market recovery, that confluence could significantly strengthen bullish momentum toward the $0.20 resistance threshold.

Despite the improving setup, Algorand still faces several major hurdles before confirming a full long-term trend reversal.

First, the $0.12 to $0.14 region remains a heavy supply zone where sellers repeatedly rejected previous recovery attempts earlier this year. A decisive breakout above this range would likely be required before traders seriously begin targeting the $0.20 psychological level.

In addition, Algorand continues trading substantially below its major 2024 highs, meaning many long-term holders may still look to exit positions during relief rallies after enduring prolonged drawdowns throughout the broader market downturn.

Macro conditions also remain an important risk factor. Crypto markets continue reacting sharply to U.S. monetary policy expectations, Treasury yield volatility, and broader risk appetite conditions. If Bitcoin loses momentum or macroeconomic uncertainty intensifies again, altcoins like Algorand could struggle to sustain recovery rallies regardless of improving fundamentals.

Still, one factor working in Algorand’s favor is its relatively stable tokenomics structure compared to many competing layer-1 networks. Approximately 89% of ALGO’s 10 billion maximum supply is already circulating in the market, meaning the ecosystem faces far less structural dilution pressure from future token unlocks.

That matters because many altcoins experiencing strong rallies often face immediate sell pressure from large insider or treasury unlock schedules. Algorand’s comparatively mature circulating supply profile reduces that risk and allows spot demand to have a more direct impact on price action.

The improving technical structure, Robinhood expansion, institutional tokenization narrative, and strengthening on-chain activity together suggest Algorand may finally be entering the early stages of a broader recovery cycle after spending years under sustained bearish pressure.

For now, the most important level to watch remains the 200-day SMA near $0.116. A clean breakout above that resistance, followed by confirmation of the golden cross, could significantly improve the probability of a move toward the long-term $0.20 target over the coming months.

However, failure to hold above the 50-day SMA near $0.113 would weaken the current bullish setup and potentially expose the token to another retest of lower support zones near $0.10 and $0.08.

Disclosure: This article does not represent investment advice. The content and materials featured on this page are for educational purposes only.",news:cryptonews,https://crypto.news/algorand-price-approaches-golden-cross-amid-robinhood-listing-will-it-reclaim-0-20/,BTC,BTCUSDT,BTCUSDT,token_unlock,risk,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T13:57:32Z,189.0031,mature_72h,true
cand_01956,2056880443480576489,2026-05-19T23:31:27Z,2026-05-20 07:31:27 UTC+8,2026-05-19T23:31:27Z,2026-05-20 07:31:27 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 07:31:27 UTC+8,2026-05-19T23:31:27Z,2026-05-20 07:31:27 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Verus与以太坊跨链桥遭攻击，损失超1100万美元,币界网消息，据区块链安全公司Blockaid报道，Verus与以太坊之间的跨链桥遭到攻击，损失超过1100万美元，成为2026年以来第八起跨链桥安全事件，全年相关损失累计接近3.29亿美元。Blockaid表示，此次漏洞与2022年Wormhole与Nomad跨链桥攻击存在相似之处，问题在于桥接验证流程未正确检查源链交易参数与以太坊侧支付数据是否一致，而修复漏洞仅需约10行代码。攻击发生后，Verus网络部分出块节点主动下线，链上出块一度暂停。,webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,true,include,,market_wide_event,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T23:31:27Z,203.4378,mature_72h,true
cand_01530,news:2012:e8e758c57e57ddce,2026-05-20T09:28:07Z,2026-05-20 17:28:07 UTC+8,2026-05-20T09:28:07Z,2026-05-20 17:28:07 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-20 17:28:07 UTC+8,2026-05-20T09:28:07Z,2026-05-20 17:28:07 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,UP即将上线Bitget PoolX，锁仓ETH解锁125万枚UP,"Bitget PoolX 即将上线项目 UP，锁仓 ETH 解锁 1,250,000 枚 UP，个人锁仓上限 1,500 枚 ETH。锁仓通道开放时间为 5 月 20 日 19:00 至 5 月 27 日 19:00（UTC+8）。此外，活动期间净充值为正的用户，可在活动结束后获得 5% ETH 理财加息券；首次参与 PoolX 且满足净充值条件的用户，可获得 15% ETH 加息券。净充值统计时间为 5 月 20 日 17:00 至 5 月 26 日 17:00（UTC+8）。更多详情可参阅 Bitget 官方平台。",news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/482770,ETH,ETHUSDT,ETHUSDT,exchange_listing,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T09:28:07Z,193.4933,mature_72h,true
cand_01721,news:2001:2afe0615deade7b3,2026-05-20T05:00:00Z,2026-05-20 13:00:00 UTC+8,2026-05-20T05:00:00Z,2026-05-20 13:00:00 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-20 13:00:00 UTC+8,2026-05-20T05:00:00Z,2026-05-20 13:00:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Wallet Maintenance for Ethereum Network (ETH) - 2026-05-21,"This is a general announcement. Products and services referred to here may not be available in your region.Fellow Binancians,Binance will perform wallet maintenance for Ethereum Network (ETH) at 2026-05-21 06:00 (UTC). To support the wallet maintenance, deposits and withdrawals on Ethereum Network (ETH) will be suspended starting from 2026-05-21 05:55 (UTC), and be resumed when the maintenance is complete. The maintenance will take about one hour.Please note:The trading of token(s) on the aforementioned network will not be impacted.Binance will handle all technical requirements involved for all users.Deposits and withdrawals for token(s) on the aforementioned network will be reopened once the upgraded network is deemed to be stable. No further announcement will be posted.There may be discrepancies between this original content in English and any translated versions. Please refer to the original English version for the most accurate information, in case any discrepancies arise. Thank you for your support!Binance Team2026-05-20",news:binance_ann,https://www.binance.com/en/support/announcement/7f482e14d18a4f928e8efc204ba3a02d,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3,single_asset,high,high,true,include,,market_wide_event,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T05:00:00Z,197.9619,mature_72h,true
cand_01579,2057017686224175591,2026-05-20T08:36:48Z,2026-05-20 16:36:48 UTC+8,2026-05-20T08:36:48Z,2026-05-20 16:36:48 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 16:36:48 UTC+8,2026-05-20T08:36:48Z,2026-05-20 16:36:48 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Crypto research workflow in 2026.

Before: Dashboard hopping → CSV exports → Python scripts → spreadsheet archaeology →","Crypto research workflow in 2026.

Before: Dashboard hopping → CSV exports → Python scripts → spreadsheet archaeology → manual annotations

Now, one prompt with CryptoQuant MCP:

“Pull BTC historical data, compare post-halving cycles, mark bottoms, extend 2024.”

Effortless.",webhook,,BTC,BTCUSDT,BTCUSDT,halving,observe,3,single_asset,high,high,true,include,,market_wide_event,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T08:36:48Z,194.3486,mature_72h,true
cand_01935,2056888746717728852,2026-05-20T00:04:27Z,2026-05-20 08:04:27 UTC+8,2026-05-20T00:04:27Z,2026-05-20 08:04:27 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 08:04:27 UTC+8,2026-05-20T00:04:27Z,2026-05-20 08:04:27 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Anchorage (@Anchorage) linked wallet further withdrew 121,099 $HYPE worth $5.87M from #Bybit.

They have bought 2.34M $H","Anchorage (@Anchorage) linked wallet further withdrew 121,099 $HYPE worth $5.87M from #Bybit.

They have bought 2.34M $HYPE worth $112.36M over the past month, which they sent for staking.

https://t.co/EhSkgoR6r7 https://t.co/4mIwFFjIfw",webhook,,HYPE,,HYPEUSDT,staking_governance,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-20T00:04:27Z,202.8878,mature_72h,true
cand_01875,2056904238253355240,2026-05-20T01:06:00Z,2026-05-20 09:06:00 UTC+8,2026-05-20T01:06:00Z,2026-05-20 09:06:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 09:06:00 UTC+8,2026-05-20T01:06:00Z,2026-05-20 09:06:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"ICYMI: https://t.co/RY38xpkgqt has acquired the New York Bitcoin Treasuries Unconference.

Tickets, sponsorships, and sp","ICYMI: https://t.co/RY38xpkgqt has acquired the New York Bitcoin Treasuries Unconference.

Tickets, sponsorships, and speaker apps are open now. 🎟️ 

MORE AT: https://t.co/8YEoSqXJLV https://t.co/3ZQ5tP5QYe",webhook,,BTC,BTCUSDT,BTCUSDT,other,observe,3,single_asset,high,high,true,include,,unknown_event_type,80,"has_asset,has_binance_symbol,time_ok,unknown_event_type,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-20T01:06:00Z,201.8619,mature_72h,true
cand_01924,2056891123784896816,2026-05-20T00:13:53Z,2026-05-20 08:13:53 UTC+8,2026-05-20T00:13:53Z,2026-05-20 08:13:53 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-20 08:13:53 UTC+8,2026-05-20T00:13:53Z,2026-05-20 08:13:53 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Threshold Network：恶意铸造尝试未成功，暂停铸币,币界网消息，Threshold Network发文称，5月18日18:04，恶意行为者试图在未存入底层BTC的情况下铸造TBTC，但攻击尝试未成功，未发行任何无效TBTC，用户资金未面临风险。出于预防考虑，鉴于近期加密生态恶意活动频率上升，Threshold已临时暂停optimistic minting。当前TBTC铸币将通过sweeping机制处理，典型铸币时间将从约1.5小时延长至约6至7小时。,webhook,,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-20T00:13:53Z,202.7306,mature_72h,true
