event_id,event_time,event_time_utc,event_time_china,title,content,source,asset_symbol,binance_spot_symbol,binance_futures_symbol,event_type,direction_hint,importance
cand_00077,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with","Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.

https://t.co/Z3vQB9Mk8z https://t.co/U6SMTvfHfd",webhook,HYPE,,HYPEUSDT,whale_position,observe,3
cand_00419,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4
cand_00074,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,Santiment：持有至少100 BTC的钱包数量增至20229,"币界网消息，据Cointelegraph报道，持有至少100枚BTC的钱包数量已上升至20,229个，比一年前增长了11.2%。这表明，尽管市场波动，鲸鱼和机构投资者仍在持续积累比特币。",webhook,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4
cand_00484,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4
cand_00304,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,Kraken revenue hits $507m in Q1 despite slump,"Kraken revenue rose 3% year-on-year to $507m in Q1 2026 as futures trading jumped 51%, Payward said Monday.

Payward, Kraken’s Wyoming-based parent company, said in a Monday press release that it generated $507 million in Q1 2026 adjusted revenue, up 3% from the same quarter a year earlier. Bitcoin fell 22% during the quarter and industry-wide spot trading volume dropped 38%, yet Payward’s diversified platform cushioned the decline.

A year earlier, Payward had reported $492 million in Q1 2025 adjusted revenue, making the 3% year-on-year gain notable given the steeper market downturn this cycle.

Co-CEO Arjun Sethi said in the release: “Where others pulled back, we leaned in.” Growth in futures and newer business lines offset weakness in core crypto markets, with Kraken’s spot market share rising to 5.2% in March from roughly 3.5% in mid-2025.

Rival platforms reported sharper declines in trading revenue over the same period. Payward attributed its resilience to its stronger institutional business and growing derivatives offering, built partly through its $550 million acquisition of CFTC-licensed platform Bitnomial, which crypto.news covered when the deal completed on May 4.

Total platform transaction volume reached $357 billion in Q1, while funded accounts rose 47% year-on-year to 6.1 million and assets on platform reached $40 billion.

Adjusted EBITDA fell to $18 million as Payward continued investing in acquisitions including tokenization platform Backed, token management firm Magna, Bitnomial, and payments company Reap.

Crypto.news reported that non-trading revenue sources including custody, payments, and financing accounted for 53% of Payward’s 2025 total, a structural shift that reduces dependence on volatile trading volumes.

Payward filed its draft S-1 with the SEC confidentially in November 2025 but paused the process in March, citing market conditions. Sources indicate a public listing may slip to 2027. The exchange also cut approximately 150 employees in May, attributing the reductions to AI-driven operational efficiencies, representing roughly 5% of its total workforce.

Payward’s M&A push positions it as the most comprehensively regulated crypto derivatives platform in the US. Crypto.news documented how the Bitnomial deal and Deutsche Börse’s $200 million stake established Payward as a regulated hub for digital asset futures and options inside the US, with its IPO filing remaining active.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00112,2026-05-19 08:00:00 UTC+8,2026-05-19T00:00:00Z,2026-05-19 08:00:00 UTC+8,Galaxy Digital wins New York BitLicense,"Galaxy Digital secured a BitLicense from New York on May 18 to offer regulated crypto services to institutions.

Galaxy Digital announced on May 18 that the New York State Department of Financial Services granted its subsidiary GalaxyOne Prime NY both a BitLicense and a Money Transmission License.

The approvals authorise Galaxy to offer regulated digital asset trading and custody services to institutions across New York State, including registered investment advisers, hedge funds, and family offices on a platform managing approximately $9 billion in client assets.

“New York is home to the deepest pool of institutional capital in the country, and digital assets are no longer sitting at the edge of those allocations,” said Mike Novogratz, Galaxy’s founder and CEO, in a statement.

Galaxy becomes only the second firm to receive a BitLicense in 2026, following bitcoin payments firm Strike, which secured NYDFS approval in March.

The framework, introduced in 2015, is one of the strictest crypto licensing regimes in the US, requiring capital minimums, ongoing compliance reviews, and cybersecurity oversight. Only around 40 companies have been approved since launch. New York now joins Galaxy’s regulatory network of more than 50 global licences.

As crypto.news reported , Galaxy research head Alex Thorn has been closely tracking institutional Bitcoin allocations throughout 2026. The New York BitLicense gives Galaxy’s trading and custody platform direct access to the institutions driving those flows, in a state that holds the largest concentration of hedge funds and investment advisers in the US.

BitLicense holders include Coinbase, Robinhood, Circle, and PayPal, making Galaxy’s approval a signal that NYDFS continues selectively admitting crypto firms. As crypto.news documented in its 2025 coverage of Galaxy’s Q2 results, the firm has been building out its data center and AI infrastructure alongside its digital asset platform.

The New York licence now opens one of the world’s largest institutional pools to a firm that generated record results in Global Markets last year and has expanded its data center operations significantly since.

Galaxy’s shares fell 2.36% to $28.91 in pre-market trading on Monday despite the approval, reflecting broader market weakness on the day.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00339,2026-05-19 03:17:10 UTC+8,2026-05-18T19:17:10Z,2026-05-19 03:17:10 UTC+8,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu,webhook,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00016,2026-05-19 10:12:50 UTC+8,2026-05-19T02:12:50Z,2026-05-19 10:12:50 UTC+8,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TET","5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TETH (21Shares): $0.00m
$QETH (Invesco): $0.00m
$EZET (Franklin): $0.00m
$ETHV (VanEck): $0.00m
$ETHB (BlackRock Staked): –$0.01m
$ETHE (Grayscale): –$3.96m
$ETH (Grayscale mini): –$10.08m",webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3
cand_00064,2026-05-19 09:00:20 UTC+8,2026-05-19T01:00:20Z,2026-05-19 09:00:20 UTC+8,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) manag","🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) management fee directly toward the token. https://t.co/f1Canng0BA",webhook,HYPE,,HYPEUSDT,institutional_flow,observe,4
cand_00160,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,以太坊质押比例上升至31%，长期持有者信心依旧,币界网消息，据The Block报道，尽管以太坊年内价格已下跌约26%，但其质押比例由年初的约29%升至总供应量的约31%。持续增长的质押规模显示，长期持有者在价格承压及链上风险仍存的情况下，依然对以太坊保持信心，并逐步减少市场流通供应。随着现货以太坊ETF发展及以太坊上代币化活动扩张，机构对质押以太坊的需求可能为质押生态带来新的结构性资金流入，但是否会进一步传导至以太坊价格，仍取决于机构资金的实际配置进展。,webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3
