event_id,event_time,title,content,source,asset_symbol,binance_spot_symbol,binance_futures_symbol,event_type,direction_hint,importance
evt_001,2024-01-10T21:00:00Z,US spot Bitcoin ETFs approved,SEC approved multiple spot Bitcoin ETF applications; sample historical event for BTC reaction research.,sample,BTC,,,institutional_flow,positive,5
evt_002,2024-03-13T14:00:00Z,Ethereum Dencun upgrade activated,Ethereum Dencun upgrade activated on mainnet; sample event for ETH market reaction research.,sample,ETH,,,market_structure,positive,4
evt_003,2024-06-27T12:00:00Z,Solana ETF filing reported,A US issuer filed for a Solana ETF product; sample event for SOL reaction research.,sample,SOL,,,institutional_flow,observe,4
evt_004,2024-07-01T08:00:00Z,Large XRP token unlock observed,Large scheduled XRP token unlock observed; sample event for unlock pressure research.,sample,XRP,,,token_unlock,risk,3
evt_005,2024-08-15T10:00:00Z,HYPE ecosystem news without Binance market,Sample event with no Binance symbol to verify skipped handling.,sample,HYPE,,,other,observe,2
evt_006,2024-05-23T18:00:00Z,Spot Ethereum ETF approval order reported,Sample institutional-flow event for ETH reaction research.,sample,ETH,,,institutional_flow,positive,5
evt_007,2024-04-19T00:10:00Z,Bitcoin halving completed,Sample market-structure event around the 2024 Bitcoin halving.,sample,BTC,,,market_structure,neutral,5
evt_008,2024-02-01T09:00:00Z,Chainlink staking update discussed,Sample LINK ecosystem event for reaction research.,sample,LINK,,,other,observe,3
evt_009,2024-03-01T10:00:00Z,Dogecoin social activity spike reported,Sample DOGE market-structure/social event for reaction research.,sample,DOGE,,,market_structure,observe,2
evt_010,2024-06-15T13:00:00Z,Macro risk-off headline hits crypto,Sample macro event mapped to BTC as market proxy.,sample,BTC,,,macro,risk,4
