candidate_id,raw_id,raw_published_at,published_at,published_at_utc,backtest_time,backtest_time_utc,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags
cand_00001,raw_001,45301.885416666664,2024-01-10T21:15:00Z,2024-01-10T21:15:00Z,2024-01-10T21:15:00Z,2024-01-10T21:15:00Z,ok,normalized_time,US spot Bitcoin ETF approvals reported,Multiple US spot Bitcoin ETFs were approved and issuers prepared for launch.,news_site,https://example.com/raw_001,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,
cand_00002,raw_002,2024-03-13T14:05:00Z,2024-03-13T14:05:00Z,2024-03-13T14:05:00Z,2024-03-13T14:05:00Z,2024-03-13T14:05:00Z,ok,,Ethereum Dencun upgrade goes live,Ethereum Dencun upgrade has activated on mainnet with blob transactions enabled.,official,https://example.com/raw_002,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3,single_asset,high,high,false,include,,
cand_00003,raw_003,2024-06-27T12:30:00Z,2024-06-27T12:30:00Z,2024-06-27T12:30:00Z,2024-06-27T12:30:00Z,2024-06-27T12:30:00Z,ok,,Solana ETF filing submitted,A fund issuer submitted paperwork for a proposed Solana ETF product.,news_site,https://example.com/raw_003,SOL,SOLUSDT,SOLUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,
cand_00004,raw_004,2024-07-01T08:05:00Z,2024-07-01T08:05:00Z,2024-07-01T08:05:00Z,2024-07-01T08:05:00Z,2024-07-01T08:05:00Z,ok,,XRP unlock alert,Large XRP token unlock was observed from scheduled escrow releases.,telegram,,XRP,XRPUSDT,XRPUSDT,token_unlock,risk,3,single_asset,high,high,false,include,,
cand_00005,raw_005,2024-08-15T10:10:00Z,2024-08-15T10:10:00Z,2024-08-15T10:10:00Z,2024-08-15T10:10:00Z,2024-08-15T10:10:00Z,ok,,HYPE ecosystem update,Hyperliquid ecosystem news circulated but Binance market support is unclear.,telegram,,HYPE,,,other,observe,3,single_asset,high,high,true,exclude,,unknown_event_type
cand_00006,raw_006,2024-05-23T18:10:00Z,2024-05-23T18:10:00Z,2024-05-23T18:10:00Z,2024-05-23T18:10:00Z,2024-05-23T18:10:00Z,ok,,SEC approves spot Ethereum ETF rule changes,SEC approved rule changes tied to spot Ethereum ETF listings.,news_site,https://example.com/raw_006,ETH,ETHUSDT,ETHUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,
cand_00007,raw_007,2024-04-19T00:15:00Z,2024-04-19T00:15:00Z,2024-04-19T00:15:00Z,2024-04-19T00:15:00Z,2024-04-19T00:15:00Z,ok,,Bitcoin halving completed,比特币第四次减半完成，矿工区块奖励下降。,telegram,,BTC,BTCUSDT,BTCUSDT,halving,observe,3,single_asset,high,high,false,include,,
cand_00008,raw_008,2024-02-01T09:10:00Z,2024-02-01T09:10:00Z,2024-02-01T09:10:00Z,2024-02-01T09:10:00Z,2024-02-01T09:10:00Z,ok,,Chainlink staking update released,Chainlink published an update related to staking and ecosystem participation.,official,https://example.com/raw_008,LINK,LINKUSDT,LINKUSDT,staking_governance,observe,3,single_asset,high,high,false,include,,
cand_00009,raw_009,2024-03-01T10:15:00Z,2024-03-01T10:15:00Z,2024-03-01T10:15:00Z,2024-03-01T10:15:00Z,2024-03-01T10:15:00Z,ok,,Dogecoin whale wallet transfers DOGE,A whale wallet transferred a large DOGE amount to an exchange address.,telegram,,DOGE,DOGEUSDT,DOGEUSDT,whale_position,observe,3,single_asset,high,high,false,include,,
cand_00010,raw_010,2024-06-15T13:05:00Z,2024-06-15T13:05:00Z,2024-06-15T13:05:00Z,2024-06-15T13:05:00Z,2024-06-15T13:05:00Z,ok,,CPI and Fed rate concerns pressure risk assets,美联储利率和 CPI 预期扰动风险资产，BTC 跟随市场波动。,news_site,https://example.com/raw_010,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event
