event_id,asset_symbol,upgrade_type,upgrade_route,upgrade_has_exact_time,upgrade_top_asset,upgrade_block_reason,title
cand_04610,SOL,sdk_or_tooling_update,block,false,true,missing_top_asset_exact_time_or_upgrade_type,"Firedancer quietly hits Solana mainnet, but validators must wait"
cand_04537,XRP,unclear_upgrade,block,false,true,missing_top_asset_exact_time_or_upgrade_type,XRP Upgrade Nears Rollout With Critical Fixes Across Several Features - U.Today
cand_03936,HYPE,mainnet_upgrade,block,true,false,missing_top_asset_exact_time_or_upgrade_type,吴说获悉，Hyperliquid 宣布，约一个月后其活跃验证者集合将从 24 个增至 27 个，网络仍将保持当前的无需许可（permissionless）验证机制。官方提醒验证者在主网上线前充分熟悉测试网与相关技术细节，并表示验证者需自质押
cand_03902,XRP,hard_fork_or_consensus_upgrade,digest,true,true,pass,XRPL Validators Face Upgrade Deadline Ahead of Amendment Activation - U.Today
cand_03867,XRP,hard_fork_or_consensus_upgrade,digest,true,true,pass,XRPL validators face May 27 deadline as upgrade nears activation
cand_03677,BNB,sdk_or_tooling_update,background,true,true,pass,BNBAgent SDK已上线BSC主网，为AI代理在链上的规模化落地提供核心基础设施
cand_03666,SOL,mainnet_upgrade,block,false,true,missing_top_asset_exact_time_or_upgrade_type,吴说获悉，Solana 核心开发团队 Anza 表示，Agave 4.0 已正式向主网验证者推荐升级。该版本重点提升网络传输效率与区块处理能力，包括引入 XDP 技术后将 Turbine 重传延迟从约 600ms 降至约 0.8ms，并全面
cand_03562,BNB,sdk_or_tooling_update,block,false,true,missing_top_asset_exact_time_or_upgrade_type,BNB Chain推出BNBAgent SDK，支持AI代理链上身份验证
cand_02900,XRP,hard_fork_or_consensus_upgrade,block,false,true,missing_top_asset_exact_time_or_upgrade_type,Ripple CTO Explains XRPL Hard Forks - U.Today
cand_02802,SOL,mainnet_upgrade,block,false,true,market_or_price_article_not_upgrade,Solana Chain GDP Hits $342M as RWA Market Cap Tops $2B
cand_02714,BNB,sdk_or_tooling_update,block,false,true,missing_top_asset_exact_time_or_upgrade_type,"BNB Chain Passes Post-Quantum Security Test, Network Speed Falls 40%"
cand_02664,XRP,hard_fork_or_consensus_upgrade,digest,true,true,pass,Ripple CTO explains XRPL hard forks before 3.1.3 deadline
cand_01727,SOL,unclear_upgrade,block,false,true,market_or_price_article_not_upgrade,Galaxy lifts CLARITY Act odds to 75%
cand_01333,SHIB,unclear_upgrade,block,false,false,missing_top_asset_exact_time_or_upgrade_type,"Shibarium Transactions Surge 44%, but SHIB Isn't Moving - U.Today"
cand_00259,HYPE,mainnet_upgrade,block,false,false,market_or_price_article_not_upgrade,Pi Price Rally Soon? Pi Network Breaks Into US Market Through OKX Integration
cand_00191,ADA,unclear_upgrade,block,false,true,missing_top_asset_exact_time_or_upgrade_type,Charles Hoskinson: ‘Cardano Is My Life's Work and I Want ADA to Succeed No Matter What’
cand_03475,ADA,unclear_upgrade,block,false,true,market_or_price_article_not_upgrade,Cardano Price Analysis: ADA Bears Eye $0.20 Support
cand_02785,BNB,sdk_or_tooling_update,block,false,true,missing_top_asset_exact_time_or_upgrade_type,BNB Chain post-quantum test cuts BSC TPS by 40%
cand_02623,ADA,unclear_upgrade,block,false,true,market_or_price_article_not_upgrade,Pump.fun Drives Over a Third of Solana's Q1 Revenue Despite Memecoin Slowdown
cand_02616,BNB,hard_fork_or_consensus_upgrade,block,false,true,market_or_price_article_not_upgrade,XRP Ledger Hard Fork In 8 Days? Upgrade Sparks Split Debate
cand_02469,ADA,mainnet_upgrade,block,false,true,market_or_price_article_not_upgrade,MetaMask Just Added Tokenized US Stocks - NOT for US Users
cand_02454,ADA,mainnet_upgrade,block,false,true,market_or_price_article_not_upgrade,Mark Zuckerberg New META AI Predicts PI Coin Price by End of 2026 - 99Bitcoins
cand_02448,BNB,hard_fork_or_consensus_upgrade,block,false,true,market_or_price_article_not_upgrade,Market Expert Updates XRP Roadmap To $300 With New Data | Bitcoinist.com
cand_02340,ADA,unclear_upgrade,block,false,true,market_or_price_article_not_upgrade,Here’s Why Ethereum Is Becoming The Biggest Winner Of The Clarity Act | Bitcoinist.com
cand_02304,HYPE,protocol_upgrade,block,false,false,missing_top_asset_exact_time_or_upgrade_type,Why the XRP Ledger Could Become a Major Backbone of SEC-Approved Tokenized Stocks
cand_02241,DOGE,protocol_upgrade,block,false,false,market_or_price_article_not_upgrade,Dogecoin price prediction: Can DOGE hold $0.10 or is a deeper reset coming?
cand_01957,BNB,hard_fork_or_consensus_upgrade,block,false,true,market_or_price_article_not_upgrade,Ripple Just Moved This $2 Billion Industry Onto The XRP Ledger | Bitcoinist.com
cand_01495,BNB,unclear_upgrade,block,false,true,market_or_price_article_not_upgrade,$140k in less than 24 hours: Meme Punch's battle arena is drawing a crowd before launch
cand_01352,BNB,hard_fork_or_consensus_upgrade,block,false,true,market_or_price_article_not_upgrade,"XRP Is Not The Real Leader Of RWA Despite Its Popularity, Here’s Where The Real Volume Is | Bitcoinist.com"
cand_00071,ADA,sdk_or_tooling_update,block,false,true,market_or_price_article_not_upgrade,Solana's Q1 Report Is Out: What Network Data Means for Retail
