draft_id,candidate_id,published_at_china,asset_symbol,event_type,event_type_label,event_scope,channel_route,confidence_label,strength_stars,source,title,url,draft_text,draft_status,reviewer_decision,reviewer_usefulness,reviewer_issue_type,reviewer_notes,approved_text,draft_mode,auto_send_enabled
tg_0001,cand_00077,2026-05-19 08:36:06 UTC+8,HYPE,whale_position,巨鲸/仓位,single_asset,alpha_candidate,medium,***--,webhook,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.",,"[巨鲸/仓位] HYPE | Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.
时间: 2026-05-19 08:36:06 UTC+8
来源: webhook
范围: 单资产 | 路由: 交易相关观察 | 置信: medium | 强度: ***--
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,巨鲸大额做空仓位及浮亏信息，有参考价值,,private_pilot,false
tg_0002,cand_00419,2026-05-19 01:41:53 UTC+8,BTC,regulation_macro,监管/宏观,single_asset,macro_policy,medium,****-,news:bitcoinmagazine,White House: Bitcoin Reserve Announcement Is Imminent,https://bitcoinmagazine.com/news/white-house-strategic-bitcoin-reserve,"[监管/宏观] BTC | White House: Bitcoin Reserve Announcement Is Imminent
时间: 2026-05-19 01:41:53 UTC+8
来源: news:bitcoinmagazine
范围: 单资产 | 路由: 宏观/政策观察 | 置信: medium | 强度: ****-
链接: https://bitcoinmagazine.com/news/white-house-strategic-bitcoin-reserve
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,白宫即将宣布比特币储备，重大政策事件,,private_pilot,false
tg_0003,cand_00074,2026-05-19 08:40:15 UTC+8,BTC,onchain_data,链上数据,single_asset,alpha_candidate,medium,****-,webhook,Santiment：持有至少100 BTC的钱包数量增至20229,,"[链上数据] BTC | Santiment：持有至少100 BTC的钱包数量增至20229
时间: 2026-05-19 08:40:15 UTC+8
来源: webhook
范围: 单资产 | 路由: 交易相关观察 | 置信: medium | 强度: ****-
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,interesting,none,大户钱包数量增加，反映链上积累趋势,,private_pilot,false
tg_0004,cand_00484,2026-05-19 00:50:18 UTC+8,ETH,hack_security,安全事件,single_asset,alpha_candidate,medium,****-,webhook,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,,"[安全事件] ETH | Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金
时间: 2026-05-19 00:50:18 UTC+8
来源: webhook
范围: 单资产 | 路由: 交易相关观察 | 置信: medium | 强度: ****-
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,攻击者归还大部分资金，安全事件后续进展,,private_pilot,false
tg_0005,cand_00304,2026-05-19 04:00:00 UTC+8,BTC,institutional_flow,机构/资金流,market_wide,macro_policy,medium,****-,news:cryptonews,Kraken revenue hits $507m in Q1 despite slump,https://crypto.news/kraken-revenue-hits-507m-in-q1-despite-slump/,"[机构/资金流] BTC | Kraken revenue hits $507m in Q1 despite slump
时间: 2026-05-19 04:00:00 UTC+8
来源: news:cryptonews
范围: 全市场 | 路由: 宏观/政策观察 | 置信: medium | 强度: ****-
链接: https://crypto.news/kraken-revenue-hits-507m-in-q1-despite-slump/
提示: 仅为事件情报与研究记录，不构成交易建议。",rejected,reject,noise,not_price_relevant,交易所财报数据，与市场情报关联度低,,private_pilot,false
tg_0006,cand_00112,2026-05-19 08:00:00 UTC+8,BTC,regulation_macro,监管/宏观,market_wide,macro_policy,medium,****-,news:cryptonews,Galaxy Digital wins New York BitLicense,https://crypto.news/galaxy-digital-wins-new-york-bitlicense/,"[监管/宏观] BTC | Galaxy Digital wins New York BitLicense
时间: 2026-05-19 08:00:00 UTC+8
来源: news:cryptonews
范围: 全市场 | 路由: 宏观/政策观察 | 置信: medium | 强度: ****-
链接: https://crypto.news/galaxy-digital-wins-new-york-bitlicense/
提示: 仅为事件情报与研究记录，不构成交易建议。",rejected,reject,noise,not_price_relevant,单一机构获得牌照，影响范围有限,,private_pilot,false
tg_0007,cand_00339,2026-05-19 03:17:10 UTC+8,BTC,regulation_macro,监管/宏观,market_wide,macro_policy,medium,****-,webhook,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu,,"[监管/宏观] BTC | JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu
时间: 2026-05-19 03:17:10 UTC+8
来源: webhook
范围: 全市场 | 路由: 宏观/政策观察 | 置信: medium | 强度: ****-
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,亲比特币的美联储主席本周就职，重要宏观事件,,private_pilot,false
tg_0008,cand_00016,2026-05-19 10:12:50 UTC+8,ETH,institutional_flow,机构/资金流,single_asset,research_only,medium,***--,webhook,5/18 Ethereum ETF Net Flow: $-84.14m $ETHA (BlackRock): –$55.40m $FETH (Fidelity): –$14.70m $ETHW (Bitwise): $0.00m $TET,,"[机构/资金流] ETH | 5/18 Ethereum ETF Net Flow: $-84.14m $ETHA (BlackRock): –$55.40m $FETH (Fidelity): –$14.70m $ETHW (Bitwise): $0.00m $TET
时间: 2026-05-19 10:12:50 UTC+8
来源: webhook
范围: 单资产 | 路由: 研究记录 | 置信: medium | 强度: ***--
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,ETH ETF大额净流出，机构资金动向明确,,private_pilot,false
tg_0009,cand_00064,2026-05-19 09:00:20 UTC+8,HYPE,institutional_flow,机构/资金流,single_asset,research_only,medium,****-,webhook,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) management fee directly toward the token. https://t.co/f1Canng0BA",,"[机构/资金流] HYPE | 🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) management fee directly toward the token. https://t.co/f1Canng0BA
时间: 2026-05-19 09:00:20 UTC+8
来源: webhook
范围: 单资产 | 路由: 研究记录 | 置信: medium | 强度: ****-
提示: 仅为事件情报与研究记录，不构成交易建议。",approved,approve,useful,none,Bitwise将持有HYPE并分配管理费，机构配置信号,,private_pilot,false
tg_0010,cand_00160,2026-05-19 06:42:26 UTC+8,ETH,institutional_flow,机构/资金流,single_asset,research_only,medium,***--,webhook,以太坊质押比例上升至31%，长期持有者信心依旧,,"[机构/资金流] ETH | 以太坊质押比例上升至31%，长期持有者信心依旧
时间: 2026-05-19 06:42:26 UTC+8
来源: webhook
范围: 单资产 | 路由: 研究记录 | 置信: medium | 强度: ***--
提示: 仅为事件情报与研究记录，不构成交易建议。",rejected,reject,noise,too_generic,质押比例上升是渐进趋势，缺乏新增信息,,private_pilot,false
