event_id,event_time,event_time_utc,event_time_china,title,content,source,asset_symbol,binance_spot_symbol,binance_futures_symbol,event_type,event_subtype,source_type,direction_hint,importance,data_provider,market_type,symbol_used,raw_backtest_mode,price_target_t0_utc,price_target_t0_china,price_target_1h_utc,price_target_1h_china,price_target_4h_utc,price_target_4h_china,price_target_24h_utc,price_target_24h_china,price_target_72h_utc,price_target_72h_china,asset_price_t0_kline_time_utc,asset_price_t0_kline_time_china,asset_price_1h_kline_time_utc,asset_price_1h_kline_time_china,asset_price_4h_kline_time_utc,asset_price_4h_kline_time_china,asset_price_24h_kline_time_utc,asset_price_24h_kline_time_china,asset_price_72h_kline_time_utc,asset_price_72h_kline_time_china,btc_price_t0_kline_time_utc,btc_price_t0_kline_time_china,btc_price_1h_kline_time_utc,btc_price_1h_kline_time_china,btc_price_4h_kline_time_utc,btc_price_4h_kline_time_china,btc_price_24h_kline_time_utc,btc_price_24h_kline_time_china,btc_price_72h_kline_time_utc,btc_price_72h_kline_time_china,eth_price_t0_kline_time_utc,eth_price_t0_kline_time_china,eth_price_1h_kline_time_utc,eth_price_1h_kline_time_china,eth_price_4h_kline_time_utc,eth_price_4h_kline_time_china,eth_price_24h_kline_time_utc,eth_price_24h_kline_time_china,eth_price_72h_kline_time_utc,eth_price_72h_kline_time_china,asset_price_t0,asset_price_1h,asset_price_4h,asset_price_24h,asset_price_72h,btc_price_t0,btc_price_1h,btc_price_4h,btc_price_24h,btc_price_72h,eth_price_t0,eth_price_1h,eth_price_4h,eth_price_24h,eth_price_72h,asset_return_1h,asset_return_4h,asset_return_24h,asset_return_72h,btc_return_1h,btc_return_4h,btc_return_24h,btc_return_72h,eth_return_1h,eth_return_4h,eth_return_24h,eth_return_72h,abnormal_vs_btc_1h,abnormal_vs_btc_4h,abnormal_vs_btc_24h,abnormal_vs_btc_72h,abnormal_vs_eth_1h,abnormal_vs_eth_4h,abnormal_vs_eth_24h,abnormal_vs_eth_72h,status,skip_reason
cand_00324,2026-05-19 03:37:15 UTC+8,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,Leopold Aschenbrenner bets $13.6b on miners,,news:cryptonews,BTC,BTCUSDT,BTCUSDT,institutional_flow,,,,,binance,spot,BTCUSDT,published_after_event,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,2026-05-18T20:37:15Z,2026-05-19 04:37:15 UTC+8,2026-05-18T23:37:15Z,2026-05-19 07:37:15 UTC+8,2026-05-19T19:37:15Z,2026-05-20 03:37:15 UTC+8,2026-05-21T19:37:15Z,2026-05-22 03:37:15 UTC+8,2026-05-18T19:38:00Z,2026-05-19 03:38:00 UTC+8,2026-05-18T20:38:00Z,2026-05-19 04:38:00 UTC+8,2026-05-18T23:38:00Z,2026-05-19 07:38:00 UTC+8,2026-05-19T19:38:00Z,2026-05-20 03:38:00 UTC+8,2026-05-21T19:38:00Z,2026-05-22 03:38:00 UTC+8,2026-05-18T19:38:00Z,2026-05-19 03:38:00 UTC+8,2026-05-18T20:38:00Z,2026-05-19 04:38:00 UTC+8,2026-05-18T23:38:00Z,2026-05-19 07:38:00 UTC+8,2026-05-19T19:38:00Z,2026-05-20 03:38:00 UTC+8,2026-05-21T19:38:00Z,2026-05-22 03:38:00 UTC+8,2026-05-18T19:38:00Z,2026-05-19 03:38:00 UTC+8,2026-05-18T20:38:00Z,2026-05-19 04:38:00 UTC+8,2026-05-18T23:38:00Z,2026-05-19 07:38:00 UTC+8,2026-05-19T19:38:00Z,2026-05-20 03:38:00 UTC+8,2026-05-21T19:38:00Z,2026-05-22 03:38:00 UTC+8,76744.02,77093.86,77045.58,76874.95,77645.11,76744.02,77093.86,77045.58,76874.95,77645.11,2110.08,2124.77,2132.69,2114.43,2138.01,0.004558531075124828,0.003929426683668691,0.001706061267053638,0.011741501161914636,0.004558531075124828,0.003929426683668691,0.001706061267053638,0.011741501161914636,0.0069618213527449235,0.010715233545647518,0.0020615332120108576,0.013236464968152895,0.0,0.0,0.0,0.0,-0.002403290277620096,-0.006785806861978827,-0.0003554719449572197,-0.0014949638062382586,ok,
cand_00275,2026-05-19 04:30:00 UTC+8,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,XRP price slips 2% on profit taking,,news:cryptonews,XRP,XRPUSDT,XRPUSDT,token_unlock,,,,,binance,spot,XRPUSDT,published_after_event,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,2026-05-18T21:30:00Z,2026-05-19 05:30:00 UTC+8,2026-05-19T00:30:00Z,2026-05-19 08:30:00 UTC+8,2026-05-19T20:30:00Z,2026-05-20 04:30:00 UTC+8,2026-05-21T20:30:00Z,2026-05-22 04:30:00 UTC+8,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,2026-05-18T21:30:00Z,2026-05-19 05:30:00 UTC+8,2026-05-19T00:30:00Z,2026-05-19 08:30:00 UTC+8,2026-05-19T20:30:00Z,2026-05-20 04:30:00 UTC+8,2026-05-21T20:30:00Z,2026-05-22 04:30:00 UTC+8,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,2026-05-18T21:30:00Z,2026-05-19 05:30:00 UTC+8,2026-05-19T00:30:00Z,2026-05-19 08:30:00 UTC+8,2026-05-19T20:30:00Z,2026-05-20 04:30:00 UTC+8,2026-05-21T20:30:00Z,2026-05-22 04:30:00 UTC+8,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,2026-05-18T21:30:00Z,2026-05-19 05:30:00 UTC+8,2026-05-19T00:30:00Z,2026-05-19 08:30:00 UTC+8,2026-05-19T20:30:00Z,2026-05-20 04:30:00 UTC+8,2026-05-21T20:30:00Z,2026-05-22 04:30:00 UTC+8,1.3917,1.3905,1.3955,1.3577,1.3786,77154.45,77054.0,77222.0,76961.28,77718.0,2130.14,2132.39,2139.9,2116.65,2139.06,-0.0008622547962922056,0.0027304735215922804,-0.024430552561615304,-0.00941294819285754,-0.001301933977884584,0.0008755165774625429,-0.002503679308192841,0.007304180121820547,0.001056268602063648,0.004581858469396405,-0.006332917085261847,0.004187518191292705,0.0004396791815923784,0.0018549569441297376,-0.021926873253422463,-0.016717128314678087,-0.0019185233983558536,-0.0018513849478041244,-0.018097635476353457,-0.013600466384150245,ok,
cand_00484,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,,webhook,ETH,ETHUSDT,ETHUSDT,hack_security,,,,,binance,spot,ETHUSDT,published_after_event,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,2026-05-18T17:50:18Z,2026-05-19 01:50:18 UTC+8,2026-05-18T20:50:18Z,2026-05-19 04:50:18 UTC+8,2026-05-19T16:50:18Z,2026-05-20 00:50:18 UTC+8,2026-05-21T16:50:18Z,2026-05-22 00:50:18 UTC+8,2026-05-18T16:51:00Z,2026-05-19 00:51:00 UTC+8,2026-05-18T17:51:00Z,2026-05-19 01:51:00 UTC+8,2026-05-18T20:51:00Z,2026-05-19 04:51:00 UTC+8,2026-05-19T16:51:00Z,2026-05-20 00:51:00 UTC+8,2026-05-21T16:51:00Z,2026-05-22 00:51:00 UTC+8,2026-05-18T16:51:00Z,2026-05-19 00:51:00 UTC+8,2026-05-18T17:51:00Z,2026-05-19 01:51:00 UTC+8,2026-05-18T20:51:00Z,2026-05-19 04:51:00 UTC+8,2026-05-19T16:51:00Z,2026-05-20 00:51:00 UTC+8,2026-05-21T16:51:00Z,2026-05-22 00:51:00 UTC+8,2026-05-18T16:51:00Z,2026-05-19 00:51:00 UTC+8,2026-05-18T17:51:00Z,2026-05-19 01:51:00 UTC+8,2026-05-18T20:51:00Z,2026-05-19 04:51:00 UTC+8,2026-05-19T16:51:00Z,2026-05-20 00:51:00 UTC+8,2026-05-21T16:51:00Z,2026-05-22 00:51:00 UTC+8,2099.94,2109.69,2115.6,2118.96,2124.75,76424.1,76739.86,76891.59,76837.14,77060.48,2099.94,2109.69,2115.6,2118.96,2124.75,0.004642989799708452,0.007457355924454845,0.00905740164004687,0.011814623274950753,0.00413168097498029,0.00611704946476288,0.005404577875303573,0.008326954455466051,0.004642989799708452,0.007457355924454845,0.00905740164004687,0.011814623274950753,0.0005113088247281627,0.0013403064596919645,0.003652823764743296,0.0034876688194847016,0.0,0.0,0.0,0.0,ok,
cand_00449,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,,webhook,ETH,ETHUSDT,ETHUSDT,network_upgrade,,,,,binance,spot,ETHUSDT,published_after_event,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,2026-05-18T18:19:22Z,2026-05-19 02:19:22 UTC+8,2026-05-18T21:19:22Z,2026-05-19 05:19:22 UTC+8,2026-05-19T17:19:22Z,2026-05-20 01:19:22 UTC+8,2026-05-21T17:19:22Z,2026-05-22 01:19:22 UTC+8,2026-05-18T17:20:00Z,2026-05-19 01:20:00 UTC+8,2026-05-18T18:20:00Z,2026-05-19 02:20:00 UTC+8,2026-05-18T21:20:00Z,2026-05-19 05:20:00 UTC+8,2026-05-19T17:20:00Z,2026-05-20 01:20:00 UTC+8,2026-05-21T17:20:00Z,2026-05-22 01:20:00 UTC+8,2026-05-18T17:20:00Z,2026-05-19 01:20:00 UTC+8,2026-05-18T18:20:00Z,2026-05-19 02:20:00 UTC+8,2026-05-18T21:20:00Z,2026-05-19 05:20:00 UTC+8,2026-05-19T17:20:00Z,2026-05-20 01:20:00 UTC+8,2026-05-21T17:20:00Z,2026-05-22 01:20:00 UTC+8,2026-05-18T17:20:00Z,2026-05-19 01:20:00 UTC+8,2026-05-18T18:20:00Z,2026-05-19 02:20:00 UTC+8,2026-05-18T21:20:00Z,2026-05-19 05:20:00 UTC+8,2026-05-19T17:20:00Z,2026-05-20 01:20:00 UTC+8,2026-05-21T17:20:00Z,2026-05-22 01:20:00 UTC+8,2105.22,2093.4,2125.06,2124.27,2144.24,76615.38,76282.0,76968.03,77001.98,77900.0,2105.22,2093.4,2125.06,2124.27,2144.24,-0.005614615099609366,0.009424193195960662,0.00904893550317798,0.01853487996503933,-0.004351345643655469,0.004602861723063789,0.0050459842397179155,0.01676712952412429,-0.005614615099609366,0.009424193195960662,0.00904893550317798,0.01853487996503933,-0.001263269455953897,0.004821331472896873,0.004002951263460064,0.001767750440915039,0.0,0.0,0.0,0.0,ok,
cand_00193,2026-05-19 06:07:31 UTC+8,2026-05-18T22:07:31Z,2026-05-19 06:07:31 UTC+8,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",,webhook,BTC,BTCUSDT,BTCUSDT,halving,,,,,binance,spot,BTCUSDT,published_after_event,2026-05-18T22:07:31Z,2026-05-19 06:07:31 UTC+8,2026-05-18T23:07:31Z,2026-05-19 07:07:31 UTC+8,2026-05-19T02:07:31Z,2026-05-19 10:07:31 UTC+8,2026-05-19T22:07:31Z,2026-05-20 06:07:31 UTC+8,2026-05-21T22:07:31Z,2026-05-22 06:07:31 UTC+8,2026-05-18T22:08:00Z,2026-05-19 06:08:00 UTC+8,2026-05-18T23:08:00Z,2026-05-19 07:08:00 UTC+8,2026-05-19T02:08:00Z,2026-05-19 10:08:00 UTC+8,2026-05-19T22:08:00Z,2026-05-20 06:08:00 UTC+8,2026-05-21T22:08:00Z,2026-05-22 06:08:00 UTC+8,2026-05-18T22:08:00Z,2026-05-19 06:08:00 UTC+8,2026-05-18T23:08:00Z,2026-05-19 07:08:00 UTC+8,2026-05-19T02:08:00Z,2026-05-19 10:08:00 UTC+8,2026-05-19T22:08:00Z,2026-05-20 06:08:00 UTC+8,2026-05-21T22:08:00Z,2026-05-22 06:08:00 UTC+8,2026-05-18T22:08:00Z,2026-05-19 06:08:00 UTC+8,2026-05-18T23:08:00Z,2026-05-19 07:08:00 UTC+8,2026-05-19T02:08:00Z,2026-05-19 10:08:00 UTC+8,2026-05-19T22:08:00Z,2026-05-20 06:08:00 UTC+8,2026-05-21T22:08:00Z,2026-05-22 06:08:00 UTC+8,77167.75,77126.01,76666.47,76843.92,77741.59,77167.75,77126.01,76666.47,76843.92,77741.59,2139.01,2137.16,2124.34,2112.49,2136.04,-0.0005408995338078704,-0.0064959779182365285,-0.004196442166578662,0.007436267093442472,-0.0005408995338078704,-0.0064959779182365285,-0.004196442166578662,0.007436267093442472,-0.0008648860921642854,-0.006858312957863766,-0.012398259007671997,-0.0013884928074203717,0.0,0.0,0.0,0.0,0.000323986558356415,0.00036233503962723734,0.008201816841093335,0.008824759900862844,ok,
cand_00160,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,以太坊质押比例上升至31%，长期持有者信心依旧,,webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,,,,,binance,spot,ETHUSDT,published_after_event,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,2026-05-18T23:42:26Z,2026-05-19 07:42:26 UTC+8,2026-05-19T02:42:26Z,2026-05-19 10:42:26 UTC+8,2026-05-19T22:42:26Z,2026-05-20 06:42:26 UTC+8,2026-05-21T22:42:26Z,2026-05-22 06:42:26 UTC+8,2026-05-18T22:43:00Z,2026-05-19 06:43:00 UTC+8,2026-05-18T23:43:00Z,2026-05-19 07:43:00 UTC+8,2026-05-19T02:43:00Z,2026-05-19 10:43:00 UTC+8,2026-05-19T22:43:00Z,2026-05-20 06:43:00 UTC+8,2026-05-21T22:43:00Z,2026-05-22 06:43:00 UTC+8,2026-05-18T22:43:00Z,2026-05-19 06:43:00 UTC+8,2026-05-18T23:43:00Z,2026-05-19 07:43:00 UTC+8,2026-05-19T02:43:00Z,2026-05-19 10:43:00 UTC+8,2026-05-19T22:43:00Z,2026-05-20 06:43:00 UTC+8,2026-05-21T22:43:00Z,2026-05-22 06:43:00 UTC+8,2026-05-18T22:43:00Z,2026-05-19 06:43:00 UTC+8,2026-05-18T23:43:00Z,2026-05-19 07:43:00 UTC+8,2026-05-19T02:43:00Z,2026-05-19 10:43:00 UTC+8,2026-05-19T22:43:00Z,2026-05-20 06:43:00 UTC+8,2026-05-21T22:43:00Z,2026-05-22 06:43:00 UTC+8,2134.34,2133.52,2125.76,2107.48,2133.19,77033.4,77090.78,76740.67,76758.95,77640.68,2134.34,2133.52,2125.76,2107.48,2133.19,-0.0003841937085938829,-0.004019978072846819,-0.012584686601010198,-0.0005388082498571922,0.0007448717050007048,-0.0038000399826567666,-0.0035627403178360995,0.007883333722774832,-0.0003841937085938829,-0.004019978072846819,-0.012584686601010198,-0.0005388082498571922,-0.0011290654135945877,-0.00021993809019005273,-0.009021946283174098,-0.008422141972632025,0.0,0.0,0.0,0.0,ok,
cand_00419,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,White House: Bitcoin Reserve Announcement Is Imminent,,news:bitcoinmagazine,BTC,BTCUSDT,BTCUSDT,hack_security,,,,,binance,spot,BTCUSDT,published_after_event,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,2026-05-18T18:41:53Z,2026-05-19 02:41:53 UTC+8,2026-05-18T21:41:53Z,2026-05-19 05:41:53 UTC+8,2026-05-19T17:41:53Z,2026-05-20 01:41:53 UTC+8,2026-05-21T17:41:53Z,2026-05-22 01:41:53 UTC+8,2026-05-18T17:42:00Z,2026-05-19 01:42:00 UTC+8,2026-05-18T18:42:00Z,2026-05-19 02:42:00 UTC+8,2026-05-18T21:42:00Z,2026-05-19 05:42:00 UTC+8,2026-05-19T17:42:00Z,2026-05-20 01:42:00 UTC+8,2026-05-21T17:42:00Z,2026-05-22 01:42:00 UTC+8,2026-05-18T17:42:00Z,2026-05-19 01:42:00 UTC+8,2026-05-18T18:42:00Z,2026-05-19 02:42:00 UTC+8,2026-05-18T21:42:00Z,2026-05-19 05:42:00 UTC+8,2026-05-19T17:42:00Z,2026-05-20 01:42:00 UTC+8,2026-05-21T17:42:00Z,2026-05-22 01:42:00 UTC+8,2026-05-18T17:42:00Z,2026-05-19 01:42:00 UTC+8,2026-05-18T18:42:00Z,2026-05-19 02:42:00 UTC+8,2026-05-18T21:42:00Z,2026-05-19 05:42:00 UTC+8,2026-05-19T17:42:00Z,2026-05-20 01:42:00 UTC+8,2026-05-21T17:42:00Z,2026-05-22 01:42:00 UTC+8,76614.5,76308.43,77043.74,76940.28,77909.82,76614.5,76308.43,77043.74,76940.28,77909.82,2105.39,2086.36,2137.29,2117.9,2146.96,-0.003994935684498491,0.005602594809076766,0.004252197691037685,0.01690698235973609,-0.003994935684498491,0.005602594809076766,0.004252197691037685,0.01690698235973609,-0.00903870541799845,0.015151587116876142,0.005941892001007032,0.019744560390236643,0.0,0.0,0.0,0.0,0.005043769733499959,-0.009548992307799375,-0.0016896943099693473,-0.002837578030500554,ok,
cand_00375,2026-05-19 02:30:00 UTC+8,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,Standard Chartered: $4T tokenized by 2028,,news:cryptonews,ETH,ETHUSDT,ETHUSDT,hack_security,,,,,binance,spot,ETHUSDT,published_after_event,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,2026-05-18T19:30:00Z,2026-05-19 03:30:00 UTC+8,2026-05-18T22:30:00Z,2026-05-19 06:30:00 UTC+8,2026-05-19T18:30:00Z,2026-05-20 02:30:00 UTC+8,2026-05-21T18:30:00Z,2026-05-22 02:30:00 UTC+8,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,2026-05-18T19:30:00Z,2026-05-19 03:30:00 UTC+8,2026-05-18T22:30:00Z,2026-05-19 06:30:00 UTC+8,2026-05-19T18:30:00Z,2026-05-20 02:30:00 UTC+8,2026-05-21T18:30:00Z,2026-05-22 02:30:00 UTC+8,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,2026-05-18T19:30:00Z,2026-05-19 03:30:00 UTC+8,2026-05-18T22:30:00Z,2026-05-19 06:30:00 UTC+8,2026-05-19T18:30:00Z,2026-05-20 02:30:00 UTC+8,2026-05-21T18:30:00Z,2026-05-22 02:30:00 UTC+8,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,2026-05-18T19:30:00Z,2026-05-19 03:30:00 UTC+8,2026-05-18T22:30:00Z,2026-05-19 06:30:00 UTC+8,2026-05-19T18:30:00Z,2026-05-20 02:30:00 UTC+8,2026-05-21T18:30:00Z,2026-05-22 02:30:00 UTC+8,2089.37,2105.91,2140.04,2111.21,2139.72,76359.99,76656.49,77142.01,76750.0,77747.6,2089.37,2105.91,2140.04,2111.21,2139.72,0.007916261839693295,0.024251329348081052,0.010452911643222595,0.024098173133528356,0.003882923504835434,0.010241227113832574,0.005107517693493602,0.018171951043995715,0.007916261839693295,0.024251329348081052,0.010452911643222595,0.024098173133528356,0.004033338334857861,0.014010102234248478,0.005345393949728994,0.00592622208953264,0.0,0.0,0.0,0.0,ok,
cand_00146,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,,webhook,BTC,BTCUSDT,BTCUSDT,institutional_flow,,,,,binance,spot,BTCUSDT,published_after_event,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,2026-05-18T23:58:05Z,2026-05-19 07:58:05 UTC+8,2026-05-19T02:58:05Z,2026-05-19 10:58:05 UTC+8,2026-05-19T22:58:05Z,2026-05-20 06:58:05 UTC+8,2026-05-21T22:58:05Z,2026-05-22 06:58:05 UTC+8,2026-05-18T22:59:00Z,2026-05-19 06:59:00 UTC+8,2026-05-18T23:59:00Z,2026-05-19 07:59:00 UTC+8,2026-05-19T02:59:00Z,2026-05-19 10:59:00 UTC+8,2026-05-19T22:59:00Z,2026-05-20 06:59:00 UTC+8,2026-05-21T22:59:00Z,2026-05-22 06:59:00 UTC+8,2026-05-18T22:59:00Z,2026-05-19 06:59:00 UTC+8,2026-05-18T23:59:00Z,2026-05-19 07:59:00 UTC+8,2026-05-19T02:59:00Z,2026-05-19 10:59:00 UTC+8,2026-05-19T22:59:00Z,2026-05-20 06:59:00 UTC+8,2026-05-21T22:59:00Z,2026-05-22 06:59:00 UTC+8,2026-05-18T22:59:00Z,2026-05-19 06:59:00 UTC+8,2026-05-18T23:59:00Z,2026-05-19 07:59:00 UTC+8,2026-05-19T02:59:00Z,2026-05-19 10:59:00 UTC+8,2026-05-19T22:59:00Z,2026-05-20 06:59:00 UTC+8,2026-05-21T22:59:00Z,2026-05-22 06:59:00 UTC+8,77078.22,77001.87,76617.47,76712.21,77628.0,77078.22,77001.87,76617.47,76712.21,77628.0,2135.74,2130.08,2123.31,2106.4,2131.85,-0.000990552194900296,-0.005977693828425168,-0.004748552833731656,0.007132754233297067,-0.000990552194900296,-0.005977693828425168,-0.004748552833731656,0.007132754233297067,-0.0026501353160964802,-0.005819996816091799,-0.013737627239270522,-0.0018213827525821458,0.0,0.0,0.0,0.0,0.0016595831211961842,-0.00015769701233336875,0.008989074405538866,0.008954136985879213,ok,
cand_00124,2026-05-19 07:36:51 UTC+8,2026-05-18T23:36:51Z,2026-05-19 07:36:51 UTC+8,"#PeckShieldAlert @dcfgod reports that @EchoProtocol_ was hacked on @monad 

The hacker minted 1k $eBTC ($76.7M) &, utili",,webhook,ETH,ETHUSDT,ETHUSDT,hack_security,,,,,binance,spot,ETHUSDT,published_after_event,2026-05-18T23:36:51Z,2026-05-19 07:36:51 UTC+8,2026-05-19T00:36:51Z,2026-05-19 08:36:51 UTC+8,2026-05-19T03:36:51Z,2026-05-19 11:36:51 UTC+8,2026-05-19T23:36:51Z,2026-05-20 07:36:51 UTC+8,2026-05-21T23:36:51Z,2026-05-22 07:36:51 UTC+8,2026-05-18T23:37:00Z,2026-05-19 07:37:00 UTC+8,2026-05-19T00:37:00Z,2026-05-19 08:37:00 UTC+8,2026-05-19T03:37:00Z,2026-05-19 11:37:00 UTC+8,2026-05-19T23:37:00Z,2026-05-20 07:37:00 UTC+8,2026-05-21T23:37:00Z,2026-05-22 07:37:00 UTC+8,2026-05-18T23:37:00Z,2026-05-19 07:37:00 UTC+8,2026-05-19T00:37:00Z,2026-05-19 08:37:00 UTC+8,2026-05-19T03:37:00Z,2026-05-19 11:37:00 UTC+8,2026-05-19T23:37:00Z,2026-05-20 07:37:00 UTC+8,2026-05-21T23:37:00Z,2026-05-22 07:37:00 UTC+8,2026-05-18T23:37:00Z,2026-05-19 07:37:00 UTC+8,2026-05-19T00:37:00Z,2026-05-19 08:37:00 UTC+8,2026-05-19T03:37:00Z,2026-05-19 11:37:00 UTC+8,2026-05-19T23:37:00Z,2026-05-20 07:37:00 UTC+8,2026-05-21T23:37:00Z,2026-05-22 07:37:00 UTC+8,2132.06,2139.01,2130.65,2116.82,2135.0,77036.21,77238.73,76787.6,76941.52,77699.73,2132.06,2139.01,2130.65,2116.82,2135.0,0.0032597581681568233,-0.0006613322326762816,-0.007148016472331875,0.0013789480596231307,0.002628893607304894,-0.0032271836841402113,-0.00122916223422731,0.008613092466516648,0.0032597581681568233,-0.0006613322326762816,-0.007148016472331875,0.0013789480596231307,0.0006308645608519292,0.0025658514514639297,-0.005918854238104565,-0.007234144406893517,0.0,0.0,0.0,0.0,ok,
