candidate_id,raw_id,source_id,title,candidate_asset_symbol,source_quality_score,text_quality_score,timeliness_score,duplicate_score,relevance_score,duplicate_count,overall_quality,grade,recommended_action,quality_flags
cand_00001,2057414857235063289,webhook,"Iranian sailors return home after diplomatic push over US vessel seizure

https://t.co/0HflQlkzNh https://t.co/5OZr23C2O",,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00002,2057414703760990626,webhook,"UNSC must not stay silent on Trump’s repeated threats against Iran: Envoy

https://t.co/vl9Bg96q9d https://t.co/ZRWuO5P7",,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00004,2057414561150710141,webhook,Foreign Minister @araghchi has met Pakistani Interior Minister Mohsin Naqvi in Tehran to discuss the indirect Iran-US ne,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00007,2057414358574010657,webhook,"President @drpezeshkian stresses dialogue, regional cooperation in talks with Pakistani minister

https://t.co/zNTBlYzkh",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00013,2057413130339180833,webhook,Good morning. Today is going to be a great day. Let’s get after it relentlessly.,,100,100,70,40,20,1,66.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,potential_duplicate"
cand_00016,2057411142171963701,webhook,"🚨 TODAY: Crypto Fear &amp; Greed Index at 29, signaling Fear. https://t.co/466SOw0uxB",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00017,news:1033:5660f82fdef2b1c9,news:jin10,伊朗努尔新闻(Nour News)：伊朗外交部发言人表示已收到美方意见，目前正在进行审查,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00022,2057409800435032312,webhook,"BREAKING: Iran’s Supreme Leader has ordered that near-weapons-grade uranium must NOT leave Iran, per Reuters citing two",,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00023,news:1033:c341391b6cab1f85,news:jin10,古特雷斯强烈谴责以色列决定在近东救济工程处大院建立军事设施,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00030,2057407253792293050,webhook,法国媒体 Le Journal du Dimanche 报道，The Sandbox 的联合创始人兼首席运营官 Sebastien Borget 的妻子，本周在法国塞纳的家中遭遇一起绑架未遂事件。嫌疑人伪装成快递员骗其打开大门，随后 5 名,,100,70,70,100,65,0,79.25,potential,continue_classify,"spam_keyword,missing_source_lag,missing_asset"
