manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes,label_source,candidate_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,candidate_asset_symbol,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,channel_route,tradability_tier,tradability_tier_reason,relevance_score_realtime,discard_reason,relevance_flags,detected_entity_names,entity_flags,suggested_manual_decision,suggested_manual_event_type_l1,suggested_manual_event_type_l2,suggested_manual_primary_asset_symbol,suggested_manual_channel_route,suggested_manual_useful_for_research,auto_label_confidence,auto_label_reasons,auto_label_apply,auto_prefilled,manual_review_required,label_origin,manual_filled,auto_apply,auto_conf,relevance_score,event_scope_norm,event_type_norm,label_source_norm,review_required,label_origin_norm,asset_missing,review_priority_score,review_focus
keep_review,project_business,rwa_tokenization,,research_only,yes,auto_fill_unlabeled(conf=0.5),publish_review,cand_00247,2026-05-19 05:05:34 UTC+8,2026-05-18T21:05:34Z,2026-05-19 05:05:34 UTC+8,2026-05-19 05:05:34 UTC+8,2026-05-18T21:05:34Z,2026-05-19 05:05:34 UTC+8,Asia/Shanghai,source_rule:webhook,美国证券交易委员会准备允许基于区块链的代币化股票交易,币界网消息，据WatcherGuru报道，美国证券交易委员会（SEC）正在准备允许基于区块链的代币化股票交易。,webhook,,,,project_business,rwa_tokenization,unknown,human_review,medium,research_only,T3,indirect_or_research_only,58.75,,,SEC|RWA,,keep_review,project_business,rwa_tokenization,,research_only,yes,0.5,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing,relevance_score<60",false,,true,auto_medium_conf_review_required,True,False,0.5,58.75,unknown,project_business,publish_review,True,auto_medium_conf_review_required,True,116.06,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
keep_review,project_business,payment_adoption,,research_only,yes,auto_fill_unlabeled(conf=0.5),publish_review,cand_00317,2026-05-19 03:45:00 UTC+8,2026-05-18T19:45:00Z,2026-05-19 03:45:00 UTC+8,2026-05-19 03:45:00 UTC+8,2026-05-18T19:45:00Z,2026-05-19 03:45:00 UTC+8,Asia/Shanghai,source_rule:webhook,"⚡️REVOLUT LAUNCHES FIRST PHYSICAL CRYPTO CARD

Revolut unveiled its first physical crypto card as crypto-linked payments","⚡️REVOLUT LAUNCHES FIRST PHYSICAL CRYPTO CARD

Revolut unveiled its first physical crypto card as crypto-linked payments see wider adoption. https://t.co/AHzvwBSSZm",webhook,,,,project_business,payment_adoption,unknown,human_review,medium,research_only,T3,indirect_or_research_only,58.75,,,Revolut|Crypto Card,,keep_review,project_business,payment_adoption,,research_only,yes,0.5,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing,relevance_score<60",false,,true,auto_medium_conf_review_required,True,False,0.5,58.75,unknown,project_business,publish_review,True,auto_medium_conf_review_required,True,116.06,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
keep_review,project_business,payment_adoption,,research_only,yes,auto_fill_unlabeled(conf=0.5),publish_review,cand_00422,2026-05-19 01:39:32 UTC+8,2026-05-18T17:39:32Z,2026-05-19 01:39:32 UTC+8,2026-05-19 01:39:32 UTC+8,2026-05-18T17:39:32Z,2026-05-19 01:39:32 UTC+8,Asia/Shanghai,source_rule:webhook,Revolut unveils first physical crypto card as industry-wide card usage grows,Revolut unveils first physical crypto card as industry-wide card usage grows,webhook,,,,project_business,payment_adoption,unknown,human_review,medium,research_only,T3,indirect_or_research_only,58.75,,,Revolut|Crypto Card,,keep_review,project_business,payment_adoption,,research_only,yes,0.5,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing,relevance_score<60",false,,true,auto_medium_conf_review_required,True,False,0.5,58.75,unknown,project_business,publish_review,True,auto_medium_conf_review_required,True,116.06,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
keep_review,network_upgrade,upgrade_or_fork,,research_only,yes,auto_fill_unlabeled(conf=0.6),publish_review,cand_00274,2026-05-19 04:30:17 UTC+8,2026-05-18T20:30:17Z,2026-05-19 04:30:17 UTC+8,2026-05-19 04:30:17 UTC+8,2026-05-18T20:30:17Z,2026-05-19 04:30:17 UTC+8,Asia/Shanghai,source_rule:webhook,币安链推出BNBAgent SDK，支持AI代理使用链上身份,币界网消息，据Cointelegraph报道，币安链已在主网上推出BNBAgent SDK，允许AI代理使用链上身份、自动支付和持久记忆功能。,webhook,,,,network_upgrade,upgrade_or_fork,unknown,human_review,medium,research_only,T3,default_research_only,60.25,,,Binance|AI,,keep_review,network_upgrade,upgrade_or_fork,,research_only,yes,0.6,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.6,60.25,unknown,network_upgrade,publish_review,True,auto_medium_conf_review_required,True,115.99,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
keep_review,stablecoin_flow,stablecoin,,research_only,yes,auto_fill_unlabeled(conf=0.6),publish_review,cand_00188,2026-05-19 06:13:03 UTC+8,2026-05-18T22:13:03Z,2026-05-19 06:13:03 UTC+8,2026-05-19 06:13:03 UTC+8,2026-05-18T22:13:03Z,2026-05-19 06:13:03 UTC+8,Asia/Shanghai,source_rule:webhook,"P2P stablecoin transfers on @0xPolygon up 66.7% from Jan to April 🔥

every month bigger than the last. HIGHER! https://t","P2P stablecoin transfers on @0xPolygon up 66.7% from Jan to April 🔥

every month bigger than the last. HIGHER! https://t.co/h0PAy0oM7E",webhook,,,,stablecoin_flow,stablecoin,unknown,human_review,medium,research_only,T3,default_research_only,61.75,,,Stablecoin,,keep_review,stablecoin_flow,stablecoin,,research_only,yes,0.6,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.6,61.75,unknown,stablecoin_flow,publish_review,True,auto_medium_conf_review_required,True,115.91,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
keep_review,stablecoin_flow,stablecoin,,research_only,yes,auto_fill_unlabeled(conf=0.6),publish_review,cand_00314,2026-05-19 03:50:17 UTC+8,2026-05-18T19:50:17Z,2026-05-19 03:50:17 UTC+8,2026-05-19 03:50:17 UTC+8,2026-05-18T19:50:17Z,2026-05-19 03:50:17 UTC+8,Asia/Shanghai,source_rule:webhook,消费者对企业的稳定币交易量同比增长128%,币界网消息，据Cointelegraph报道，2025年消费者对企业的稳定币交易量同比激增128%，达到2.846亿笔，成为增长最快的稳定币支付类别。,webhook,,,,stablecoin_flow,stablecoin,unknown,human_review,medium,research_only,T3,default_research_only,61.75,,,Stablecoin,,keep_review,stablecoin_flow,stablecoin,,research_only,yes,0.6,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.6,61.75,unknown,stablecoin_flow,publish_review,True,auto_medium_conf_review_required,True,115.91,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_fill_unlabeled(conf=0.7),publish_review,cand_00235,2026-05-19 05:13:55 UTC+8,2026-05-18T21:13:55Z,2026-05-19 05:13:55 UTC+8,2026-05-19 05:13:55 UTC+8,2026-05-18T21:13:55Z,2026-05-19 05:13:55 UTC+8,Asia/Shanghai,source_rule:webhook,🇺🇸 NEW: U.S. Securities and Exchange Commission is preparing to allow blockchain-based trading of tokenized stocks.,🇺🇸 NEW: U.S. Securities and Exchange Commission is preparing to allow blockchain-based trading of tokenized stocks.,webhook,,,,regulation_macro,regulation,unknown,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,SEC|RWA,,approve_publish,regulation_macro,regulation,,macro_policy,yes,0.7,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.7,61.75,unknown,regulation_macro,publish_review,True,auto_medium_conf_review_required,True,115.91,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_fill_unlabeled(conf=0.7),publish_review,cand_00149,2026-05-19 06:52:06 UTC+8,2026-05-18T22:52:06Z,2026-05-19 06:52:06 UTC+8,2026-05-19 06:52:06 UTC+8,2026-05-18T22:52:06Z,2026-05-19 06:52:06 UTC+8,Asia/Shanghai,source_rule:webhook,美国SEC最快本周推出代币化股票创新豁免框架,币界网消息，据彭博社报道，美国证券交易委员会（SEC）最快可能于本周推出针对代币化股票的“创新豁免”框架，允许市场交易与上市公司股价挂钩的股票代币。报道称，SEC倾向于允许第三方在未经上市公司授权的情况下发行相关代币，并在去中心化金融（DeFi）平台上交易但若相关代币未向持有人提供股东投票权、分红等权益，相关平台可能会失去上线该类代币的资格。,webhook,,,,regulation_macro,regulation,unknown,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,SEC|RWA|DeFi,,approve_publish,regulation_macro,regulation,,macro_policy,yes,0.7,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.7,61.75,unknown,regulation_macro,publish_review,True,auto_medium_conf_review_required,True,115.91,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
approve_publish,regulation_macro,license,,macro_policy,yes,auto_fill_unlabeled(conf=0.7),publish_review,cand_00318,2026-05-19 03:44:17 UTC+8,2026-05-18T19:44:17Z,2026-05-19 03:44:17 UTC+8,2026-05-19 03:44:17 UTC+8,2026-05-18T19:44:17Z,2026-05-19 03:44:17 UTC+8,Asia/Shanghai,source_rule:webhook,Zerohash Europe获得荷兰央行电子货币机构牌照,币界网消息，据The Block报道，加密基础设施服务商Zerohash Europe已获得荷兰中央银行（DNB）颁发的电子货币机构（EMI）牌照，成为首家同时持有欧盟MiCA加密资产监管牌照与EMI牌照的机构。根据欧洲银行管理局（EBA）此前发布的监管指引，涉及稳定币支付流的相关业务需额外取得EMI许可。获得双重牌照后，Zerohash可在欧洲经济区（EEA）范围内同时。,webhook,,,,regulation_macro,license,unknown,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,Stablecoin|Zerohash,,approve_publish,regulation_macro,license,,macro_policy,yes,0.7,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,True,False,0.7,61.75,unknown,regulation_macro,publish_review,True,auto_medium_conf_review_required,True,115.91,"no_auto_apply,low_confidence,unknown,missing_asset,manual_review_required"
approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00212,2026-05-19 05:45:00 UTC+8,2026-05-18T21:45:00Z,2026-05-19 05:45:00 UTC+8,2026-05-19 05:45:00 UTC+8,2026-05-18T21:45:00Z,2026-05-19 05:45:00 UTC+8,Asia/Shanghai,source_rule:webhook,"This is absolutely insane.

9 connected Polymarket accounts just netted +$2.4 million betting on the Iran war.

The win","This is absolutely insane.

9 connected Polymarket accounts just netted +$2.4 million betting on the Iran war.

The win rate? 98% across 80+ bets.

These accounts correctly called the exact dates of:

- The first US strikes
- The removal of Iran's supreme leader
- The ceasefire announcement

Nicolas Vaiman, whose team discovered the pattern, put it simply: ""Luck alone cannot explain those numbers.""

Last month, a US Army soldier was indicted for allegedly using classified intel to net more than $400,000 in profit on Polymarket.

Meanwhile, over $1 BILLION has been staked on military outcomes on prediction markets in 2026 alone.

Prediction markets haven't just gamified geopolitics. They've officially created an entirely new category of insider trading.",webhook,,,,regulation_macro,macro,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,60.25,,,Interest Rate|Polymarket|Polymarket,,approve_publish,regulation_macro,macro,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,60.25,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.99,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
