candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags,auto_quality_score,suggested_reason,suggested_review_decision,review_priority,parsed_backtest_time_utc,event_age_hours,horizon_status,is_mature_72h,publish_decision,discard_reason,primary_discard_reason,channel_route,event_type_l1,event_type_l2,entity_flags,relevance_score_realtime,tradability_tier,primary_asset_symbol,primary_binance_spot_symbol,primary_binance_futures_symbol,effective_asset_symbol,effective_binance_spot_symbol,effective_binance_futures_symbol,v06_stratify_type,eligible_v06_filtered,v06_filtered_preview,asset_attribution_risk,asset_attribution_flags,asset_attribution_explanation,v06_clean_low_risk_preview,tg_prefilter_status,tg_prefilter_reason,tg_prefilter_event_key
cand_00304,news:1023:433959eb334ddec6,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Kraken revenue hits $507m in Q1 despite slump,"Kraken revenue rose 3% year-on-year to $507m in Q1 2026 as futures trading jumped 51%, Payward said Monday.

Payward, Kraken’s Wyoming-based parent company, said in a Monday press release that it generated $507 million in Q1 2026 adjusted revenue, up 3% from the same quarter a year earlier. Bitcoin fell 22% during the quarter and industry-wide spot trading volume dropped 38%, yet Payward’s diversified platform cushioned the decline.

A year earlier, Payward had reported $492 million in Q1 2025 adjusted revenue, making the 3% year-on-year gain notable given the steeper market downturn this cycle.

Co-CEO Arjun Sethi said in the release: “Where others pulled back, we leaned in.” Growth in futures and newer business lines offset weakness in core crypto markets, with Kraken’s spot market share rising to 5.2% in March from roughly 3.5% in mid-2025.

Rival platforms reported sharper declines in trading revenue over the same period. Payward attributed its resilience to its stronger institutional business and growing derivatives offering, built partly through its $550 million acquisition of CFTC-licensed platform Bitnomial, which crypto.news covered when the deal completed on May 4.

Total platform transaction volume reached $357 billion in Q1, while funded accounts rose 47% year-on-year to 6.1 million and assets on platform reached $40 billion.

Adjusted EBITDA fell to $18 million as Payward continued investing in acquisitions including tokenization platform Backed, token management firm Magna, Bitnomial, and payments company Reap.

Crypto.news reported that non-trading revenue sources including custody, payments, and financing accounted for 53% of Payward’s 2025 total, a structural shift that reduces dependence on volatile trading volumes.

Payward filed its draft S-1 with the SEC confidentially in November 2025 but paused the process in March, citing market conditions. Sources indicate a public listing may slip to 2027. The exchange also cut approximately 150 employees in May, attributing the reductions to AI-driven operational efficiencies, representing roughly 5% of its total workforce.

Payward’s M&A push positions it as the most comprehensively regulated crypto derivatives platform in the US. Crypto.news documented how the Bitnomial deal and Deutsche Börse’s $200 million stake established Payward as a regulated hub for digital asset futures and options inside the US, with its IPO filing remaining active.",news:cryptonews,https://crypto.news/kraken-revenue-hits-507m-in-q1-despite-slump/,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T20:00:00Z,202.1144,mature_72h,true,human_review,,,macro_policy,institutional_flow,etf_or_fund_flow,,72.0,T2,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,institutional_flow,True,true,low,,,true,reject,low_impact_or_too_generic_news,BTC|institutional_flow|kraken revenue hits $507m in q1 despite slump
cand_00112,news:1023:d02ce594fb7bcd90,2026-05-19T00:00:00Z,2026-05-19 08:00:00 UTC+8,2026-05-19T00:00:00Z,2026-05-19 08:00:00 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-19 08:00:00 UTC+8,2026-05-19T00:00:00Z,2026-05-19 08:00:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Galaxy Digital wins New York BitLicense,"Galaxy Digital secured a BitLicense from New York on May 18 to offer regulated crypto services to institutions.

Galaxy Digital announced on May 18 that the New York State Department of Financial Services granted its subsidiary GalaxyOne Prime NY both a BitLicense and a Money Transmission License.

The approvals authorise Galaxy to offer regulated digital asset trading and custody services to institutions across New York State, including registered investment advisers, hedge funds, and family offices on a platform managing approximately $9 billion in client assets.

“New York is home to the deepest pool of institutional capital in the country, and digital assets are no longer sitting at the edge of those allocations,” said Mike Novogratz, Galaxy’s founder and CEO, in a statement.

Galaxy becomes only the second firm to receive a BitLicense in 2026, following bitcoin payments firm Strike, which secured NYDFS approval in March.

The framework, introduced in 2015, is one of the strictest crypto licensing regimes in the US, requiring capital minimums, ongoing compliance reviews, and cybersecurity oversight. Only around 40 companies have been approved since launch. New York now joins Galaxy’s regulatory network of more than 50 global licences.

As crypto.news reported , Galaxy research head Alex Thorn has been closely tracking institutional Bitcoin allocations throughout 2026. The New York BitLicense gives Galaxy’s trading and custody platform direct access to the institutions driving those flows, in a state that holds the largest concentration of hedge funds and investment advisers in the US.

BitLicense holders include Coinbase, Robinhood, Circle, and PayPal, making Galaxy’s approval a signal that NYDFS continues selectively admitting crypto firms. As crypto.news documented in its 2025 coverage of Galaxy’s Q2 results, the firm has been building out its data center and AI infrastructure alongside its digital asset platform.

The New York licence now opens one of the world’s largest institutional pools to a firm that generated record results in Global Markets last year and has expanded its data center operations significantly since.

Galaxy’s shares fell 2.36% to $28.91 in pre-market trading on Monday despite the approval, reflecting broader market weakness on the day.",news:cryptonews,https://crypto.news/galaxy-digital-wins-new-york-bitlicense/,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T00:00:00Z,198.1144,mature_72h,true,human_review,,,macro_policy,regulation_macro,license,,70.5,T2,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,regulation_macro,True,true,low,,,true,reject,low_impact_or_too_generic_news,BTC|regulation_macro|galaxy digital wins new york bitlicense
cand_00160,2056505718988275732,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,以太坊质押比例上升至31%，长期持有者信心依旧,币界网消息，据The Block报道，尽管以太坊年内价格已下跌约26%，但其质押比例由年初的约29%升至总供应量的约31%。持续增长的质押规模显示，长期持有者在价格承压及链上风险仍存的情况下，依然对以太坊保持信心，并逐步减少市场流通供应。随着现货以太坊ETF发展及以太坊上代币化活动扩张，机构对质押以太坊的需求可能为质押生态带来新的结构性资金流入，但是否会进一步传导至以太坊价格，仍取决于机构资金的实际配置进展。,webhook,,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-18T22:42:26Z,199.4072,mature_72h,true,human_review,,,research_only,institutional_flow,etf_or_fund_flow,possible_price_recap,69.75,T3,ETH,ETHUSDT,ETHUSDT,ETH,ETHUSDT,ETHUSDT,institutional_flow,True,true,low,,,true,reject,low_impact_or_too_generic_news,ETH|institutional_flow|以太坊质押比例上升至31 长期持有者信心依旧
cand_00365,2056445967503917562,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 02:45:00 UTC+8,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Bitwise将用10%管理费购买$HYPE,币界网消息，Bitwise宣布将使用其BHYP Hyperliquid ETF管理费的10%来购买并持有$HYPE代币。此外，99%的区块链收入将用于回购和销毁HYPE代币。,webhook,,HYPE,,HYPEUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,85,"has_asset,missing_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T18:45:00Z,203.3644,mature_72h,true,human_review,,,research_only,institutional_flow,etf_or_fund_flow,,69.75,T3,HYPE,,HYPEUSDT,HYPE,,HYPEUSDT,institutional_flow,True,true,low,,,true,reject,duplicate_prefilter,HYPE|institutional_flow|bitwise hype
cand_00478,2056418306362634718,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:55:05 UTC+8,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:","Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:

↳ @StraitsX + Monetary Authority of Singapore.
↳ @Alipay and GrabPay rails.
↳ Nonco doing on-chain FX in LatAm.
↳ @rain as the on/off ramp.

The non-US stablecoin universe is here.",webhook,,AVAX,AVAXUSDT,AVAXUSDT,other,observe,3,single_asset,high,high,true,include,,unknown_event_type,80,"has_asset,has_binance_symbol,time_ok,unknown_event_type,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-18T16:55:05Z,205.1964,mature_72h,true,human_review,,,research_only,stablecoin_flow,stablecoin,,69.75,T3,AVAX,AVAXUSDT,AVAXUSDT,AVAX,AVAXUSDT,AVAXUSDT,stablecoin_flow,True,true,low,,,true,reject,too_generic_without_concrete_signal,AVAX|stablecoin_flow|stablecoins aren t just a us story john1wu
cand_00482,2056418026870743250,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:53:58 UTC+8,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,webhook,,HYPE,,HYPEUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,85,"has_asset,missing_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T16:53:58Z,205.215,mature_72h,true,human_review,,,research_only,institutional_flow,etf_or_fund_flow,,69.75,T3,HYPE,,HYPEUSDT,HYPE,,HYPEUSDT,institutional_flow,True,true,low,,,true,reject,duplicate_prefilter,HYPE|institutional_flow|bitwise hype
cand_00449,2056424419023823124,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以太坊工作约 4 年，曾参与 FOCIL（EIP-7805）提案撰写及 Fast Confirmation Rule 推进工作。此前，Ethereum Foundation 前联合执行董事 Tomasz K. Stańczak、前成员 Josh Stark，以及 Protocol 团队成员 Barnabé Monnot、Tim Beiko、Alex Stokes 等人也已相继离职或暂时休假。（The Block）https://t.co/9gtDyj94Sj,webhook,,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-18T17:19:22Z,204.7917,mature_72h,true,human_review,,,research_only,network_upgrade,upgrade_or_fork,,68.25,T3,ETH,ETHUSDT,ETHUSDT,ETH,ETHUSDT,ETHUSDT,network_upgrade,True,true,low,,,true,reject,low_impact_or_too_generic_news,ETH|network_upgrade|ethereum foundation 研究员 carl beek 与 julian ma
cand_00227,news:2012:da417e582651905f,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-19 05:20:51 UTC+8,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Revolut推出首张实体加密卡，主打Dogecoin主题,金融科技公司 Revolut 宣布推出其首张实体加密借记卡，该卡以 Dogecoin 为主题，并配备可在用户轻触支付时亮起的 LED 显示屏。该卡可在支持 Visa 和 Mastercard 的商户使用，并将率先在英国及欧洲经济区推出。此次发布正值加密卡使用量持续增长之际。Crypto.com、Coinbase、Binance 等平台均在扩大加密卡服务，Gemini 也将信用卡业务视为重要收入增长来源。数据显示，近期加密卡日交易量已多次突破 10 万笔，行业支付场景正在进一步扩展。,news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/482275,DOGE,DOGEUSDT,DOGEUSDT,other,observe,3,single_asset,high,high,true,include,,unknown_event_type,80,"has_asset,has_binance_symbol,time_ok,unknown_event_type,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-18T21:20:51Z,200.7669,mature_72h,true,human_review,,,research_only,project_business,payment_adoption,possible_price_recap,68.0,T3,DOGE,DOGEUSDT,DOGEUSDT,DOGE,DOGEUSDT,DOGEUSDT,project_business,True,true,low,,,true,reject,marketing_or_adoption_weak_signal,DOGE|project_business|revolut推出首张实体加密卡 主打dogecoin主题
cand_00456,news:1029:025910545d4c28a2,2026-05-18T17:11:22Z,2026-05-19 01:11:22 UTC+8,2026-05-18T17:11:22Z,2026-05-19 01:11:22 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-19 01:11:22 UTC+8,2026-05-18T17:11:22Z,2026-05-19 01:11:22 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Ethereum's Vitalik Buterin Explains How AI Could Make Smart Contracts Truly Secure,"Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Ethereum co-founder Vitalik Buterin has published a detailed argument that AI-assisted formal verification could fundamentally change how secure software is built, pushing back against growing pessimism in the cybersecurity community about whether trustless systems can survive increasingly powerful AI-driven attacks.

“Many people have claimed that with AI-assisted bug finding, secure code will be impossible,” Buterin wrote. “I have a much more optimistic take, and AI-assisted formal verification is a major part of the reason why.”

Formal verification is the practice of writing mathematical proofs about code that can be checked automatically by a computer. Rather than testing software and hoping bugs do not appear, developers write proofs that mathematically guarantee a piece of code behaves exactly as intended under all conditions.

Many people have claimed that with AI-assisted bug finding, secure code (and hence trustless anything) will be impossible. I have a much more optimistic take, and AI-assisted formal verification is a major part of the reason why: https://t.co/0ceMBZ6uqj

The technology has existed for decades but remained niche because writing these proofs by hand is extremely difficult and time-consuming. Buterin’s argument is that AI changes this equation dramatically. AI can write both the code and the proofs, while humans simply verify that the statements being proved match what they actually want the software to do.

He described this combination as what researcher Yoichi Hirai calls “the final form of software development.”

Buterin pointed to several areas where formal verification is already being applied within Ethereum’s development ecosystem. These include quantum-resistant signatures, STARK proof systems, consensus algorithms, and ZK-EVMs, all areas where the security properties are simple to define even though the underlying code is extraordinarily complex.

Projects like Arklib are working toward a fully formally verified STARK implementation. The evm-asm project is building an entire EVM written directly in RISC-V assembly, verified mathematically against a human-readable reference implementation. Byzantine fault-tolerant consensus protocols are also being formally specified and verified in Lean.

The main insight is that for these systems the gap between what the code does and what it is supposed to do can be closed with mathematical certainty rather than probabilistic testing.

Buterin was careful not to overstate the case. Formal verification has real failure modes. Proofs can be written about only part of a system while critical bugs hide in unverified sections. Developers can forget to specify properties that matter. The formal specification itself can be wrong. Hardware vulnerabilities like side-channel attacks can bypass even mathematically correct software.

“Provable correctness does not prove that software is correct in the way most human beings understand correctness,” he wrote. What formal verification actually does is allow developers to express their intentions in multiple different redundant ways and automatically check that all those expressions are compatible with each other.

Buterin described an optimistic future where software splits into two layers. An insecure edge layer handles lower-stakes functions, runs in sandboxes, and operates with minimal permissions. A secure core handles everything critical, including Ethereum itself, operating system kernels, and sensitive IoT infrastructure.

The secure core is kept deliberately small and subjected to aggressive formal verification. AI brings the computational power to make verification practical at scale. The result is not software with zero bugs but software where the most critical components can be trusted with mathematical confidence rather than hope.

“Defenders finally have a chance to win, decisively,” he concluded, citing Mozilla’s own experience hardening its codebase against AI-assisted attack tools.",news:coinpedia,https://coinpedia.org/news/ethereums-vitalik-buterin-explains-how-ai-could-make-smart-contracts-truly-secure/,ETH,ETHUSDT,ETHUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T17:11:22Z,204.925,mature_72h,true,human_review,,,macro_policy,regulation_macro,regulation,,68.0,T2,ETH,ETHUSDT,ETHUSDT,ETH,ETHUSDT,ETHUSDT,regulation_macro,True,true,low,,,true,reject,too_generic_without_concrete_signal,ETH|regulation_macro|ethereum s vitalik buterin explains how ai could
cand_00134,news:1023:5acbf76607abcf59,2026-05-18T23:20:00Z,2026-05-19 07:20:00 UTC+8,2026-05-18T23:20:00Z,2026-05-19 07:20:00 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-19 07:20:00 UTC+8,2026-05-18T23:20:00Z,2026-05-19 07:20:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Revolut launches first physical crypto card,"Revolut launched its first physical crypto card on May 18, a Dogecoin-themed LED card for the UK and EEA.

Revolut announced on May 18 that it is launching its first physical crypto card, a Dogecoin-themed debit card with an LED display that illuminates at the point of payment. The card works anywhere Visa and Mastercard are accepted, with an initial rollout in the UK and EEA.

Our first physical crypto card: – Dogeeeeeeeee – Zero exchange fees – LED lights up when you tap to pay – Spend everywhere Visa and Mastercard are accepted Available in the UK and EEA (except Hungary, Switzerland and Portugal). Initial supplies may be limited. Crypto card…

The firm said there are no additional exchange fees on crypto payments, though transactions are subject to real-time exchange rates at the point of purchase and may create tax obligations depending on local rules. Revolut converts users’ crypto to fiat automatically at checkout, meaning merchants receive standard settlement currency without touching digital assets directly.

The physical card links to users’ crypto balances and handles the conversion in the background. That removes the primary friction point that has kept crypto spending separate from everyday consumer finance: the need to manually convert before each purchase. Spending limits include a £100,000 cap per transaction and a maximum of 100 exchanges within any 24-hour period.

As crypto.news reported just days earlier, Revolut also secured FCA permissions for leveraged investment products, discretionary portfolio management, and advisory services.

The crypto card launch sits within a broader regulatory and product expansion that also includes its full UK banking licence received in March 2026 and a US banking charter application filed the same month. Revolut serves over 70 million users globally.

Revolut’s distribution scale is the headline fact here. As crypto.news documented in its crypto cards guide, consumer appetite for crypto-linked debit products has grown steadily in 2026 alongside regulatory clarity. Adding a physical card to a 70-million-user platform creates a potential mass adoption vehicle that most crypto-native card products have lacked.

The company’s earlier US banking licence application signals the card will eventually expand beyond the UK and EEA, potentially bringing crypto spending to one of the world’s largest consumer markets.

Tax treatment remains the main practical barrier: crypto payments are taxable sale events in most jurisdictions, meaning frequent spenders need clear record-keeping infrastructure to manage cost basis and gains.",news:cryptonews,https://crypto.news/revolut-launches-first-physical-crypto-card/,DOGE,DOGEUSDT,DOGEUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T23:20:00Z,198.7811,mature_72h,true,human_review,,,macro_policy,project_business,payment_adoption,,67.5,T2,DOGE,DOGEUSDT,DOGEUSDT,DOGE,DOGEUSDT,DOGEUSDT,project_business,True,true,low,,,true,reject,marketing_or_adoption_weak_signal,DOGE|project_business|revolut crypto card
