event_id,asset_symbol,event_subtype,prefilter_passed,prefilter_blocks,prefilter_warnings,pre_event_abnormal_6h,price_in_5m,price_in_15m,price_in_1h,short_price_in_flag,price_in_flag,market_hours_block,title
cand_04833,BNB,etf_or_fund_flow,true,pass,none,0.004277,-0.000030,0.000061,0.000487,pass,none,false,VanEck和Grayscale向SEC提交BNB ETF修正文件
cand_04490,SOL,exploit_or_theft,false,"primary_asset_confidence_below_70pct,weak_chain_token_attribution",none,-0.003230,0.000347,0.000927,0.001391,pass,none,false,Is Q-Day crypto’s next threat as blockchains rush quantum fixes?
cand_04117,SOL,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,0.003202,-0.000589,-0.000824,-0.004692,pass,none,false,"🚀@GoPlusSecurity is now live on the @wallet Plugin Store.

Users can now access GoPlus security protection directly thro"
cand_04079,AAVE,exploit_or_theft,true,pass,none,-0.002936,-0.001129,-0.000904,0.003518,pass,none,false,Aave restores Ether borrowing limits after $230 million exploit
cand_04015,HYPE,etf_or_fund_flow,true,pass,none,-0.003213,0.005035,0.004108,0.011708,pass,none,false,Lookonchain：与a16z关联的钱包0xb5e4今日买入37.2万枚HYPE
cand_03933,LINK,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,-0.005905,0.001060,0.002123,-0.003168,pass,none,false,Crypto Users Warn of Official-Looking Phishing Emails: Exchange and DeFi Users Targeted - U.Today
cand_03916,AAVE,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,-0.003856,0.002614,0.001476,-0.000566,pass,none,false,AAVE恢复WETH抵押限额，正常运营
cand_03794,XRP,etf_or_fund_flow,true,pass,none,-0.000588,0.001505,0.000931,0.009611,pass,none,false,"Goldman Sachs Liquidates $154 Million XRP Position via ETF, Pivots to Hyperliquid Treasury - U.Today"
cand_03657,BNB,etf_or_fund_flow,true,pass,none,0.002728,-0.001758,-0.003431,-0.007660,pass,none,false,AEON raises $8m to wire AI agents into 50m real-world merchants
cand_03481,HYPE,etf_or_fund_flow,true,pass,none,-0.001903,0.000712,0.001068,0.003301,pass,none,false,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF
cand_03399,XRP,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,-0.000456,-0.002245,-0.002823,0.000000,pass,none,false,Crude Oil Prices: Brent and WTI Rise as Markets Respond to Trump-Xi Trade Talks
cand_03364,HYPE,etf_or_fund_flow,true,pass,none,0.004224,-0.001040,-0.001328,-0.007063,pass,none,false,Bitwise将用10%管理费购买$HYPE
cand_03198,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+4.03%_6h,none,0.040285,-0.004567,-0.005492,0.025084,pass,moderate,false,Bitwise HYPE ETF pledges 10% fees to buybacks
cand_03063,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+5.15%_6h,none,0.051452,-0.002764,0.004417,0.004080,pass,none,false,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) manag"
cand_02824,BNB,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,-0.003783,-0.000620,-0.002786,0.001399,pass,moderate,false,BNB Reveals Biggest Challenge of Post-Quantum Network Migrations - U.Today
cand_02338,XRP,etf_or_fund_flow,true,pass,none,0.000452,-0.000291,0.001679,0.003877,pass,none,false,参议员：OCC不应向Ripple和Coinbase等加密企业授予国家信托牌照
cand_02076,HYPE,etf_or_fund_flow,true,pass,none,0.002200,0.002775,0.004598,-0.006080,pass,none,false,"Hyperliquid ETF pulls $5M in days, 21Shares says"
cand_01769,LINK,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,0.004965,0.002421,0.003477,0.002421,pass,none,false,Bitwise研究院：资金从LayerZero迁移至Chainlink CCIP
cand_01767,LINK,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,0.004920,-0.000630,0.002526,0.003583,pass,none,false,吴说获悉，Bitwise 加密研究院 Ishmael Asad 发文表示，在 rsETH 攻击事件后，资金在从 LayerZero 向 Chainlink CCIP 迁移，其中 LayerZero 日活跃地址数已跌至近三年来的最低点，ZRO
cand_01593,XRP,etf_or_fund_flow,true,pass,none,0.002689,-0.000073,0.000073,0.001755,pass,severe,false,"XRP selling pressure fades, but $1.50 still blocks bulls"
cand_01570,XRP,etf_or_fund_flow,true,pass,none,0.001454,0.000437,0.001241,0.000875,pass,severe,false,"XRP ETF rises as bulls target $2, while SHRMiner cloud mining's daily passive income of $5,700 attracts attention"
cand_01439,XRP,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,-0.004476,-0.000512,0.000806,-0.003064,pass,none,false,Why Is Elizabeth Warren Attacking Ripple? The Answer Reveals Who Really Fears the CLARITY Act
cand_01434,XRP,etf_or_fund_flow,true,pass,none,-0.003824,0.000366,0.000512,-0.002699,pass,none,false,"XRP Records 100% Uptick in U.S. ETFs, but 105-Day Sideways Drift Blocks Price Breakout - U.Today"
cand_01288,SOL,etf_or_fund_flow,true,pass,none,0.000867,0.003193,0.000826,-0.000707,pass,none,false,Token Terminal：代币化ETF持有地址增至4.44万个
cand_01202,SOL,etf_or_fund_flow,true,pass,none,0.007270,-0.001635,-0.005584,0.011598,pass,none,false,🔥 NEW: Morgan Stanley filed an amended Solana ETF application with $MSOL as the proposed ticker. https://t.co/Qw1LVgdMnE
cand_01143,XRP,exploit_or_theft,false,"missing_primary_tradable_asset,primary_asset_confidence_below_70pct",none,0.003307,-0.000364,0.001385,0.000291,pass,none,false,Ripple CLO Alderoty Breaks Down What Clarity Act Really Means for US Market - U.Today
cand_00886,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+2.26%_6h,none,0.022637,0.001583,-0.006190,0.009111,pass,none,false,"🚨HYPERLIQUID ETFs SEE $22M INFLOWS IN FIRST WEEK

The first U.S. spot $HYPE ETFs have pulled in $22.3M in net inflows si"
cand_00649,SOL,etf_or_fund_flow,true,pass,none,-0.008168,-0.000465,-0.000698,-0.000698,pass,none,false,吴说获悉，据彭博 ETF 分析师 James Seyffart，Morgan Stanley 今晨提交了 Solana ETF 修订版申请文件，拟使用代码“MSOL”，目前尚未披露管理费率。https://t.co/7BbQCjRkqs
cand_00523,HYPE,etf_or_fund_flow,false,"pre_event_price_moved_+7.98%_6h,already_priced_in_60m_+3.00%",none,0.079783,0.002143,0.002741,0.030038,price_in_block,severe,false,Grayscale：已提交$HYPE ETF注册申请，过去一周购入51万枚
cand_00481,LINK,etf_or_fund_flow,true,pass,none,0.008352,0.003089,0.003605,0.004951,pass,none,false,"SpaceX IPO Playbook: 7 Supply Chain Stocks Riding the IPO Wave

The Space Economy is entering its most explosive phase y"
cand_00413,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+6.53%_6h,none,0.065308,-0.001202,-0.000690,0.009557,pass,severe,false,链上监测：鲸鱼和机构大量购买$HYPE
cand_00412,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+6.77%_6h,none,0.067728,0.001042,0.001821,0.012741,pass,severe,false,多个巨鲸及机构近期持续增持HYPE
cand_00258,LINK,etf_or_fund_flow,true,pass,none,-0.002427,-0.000622,-0.000830,-0.004238,pass,none,false,"Crypto traders are front-running the SpaceX IPO big time 🚀

While Wall Street targets a $1.75T valuation, SpaceX trackin"
cand_00048,HYPE,etf_or_fund_flow,false,pre_event_price_moved_+3.99%_6h,none,0.039939,-0.002201,-0.011061,-0.006162,pass,moderate,false,"BITWISE IS BUYING $HYPE

Bitwise have announced their ETF addresses. They have bought a total of $19.78M HYPE so far and"
cand_04766,SOL,listing_delisting,true,pass,none,-0.004008,-0.001157,-0.001966,-0.003924,pass,severe,false,Jump Crypto上线Firedancer验证器客户端，已处理数千万笔交易
cand_04652,ADA,whale_wallet_position,true,pass,none,0.007259,-0.001171,-0.002338,0.001957,pass,none,false,"🐋 INTERESTING: Cardano whales now control nearly 67% of the entire ADA supply, the highest concentration since 2020. htt"
cand_04610,SOL,upgrade_or_fork,true,pass,none,-0.002428,-0.000574,-0.000459,0.002649,pass,none,false,"Firedancer quietly hits Solana mainnet, but validators must wait"
cand_04537,XRP,upgrade_or_fork,true,pass,none,-0.000081,0.000000,-0.000634,-0.003372,pass,none,false,XRP Upgrade Nears Rollout With Critical Fixes Across Several Features - U.Today
cand_04273,BNB,staking_or_governance,true,pass,none,0.002073,0.000666,0.001566,-0.003393,pass,severe,false,Cointelegraph：Vaneck和Grayscale提交BNB ETF提案修正案
cand_03950,SOL,foundation_team,true,pass,none,-0.005820,-0.000355,-0.002834,-0.003657,pass,none,false,"⚡️ INSIGHT: Solana Foundation President Lily Liu says, “Memecoins don’t define Solana.” https://t.co/UlqW33QEtM"
cand_03936,HYPE,upgrade_or_fork,true,pass,none,0.002263,-0.001301,-0.000022,-0.006102,pass,none,false,吴说获悉，Hyperliquid 宣布，约一个月后其活跃验证者集合将从 24 个增至 27 个，网络仍将保持当前的无需许可（permissionless）验证机制。官方提醒验证者在主网上线前充分熟悉测试网与相关技术细节，并表示验证者需自质押
cand_03902,XRP,upgrade_or_fork,true,pass,none,-0.008418,-0.000797,-0.000363,-0.003326,pass,moderate,false,XRPL Validators Face Upgrade Deadline Ahead of Amendment Activation - U.Today
cand_03867,XRP,upgrade_or_fork,true,pass,none,-0.005450,0.001159,0.002321,0.002103,pass,none,false,XRPL validators face May 27 deadline as upgrade nears activation
