source,published_at_china,published_at_utc,manual_review_required,label_origin,candidate_id,title,content,manual_channel_route,manual_primary_asset_symbol,event_scope,expected_manual_decision,expected_failure_mode
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_001,CPI hotter than expected pressures all risk assets,CPI hotter than expected pressures all risk assets,macro_policy,,market_wide,discard,macro_no_asset
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_002,SEC approves spot Ethereum ETF rule change,SEC approves spot Ethereum ETF rule change,macro_policy,ETH,single_asset,approve_publish,explicit_eth_not_btc
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_003,Whale opens large HYPE short on Hyperliquid,Whale opens large HYPE short on Hyperliquid,unsupported_research,HYPE,single_asset,keep_review,unsupported_but_relevant
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_004,Protocol pauses eBTC market after abnormal borrow activity,Protocol pauses eBTC market after abnormal borrow activity,alpha_candidate,BTC,single_asset,approve_publish,soft_hack_signal
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_005,Bitcoin price retests key moving average,Bitcoin price retests key moving average,research_only,BTC,single_asset,discard,generic_price_recap
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_006,Binance adds new DYOR dashboard,Binance adds new DYOR dashboard,research_only,,market_wide,discard,product_announcement_low_alpha
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_007,US Treasury sanctions crypto mixer tied to exploit,US Treasury sanctions crypto mixer tied to exploit,macro_policy,,market_wide,approve_publish,legal_enforcement_macro
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_008,Solana mainnet upgrade scheduled for next week,Solana mainnet upgrade scheduled for next week,research_only,SOL,single_asset,keep_review,network_upgrade_future
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_009,Stablecoin issuer mints 1B USDT on Tron,Stablecoin issuer mints 1B USDT on Tron,alpha_candidate,USDT,single_asset,approve_publish,stablecoin_flow
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_010,Article footer lists BTC ETH SOL DOGE prices,Article footer lists BTC ETH SOL DOGE prices,research_only,,unknown,discard,scraped_footer_noise
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_011,Token unlock for XRP escrow releases 1B XRP,Token unlock for XRP escrow releases 1B XRP,alpha_candidate,XRP,single_asset,approve_publish,token_supply_unlock
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_012,Iran football team arrives in Turkey,Iran football team arrives in Turkey,research_only,,unknown,discard,non_crypto_noise
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_013,MicroStrategy buys additional BTC,MicroStrategy buys additional BTC,macro_policy,BTC,single_asset,approve_publish,institutional_btc_flow
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_014,Multiple assets rally after Fed rate decision,Multiple assets rally after Fed rate decision,macro_policy,,market_wide,keep_review,market_wide_macro
synthetic:v06_edge,2026-05-27 12:00:00 UTC+8,2026-05-27T04:00:00Z,true,synthetic_edge_case,syn_015,Bridge exploit drains funds then attacker uses Tornado Cash,Bridge exploit drains funds then attacker uses Tornado Cash,alpha_candidate,,multi_asset,approve_publish,hack_asset_unknown
