candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags,auto_quality_score,suggested_reason,suggested_review_decision,review_priority,parsed_backtest_time_utc,event_age_hours,horizon_status,is_mature_72h,publish_decision,discard_reason,primary_discard_reason,channel_route,event_type_l1,event_type_l2,entity_flags,relevance_score_realtime,tradability_tier,primary_asset_symbol,primary_binance_spot_symbol,primary_binance_futures_symbol,effective_asset_symbol,effective_binance_spot_symbol,effective_binance_futures_symbol,v06_stratify_type,eligible_v06_filtered,v06_filtered_preview
cand_00077,2056534324389028320,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with","Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.

https://t.co/Z3vQB9Mk8z https://t.co/U6SMTvfHfd",webhook,,HYPE,,HYPEUSDT,whale_position,observe,3,single_asset,high,high,false,include,,,75,"has_asset,missing_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-19T00:36:06Z,197.5128,mature_72h,true,human_review,,,alpha_candidate,whale_position,whale_wallet_position,,76.5,T1,HYPE,,HYPEUSDT,HYPE,,HYPEUSDT,whale_position,True,true
cand_00484,2056417103637254305,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T16:50:18Z,205.2761,mature_72h,true,human_review,,,alpha_candidate,hack_security,exploit_or_theft,,72.75,T1,ETH,ETHUSDT,ETHUSDT,ETH,ETHUSDT,ETHUSDT,hack_security,True,true
cand_00493,2056415265085079912,2026-05-18T16:43:00Z,2026-05-19 00:43:00 UTC+8,2026-05-18T16:43:00Z,2026-05-19 00:43:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:43:00 UTC+8,2026-05-18T16:43:00Z,2026-05-19 00:43:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"JUST IN: Strategy $MSTR has generated an 84,987 #Bitcoin gain ($6.6 billion) so far this year, which is already 75% of t","JUST IN: Strategy $MSTR has generated an 84,987 #Bitcoin gain ($6.6 billion) so far this year, which is already 75% of the entire 2025 BTC gain. 

""Digital credit is helping us deliver faster growth in 2026 than in 2025,"" said CEO Phong Le. 🔥 https://t.co/VOvgjmcQWo",webhook,,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T16:43:00Z,205.3978,mature_72h,true,human_review,,,macro_policy,institutional_flow,etf_or_fund_flow,,72.0,T2,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,institutional_flow,True,true
cand_00074,2056535371408724123,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Santiment：持有至少100 BTC的钱包数量增至20229,"币界网消息，据Cointelegraph报道，持有至少100枚BTC的钱包数量已上升至20,229个，比一年前增长了11.2%。这表明，尽管市场波动，鲸鱼和机构投资者仍在持续积累比特币。",webhook,,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T00:40:15Z,197.4436,mature_72h,true,human_review,,,alpha_candidate,onchain_data,wallet_metric,,75.0,T1,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,onchain_data,True,true
cand_00449,2056424419023823124,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以太坊工作约 4 年，曾参与 FOCIL（EIP-7805）提案撰写及 Fast Confirmation Rule 推进工作。此前，Ethereum Foundation 前联合执行董事 Tomasz K. Stańczak、前成员 Josh Stark，以及 Protocol 团队成员 Barnabé Monnot、Tim Beiko、Alex Stokes 等人也已相继离职或暂时休假。（The Block）https://t.co/9gtDyj94Sj,webhook,,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3,single_asset,high,high,false,include,,,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-18T17:19:22Z,204.7917,mature_72h,true,human_review,,,research_only,network_upgrade,upgrade_or_fork,,68.25,T3,ETH,ETHUSDT,ETHUSDT,ETH,ETHUSDT,ETHUSDT,network_upgrade,True,true
cand_00478,2056418306362634718,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:55:05 UTC+8,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:","Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:

↳ @StraitsX + Monetary Authority of Singapore.
↳ @Alipay and GrabPay rails.
↳ Nonco doing on-chain FX in LatAm.
↳ @rain as the on/off ramp.

The non-US stablecoin universe is here.",webhook,,AVAX,AVAXUSDT,AVAXUSDT,other,observe,3,single_asset,high,high,true,include,,unknown_event_type,80,"has_asset,has_binance_symbol,time_ok,unknown_event_type,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-18T16:55:05Z,205.1964,mature_72h,true,human_review,,,research_only,stablecoin_flow,stablecoin,,69.75,T3,AVAX,AVAXUSDT,AVAXUSDT,AVAX,AVAXUSDT,AVAXUSDT,stablecoin_flow,True,true
cand_00178,2056499804675735762,2026-05-18T22:18:56Z,2026-05-19 06:18:56 UTC+8,2026-05-18T22:18:56Z,2026-05-19 06:18:56 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 06:18:56 UTC+8,2026-05-18T22:18:56Z,2026-05-19 06:18:56 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,美国司法部：俄亥俄州居民因加密庞氏骗局被判9年监禁,币界网消息，美国司法部表示，俄亥俄州居民Rathnakishore Giri因运营加密货币投资庞氏骗局被判处9年监禁及3年监督释放。根据法庭文件，Giri以擅长比特币衍生品交易为名，向投资者承诺“保本高收益”，累计骗取超过1000万美元资金，并使用新投资者资金向早期投资者兑付。Giri已于2024年10月承认一项电信欺诈罪名，但在等待量刑期间仍继续向加密投资者募资，并造成新增受害者损失。,webhook,,BTC,BTCUSDT,BTCUSDT,token_unlock,risk,3,single_asset,high,high,true,include,,market_wide_event,120,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high",include,high,2026-05-18T22:18:56Z,199.7989,mature_72h,true,human_review,,,research_only,legal_enforcement,fraud_or_enforcement,,65.25,T3,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,legal_enforcement,True,true
cand_00227,news:2012:da417e582651905f,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-19 05:20:51 UTC+8,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Revolut推出首张实体加密卡，主打Dogecoin主题,金融科技公司 Revolut 宣布推出其首张实体加密借记卡，该卡以 Dogecoin 为主题，并配备可在用户轻触支付时亮起的 LED 显示屏。该卡可在支持 Visa 和 Mastercard 的商户使用，并将率先在英国及欧洲经济区推出。此次发布正值加密卡使用量持续增长之际。Crypto.com、Coinbase、Binance 等平台均在扩大加密卡服务，Gemini 也将信用卡业务视为重要收入增长来源。数据显示，近期加密卡日交易量已多次突破 10 万笔，行业支付场景正在进一步扩展。,news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/482275,DOGE,DOGEUSDT,DOGEUSDT,other,observe,3,single_asset,high,high,true,include,,unknown_event_type,80,"has_asset,has_binance_symbol,time_ok,unknown_event_type,single_asset,asset_confidence_high,time_confidence_high",include,medium,2026-05-18T21:20:51Z,200.7669,mature_72h,true,human_review,,,research_only,project_business,payment_adoption,possible_price_recap,68.0,T3,DOGE,DOGEUSDT,DOGEUSDT,DOGE,DOGEUSDT,DOGEUSDT,project_business,True,true
cand_00419,news:1006:80c4d6c2f38d9763,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,https://bitcoinmagazine.com/news/white-house-strategic-bitcoin-reserve,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4,single_asset,high,high,true,include,,market_wide_event,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T17:41:53Z,204.4164,mature_72h,true,human_review,,,macro_policy,regulation_macro,bitcoin_reserve_policy,,76.25,T2,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,regulation_macro,True,true
cand_00253,news:1023:a107c66a5b937a7d,2026-05-18T21:00:00Z,2026-05-19 05:00:00 UTC+8,2026-05-18T21:00:00Z,2026-05-19 05:00:00 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-19 05:00:00 UTC+8,2026-05-18T21:00:00Z,2026-05-19 05:00:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,HIVE soars over 35% on plans for $2.55b Toronto AI 'super factory',"HIVE Digital is pivoting from Bitcoin mining to a CAD 3.5b, 320 MW Toronto AI “super factory” hosting 100,000+ GPUs, sending its stock up over 35% on the news.

HIVE Digital Technologies, long known as a Bitcoin ( BTC ) mining company, has unveiled plans for a 320 MW AI infrastructure park in the Greater Toronto Area, a move that sent its shares up more than 35% at the open after the news broke on Monday, according to The Block. The company described the project as an AI “super factory” and said it aims to create one of Canada’s largest sovereign AI campuses at a time when demand for data center power and GPUs is exploding.

HIVE said the buildout will be led by its high‑performance computing subsidiary BUZZ, with total capital expenditure expected to reach roughly CAD 3.5 billion, or about $2.55 billion at current exchange rates. Once fully completed, the site is expected to support more than 100,000 GPUs across multiple large‑scale data halls dedicated to training and running AI models, putting the project in the same power class as some US hyperscale campuses.

The company is targeting the second half of 2027 for initial operations at the Toronto‑area AI park, suggesting a multi‑year construction and power‑procurement timeline that aligns with typical hyperscale data center projects. Management framed the site as “sovereign” AI infrastructure, signaling that HIVE wants to position the campus as a Canadian‑controlled alternative to US cloud and chip majors for governments, enterprises, and local AI startups.

HIVE did not disclose detailed financing plans in the initial announcement but indicated the CAD 3.5 billion budget includes land, power infrastructure, cooling, data center construction, and GPU hardware. Given the scale, the company is likely to lean on a mix of equity, debt, and potential partnerships with hardware vendors or cloud customers to lock in anchor tenants ahead of the 2027 launch.

The Toronto project marks the most aggressive step yet in HIVE’s ongoing shift away from pure Bitcoin mining toward AI and high‑performance computing infrastructure. In recent years, the firm has expanded GPU clusters and AI‑oriented data center operations in Paraguay and Sweden, effectively using its expertise in energy‑intensive mining to bootstrap a different kind of compute business.

That strategic pivot has taken place against a backdrop of rising competition and margin compression in Bitcoin mining, while GPU‑rich AI infrastructure has become one of the hottest capital‑markets stories of the cycle. By tying its future to a 320 MW “super factory” capable of hosting over 100,000 GPUs on Canadian soil, HIVE is betting that investors will reward it more as an AI data center operator than as a cyclical crypto miner — a bet Monday’s 35%+ share price pop suggests the market is, at least initially, willing to entertain.",news:cryptonews,https://crypto.news/hive-soars-over-35-on-plans-for-2-55b-toronto-ai-super-factory/,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,high,high,true,include,,market_wide_event,115,"has_asset,has_binance_symbol,time_ok,typed_event,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T21:00:00Z,201.1144,mature_72h,true,human_review,,,macro_policy,regulation_macro,regulation,,75.75,T2,BTC,BTCUSDT,BTCUSDT,BTC,BTCUSDT,BTCUSDT,regulation_macro,True,true
