event_id,error_type,reason,event_subtype,source_tier,observable_impact_type,conflict_type,criteria_block_reason,title
adv_001,true_positive,ok,exchange_halt,official,exchange_halt,,pass,Binance announces emergency listing halt for ABC after contract risk
adv_002,true_positive,ok,governance,official,protocol_parameter_change,,pass,Aave governance executes parameter change reducing LTV for CRV collateral
adv_003,true_positive,ok,stablecoin_supply_or_flow,onchain_verified,large_confirmed_flow,,pass,Tether treasury mints 1B USDT on Ethereum with transaction hash
adv_004,true_positive,ok,stablecoin_supply_or_flow,official,depeg,,pass,USDC depegs after issuer confirms banking exposure
adv_005,true_positive,ok,exchange_halt,official,withdrawal_pause,,pass,Major exchange pauses SOL withdrawals citing network incident
adv_006,true_positive,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,,pass,Curve pool exploit drains funds from CRV pools with attacker address
adv_007,true_positive,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,,pass,Ronin bridge exploit confirmed with attacker address and stolen funds
adv_008,true_positive,ok,exchange_listing,official,official_listing,,pass,Coinbase announces official listing for NEWCOIN with trading time
adv_009,true_positive,ok,upgrade_or_fork,official,large_operational_change,,pass,Protocol mainnet hard fork activated at block height
adv_010,true_positive,ok,whale_position,onchain_verified,forced_liquidation,,pass,Large liquidations force close whale ETH position on Hyperliquid
adv_011,true_positive,ok,governance,official,protocol_parameter_change,,pass,MakerDAO executes emergency debt ceiling parameter change
adv_012,true_positive,ok,exchange_listing,official,official_listing,,pass,OKX announces delisting of TOKEN perpetual contracts
adv_013,true_positive,ok,exchange_halt,official,withdrawal_pause,,pass,Lending protocol disables borrowing after oracle malfunction
adv_014,true_positive,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,,pass,Bridge exploit drains 45M with verified attacker transaction
adv_015,true_positive,ok,bankruptcy,court_or_regulatory_filing,bankruptcy_filing,,pass,Exchange confirms bankruptcy filing with court case number
adv_016,false_negative,source_basis_ok,exchange_halt,trusted_media,withdrawal_pause,trusted_media_confirmed_but_source_gate_blocks,source_basis_ok,Trusted media reports exchange wallet freeze confirmed by three users
adv_017,false_negative,source_basis_ok,exploit_or_theft,trusted_media,exploit_loss,source_tier_boundary,source_basis_ok,Research desk publishes signed proof of exploit loss before official post
adv_018,false_negative,source_basis_ok,etf_or_fund_flow,trusted_media,large_operational_change,regulatory_source_not_whitelisted,source_basis_ok,ETF issuer files urgent amendment changing creation basket mechanics
adv_019,false_negative,source_basis_ok,stablecoin_supply_or_flow,trusted_media,large_confirmed_flow,source_basis_boundary,source_basis_ok,Stablecoin issuer transaction observed by public dashboard before explorer label
adv_020,false_negative,source_basis_ok,exchange_halt,community_or_unknown,protocol_shutdown,founder_source_boundary,source_basis_ok,Protocol emergency shutdown reported by verified founder account
adv_021,true_negative,ok,etf_or_fund_flow,trusted_media,rumor,,"source_basis_ok,observable_impact_ok",ETF executive says Bitcoin may rise this year
adv_022,true_negative,ok,upgrade_or_fork,official,maintenance_notice,,observable_impact_ok,Developer SDK release improves wallet integration
adv_023,true_negative,ok,upgrade_or_fork,official,maintenance_notice,,observable_impact_ok,Validator deadline reminder for optional software update
adv_024,true_negative,ok,stablecoin_supply_or_flow,onchain_verified,small_internal_transfer,,observable_impact_ok,Small internal exchange transfer of 200K USDT
adv_025,true_negative,ok,whale_position,community_or_unknown,rumor,,"source_basis_ok,observable_impact_ok",KOL claims whale may buy BTC soon
adv_026,true_negative,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,,observable_impact_ok,Old exploit recap from last week resurfaces
adv_027,true_negative,ok,governance,official,maintenance_notice,,observable_impact_ok,Protocol posts educational article about governance
adv_028,true_negative,ok,exchange_halt,official,maintenance_notice,,observable_impact_ok,Exchange announces website maintenance window
adv_029,true_negative,ok,exploit_or_theft,onchain_or_security_research,soft_security_warning_without_loss,threshold_boundary,observable_impact_ok,No-loss phishing warning without transaction evidence
adv_030,true_negative,ok,etf_or_fund_flow,trusted_media,rumor,,"source_basis_ok,observable_impact_ok",ETF analyst commentary without actual flow data
