candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags
cand_00001,news:3002:a1eb533f3bef00de,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,,,,Asia/Shanghai,source_rule:tg:,,2026-05-19 10:42:30 UTC+8,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,AI包月「续杯」终结！谷歌Gemini改用「算力限额」,"AI包月「续杯」终结！谷歌Gemini改用「算力限额」
谷歌针对其 AI 助手 Gemini 的服务条款发布公告，宣布自 2026 年 5 月 17 日起，全面调整年满 18 周岁用户的用量限额规则。Gemini 将彻底弃用传统的「每日固定提问次数」限制，改用基于计算的用量限额，额度每 5 小时刷新一次并设有每周上限。
根据新规，系统将依据提示的复杂程度、用户所用功能以及对话长度来实时计算额度消耗。使用 Pro 模型、Deep Research、扩展思考与 Deep Think 以及生成图片、视频或音乐等媒体功能，将更快速地消耗额度。付费用户的限额倍数将与订阅价格直接挂钩，8 美元/月的 AI Plus 用户享有 2 倍于免费用户的额度，20 美元/月的 AI Pro 用户享有 4 倍额度，而 250 美元/月的 AI Ultra 用户额度则高达免费用户的 20 倍。
信源：https://support.google.com/gemini/answer/17004136?hl=zh-Hans",tg:OneMillion_AI,https://t.me/OneMillion_AI/2155,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,medium,high,true,,,market_wide_event
cand_00002,2056565573220245928,2026-05-19T02:40:16Z,2026-05-19 10:40:16 UTC+8,2026-05-19T02:40:16Z,2026-05-19 10:40:16 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 10:40:16 UTC+8,2026-05-19T02:40:16Z,2026-05-19 10:40:16 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,美联储新主席即将宣誓就职，谷歌与黑石合作推出AI云公司,币界网消息，据Cointelegraph报道，今日新闻摘要包括：凯文·沃什将于周五宣誓就任新任美联储主席，接替杰罗姆·鲍威尔。谷歌与黑石联合推出AI云公司，黑石承诺提供50亿美元股权支持。Bitwise宣布将持有$HYPE代币，分配其HyperLiquid ETF（BHYP）管理费的10%用于该代币。Meta计划裁减20%员工，7000名员工转向AI项目，重组定于5月20日。美国证券交易委员会（SEC）取消“禁言令”，允许公司在达成和解后不再保持沉默。埃隆·马斯克将向第九巡回法院上诉，因法院驳回对OpenAI的诉讼。预计美国CPI通胀率将上升至5%以上，可能为2023年2月以来最高水平。一位美国官员称，伊朗最新和平提案“不足”，提高了冲突风险。明尼苏达州州长签署法案，允许银行和信用合作社。,webhook,,HYPE,,HYPEUSDT,macro,observe,4,market_wide,high,high,true,,,market_wide_event
cand_00003,news:1005:0fe1b62e9da10cd5,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,,,,UTC,source_rule:news:cointelegraph,,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,SEC Exemption Tokenized Stock Trading: Report,"SEC Exemption Tokenized Stock Trading: Report Ecosystem English News Markets Features Learn Sponsored About XMR $390.32 1.60% LINK $9.73 2.83% DOGE $0.1044 0.15% ADA $0.2519 1.30% BTC $76,970 0.22% ZEC $566.99 6.48% SOL $85.20 0.72% XRP $1.38 0.02% BCH $382.22 3.47% ETH $2,134 0.89% HYPE $47.67 5.19% TRX $0.3571 0.24% BNB $643.64 0.55% Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. SEC to make ‘innovation exemption’ for tokenized stock trading: Report Latest News Published May 19, 2026 Several SEC officials reportedly didn’t support the decision, while tokenization platform Securitize flagged risks with enabling third-party platforms to issue tokenized stocks. The US Securities and Exchange Commission is reportedly making an “innovation exemption” for blockchain-based tokenized trading of public companies, even those that don’t consent to the third-party tokens tracking their share prices. Bloomberg reported on Monday that the exemption could come as early as this week, expanding the trading of public companies beyond traditional stock exchanges to decentralized crypto platforms. The SEC reportedly spoke with “hundreds of market participants” for feedback on how best to tailor the rules for tokenized trading and proposed that third-party tokens carry the same benefits as common stock, such as voting rights and dividends, or risk being delisted. Details haven’t been finalized and could change before the exemption is made, Bloomberg reported, citing people familiar with the matter. SEC Commissioner Hester Peirce led the push for tokenized stock trading to receive an innovation exemption, the sources said. Blockchain-based tokenization has attracted growing interest from Wall Street firms over the past few years, as it’s seen as offering potentially greater efficiencies for trading and settlement than traditional systems. The New York Stock Exchange’s parent, Intercontinental Exchange, said in January that it would launch a tokenization platform for 24/7 trading and settlement of stocks and exchange-traded funds using a blockchain post-trade system, marking one of the biggest developments in the tokenization space to date. Source: Nate Geraci Bullish, the crypto exchange led by former NYSE president Tom Farley, also strengthened its tokenization capabilities earlier this month with its $4.2 billion acquisition of transfer agent platform Equiniti. Backers of tokenized stock trading have also said the technology can promote financial inclusion by enabling individuals without access to US markets or traditional brokerage accounts to gain exposure to public companies including Nvidia (NVDA), Google (GOOGL) and Tesla (TSLA). Related: Kraken parent Payward sees revenue surge as tokenization expands Despite the expected exemption, some SEC officials do not support the decision to allow tokenized stock trading, according to the sources. Cointelegraph reached out to the SEC for comment but did not receive an immediate response. Securitize president pushes back against exemption Meanwhile, Brett Redfearn, president of one of the biggest crypto-native tokenization platforms, Securitize, expressed concerns over the SEC’s expected exemption, arguing that enabling third parties to tokenize stock “without an issuer at the table” could lead to fragmentation issues. It could leave investors less certain over what their shares are worth, Redfearn said. Source: Securitize Tokenized trading has also expanded into the pre-IPO space, enabling investors to gain exposure to sought-after private companies before they go public. However, some of these companies, including OpenAI and Anthropic, have opposed unauthorized tokenized stocks tracking their valuations. The SEC’s tokenization move comes after the Senate Banking Committee advanced the CLARITY Act on Thursday, setting it up for a full Senate floor vote next month. Several industry pundits, including “Shark Tank” investor Kevin O’Leary, have said Wall Street firms won’t fully embrace tokenization unless there is a framework like the CLARITY Act in place and that issues over ownership are ironed out. Magazine: eToro founder timed Bitcoin top perfectly due to belief in 4 year cycles Cointelegraph is committed to independent, transparent journalism. This news article is produced in accordance with Cointelegraph’s Editorial Policy and aims to provide accurate and timely information. Readers are encouraged to verify information independently. Tokenization Wall Street Stocks Trading SEC Blockchain More on the subject SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young News Latest News Markets Bitcoin Ethereum Altcoins Blockchain Regulation Sponsored Sponsored Articles Press Releases Research Ecosystem Magazine Accelerator Events Decentralization Guardians LONGITUDE Event About About Cointelegraph Editorial Policy Ads Disclosure Financial Risk Disclaimer Cointelegraph is committed to providing independent, high-quality journalism across the crypto, blockchain, AI, and fintech industries. All news, reviews, and analyses are produced with full journalistic independence and integrity. For more details on our standards and processes, please read our Editorial Policy . © Cointelegraph 2013 - 2026 Terms of Service and Privacy Policy",news:cointelegraph,https://cointelegraph.com/news/sec-to-make-innovation-exemption-for-tokenized-stock-trading-report?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ADA,ADAUSDT,ADAUSDT,macro,observe,4,multi_asset,low,high,true,,,"multi_asset,market_wide_event"
cand_00004,news:1033:8243e393bf9544e6,2026-05-19T02:32:50Z,2026-05-19 10:32:50 UTC+8,2026-05-19T02:32:50Z,2026-05-19 10:32:50 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,2026-05-19 10:32:50 UTC+8,2026-05-19T02:32:50Z,2026-05-19 10:32:50 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,英伟达CEO黄仁勋：随着时间推移，市场将会开放,英伟达CEO黄仁勋：随着时间推移，市场将会开放。,news:jin10,https://www.jin10.com/detail/20260519023250418800.html,,,,other,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00005,news:1033:1a662ebbb2b73218,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,夜盘主力合约收盘,截至2:30收盘，沪金主力合约收涨0.04%，报998元/克，沪银主力合约收涨1.02%，报18840元/千克，SC原油主力合约收涨2.17%，报687元/桶。,news:jin10,https://www.jin10.com/detail/20260519023127933800.html,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,medium,high,true,,,market_wide_event
cand_00006,2056563352873443781,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,据香港 01 报道，前香港湾仔警署总督察何兆东于 5 月 18 日在法院正式承认受贿及公职人员行为失当等 4 项罪名。案情显示，何兆东涉嫌收受商人曲海鹏超过 114 万港元（约合 14.6 万美元）的现金与礼物。作为回报，何利用职权多次向该,"据香港 01 报道，前香港湾仔警署总督察何兆东于 5 月 18 日在法院正式承认受贿及公职人员行为失当等 4 项罪名。案情显示，何兆东涉嫌收受商人曲海鹏超过 114 万港元（约合 14.6 万美元）的现金与礼物。作为回报，何利用职权多次向该商人泄露警方内部资料，并在调查中给予优待。据悉，涉案商人曾于 2021 年报案称被骗取了价值 1700 万美元的加密货币，该案与该商人的另一起案件均由何兆东所在的湾仔警区处理并受到其非法干预。本案目前已押后至 5 月 26 日进行宣判。
https://t.co/tXnOfiIMzy",webhook,,BTC,BTCUSDT,BTCUSDT,macro,observe,4,market_wide,medium,high,true,,,market_wide_event
cand_00007,news:1033:74666c0cd6cc1860,2026-05-19T02:31:24Z,2026-05-19 10:31:24 UTC+8,2026-05-19T02:31:24Z,2026-05-19 10:31:24 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,2026-05-19 10:31:24 UTC+8,2026-05-19T02:31:24Z,2026-05-19 10:31:24 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,上海黄金交易所黄金T+D 5月18日（周一）晚盘收盘下跌0.06%报996.01元/克；上海黄金交易所白银T+D 5月1…,上海黄金交易所黄金T+D 5月18日（周一）晚盘收盘下跌0.06%报996.01元/克；上海黄金交易所白银T+D 5月18日（周一）晚盘收盘上涨1.9%报18760.0元/千克。,news:jin10,https://www.jin10.com/detail/20260519023124498800.html,,,,other,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00008,news:1033:9f4f8cc06d66b031,2026-05-19T02:30:24Z,2026-05-19 10:30:24 UTC+8,2026-05-19T02:30:24Z,2026-05-19 10:30:24 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,2026-05-19 10:30:24 UTC+8,2026-05-19T02:30:24Z,2026-05-19 10:30:24 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,英伟达CEO黄仁勋：内存需求将超过产能,英伟达CEO黄仁勋：内存需求将超过产能。,news:jin10,https://www.jin10.com/detail/20260519023024339800.html,,,,other,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00009,news:3001:fcd03a97b1d25e1b,2026-05-19T02:28:37Z,2026-05-19 10:28:37 UTC+8,2026-05-19T02:28:37Z,2026-05-19 10:28:37 UTC+8,,,,Asia/Shanghai,source_rule:tg:,,2026-05-19 10:28:37 UTC+8,2026-05-19T02:28:37Z,2026-05-19 10:28:37 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,交易员Loracle加仓HYPE空单20万枚，总规模升至6810万美元,"交易员Loracle加仓HYPE空单20万枚，总规模升至6810万美元
受HYPE持续走强，今晨站至48美元上方。Hyperliquid 知名交易员「Loracle」连续加仓摊平HYPE空单，累计增持约20万枚（价值约合940万美元）。
目前，其以5倍杠杆做空144.3万枚HYPE，价值约合6810万美元，均价由41.8美元升至42.55美元，浮亏达676万美元（-47%）。
此外，最大多头持仓者，市场曾疑为「HYPE上币内幕」巨鲸仍长持HYPE多单。现以5倍杠杆做多138万枚，价值约合 6530 万美元，均价38.67美元，浮盈1190万美元。
📌 地址：0x8def9f50456c6c4e37fa5d3d57f108ed23992dae
📌 地址：0x082e843a431aef031264dc232693dd710aedca88
Hyperliquid 官网查看:https://app.hyperliquid.xyz/",tg:HyperInsight,https://t.me/HyperInsight/88753,HYPE,,HYPEUSDT,macro,observe,4,market_wide,high,high,true,,,market_wide_event
cand_00010,news:1033:23dac6176a696327,2026-05-19T02:27:40Z,2026-05-19 10:27:40 UTC+8,2026-05-19T02:27:40Z,2026-05-19 10:27:40 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,2026-05-19 10:27:40 UTC+8,2026-05-19T02:27:40Z,2026-05-19 10:27:40 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,伊朗总统：对话并不意味着屈服,伊朗总统：对话并不意味着屈服。伊朗以尊严、权威和维护国家权益的姿态进行对话，绝不会在任何情况下退让人民和国家的合法权利。我们将以逻辑和全力服务人民，直到最后，捍卫伊朗的利益和尊严。,news:jin10,https://www.jin10.com/detail/20260519022740541800.html,,,,other,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
