candidate_id,raw_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,primary_entity,primary_entity_type,detected_entity_names,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,relevance_score_realtime,impact_score,certainty_score,timeliness_score,entity_quality_score,source_count,duplicate_count,discard_reason,primary_discard_reason,secondary_discard_reasons,tradability_tier,tradability_tier_reason,channel_route,entity_flags,quality_flags,recommended_benchmark,benchmark_reason,manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_notes
cand_00077,2056534324389028320,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,Asia/Shanghai,source_rule:webhook,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with","Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.

https://t.co/Z3vQB9Mk8z https://t.co/U6SMTvfHfd",webhook,,HYPE,asset_hype,asset,Hyperliquid|Whale,whale_position,whale_wallet_position,single_asset,human_review,medium,76.5,85,90.0,80,85,2,2,,,,T4,unsupported_asset_research_only,unsupported_research,,,BTC_ETH_BLEND,token_event_uses_blended_btc_eth,,,,,
cand_00419,news:1006:80c4d6c2f38d9763,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,Asia/Shanghai,default_china,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,https://bitcoinmagazine.com/news/white-house-strategic-bitcoin-reserve,BTC,asset_btc,asset,Bitcoin|Hacker,regulation_macro,bitcoin_reserve_policy,single_asset,human_review,medium,76.25,75,85.0,80,85,3,2,,,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00253,news:1023:a107c66a5b937a7d,2026-05-19 05:00:00 UTC+8,2026-05-18T21:00:00Z,2026-05-19 05:00:00 UTC+8,2026-05-19 05:00:00 UTC+8,2026-05-18T21:00:00Z,2026-05-19 05:00:00 UTC+8,UTC,source_rule:news:cryptonews,HIVE soars over 35% on plans for $2.55b Toronto AI 'super factory',"HIVE Digital is pivoting from Bitcoin mining to a CAD 3.5b, 320 MW Toronto AI “super factory” hosting 100,000+ GPUs, sending its stock up over 35% on the news.

HIVE Digital Technologies, long known as a Bitcoin ( BTC ) mining company, has unveiled plans for a 320 MW AI infrastructure park in the Greater Toronto Area, a move that sent its shares up more than 35% at the open after the news broke on Monday, according to The Block. The company described the project as an AI “super factory” and said it aims to create one of Canada’s largest sovereign AI campuses at a time when demand for data center power and GPUs is exploding.

HIVE said the buildout will be led by its high‑performance computing subsidiary BUZZ, with total capital expenditure expected to reach roughly CAD 3.5 billion, or about $2.55 billion at current exchange rates. Once fully completed, the site is expected to support more than 100,000 GPUs across multiple large‑scale data halls dedicated to training and running AI models, putting the project in the same power class as some US hyperscale campuses.

The company is targeting the second half of 2027 for initial operations at the Toronto‑area AI park, suggesting a multi‑year construction and power‑procurement timeline that aligns with typical hyperscale data center projects. Management framed the site as “sovereign” AI infrastructure, signaling that HIVE wants to position the campus as a Canadian‑controlled alternative to US cloud and chip majors for governments, enterprises, and local AI startups.

HIVE did not disclose detailed financing plans in the initial announcement but indicated the CAD 3.5 billion budget includes land, power infrastructure, cooling, data center construction, and GPU hardware. Given the scale, the company is likely to lean on a mix of equity, debt, and potential partnerships with hardware vendors or cloud customers to lock in anchor tenants ahead of the 2027 launch.

The Toronto project marks the most aggressive step yet in HIVE’s ongoing shift away from pure Bitcoin mining toward AI and high‑performance computing infrastructure. In recent years, the firm has expanded GPU clusters and AI‑oriented data center operations in Paraguay and Sweden, effectively using its expertise in energy‑intensive mining to bootstrap a different kind of compute business.

That strategic pivot has taken place against a backdrop of rising competition and margin compression in Bitcoin mining, while GPU‑rich AI infrastructure has become one of the hottest capital‑markets stories of the cycle. By tying its future to a 320 MW “super factory” capable of hosting over 100,000 GPUs on Canadian soil, HIVE is betting that investors will reward it more as an AI data center operator than as a cyclical crypto miner — a bet Monday’s 35%+ share price pop suggests the market is, at least initially, willing to entertain.",news:cryptonews,https://crypto.news/hive-soars-over-35-on-plans-for-2-55b-toronto-ai-super-factory/,BTC,asset_btc,asset,Bitcoin|AI|HIVE Digital,regulation_macro,regulation,market_wide,human_review,medium,75.75,65,95.0,80,85,3,3,,,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00074,2056535371408724123,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,Asia/Shanghai,source_rule:webhook,Santiment：持有至少100 BTC的钱包数量增至20229,"币界网消息，据Cointelegraph报道，持有至少100枚BTC的钱包数量已上升至20,229个，比一年前增长了11.2%。这表明，尽管市场波动，鲸鱼和机构投资者仍在持续积累比特币。",webhook,,BTC,asset_btc,asset,Bitcoin|Wallet|Santiment,onchain_data,wallet_metric,single_asset,human_review,medium,75.0,80,90.0,80,85,2,1,,,,T1,direct_asset_event_with_price,alpha_candidate,,,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00025,2056554729204003176,2026-05-19 09:57:11 UTC+8,2026-05-19T01:57:11Z,2026-05-19 09:57:11 UTC+8,2026-05-19 09:57:11 UTC+8,2026-05-19T01:57:11Z,2026-05-19 09:57:11 UTC+8,Asia/Shanghai,source_rule:webhook,"燕子回来了！💪

「先定 10 个大目标」老哥晒图展示其 $BTC 空单已浮盈 1222.5 万美元，但具体仓位和开仓点位并未露出

05.06 时他止损 BTC 空单最大亏损约 286.7 万美元，这下一把子都回来了","燕子回来了！💪

「先定 10 个大目标」老哥晒图展示其 $BTC 空单已浮盈 1222.5 万美元，但具体仓位和开仓点位并未露出

05.06 时他止损 BTC 空单最大亏损约 286.7 万美元，这下一把子都回来了",webhook,,BTC,asset_btc,asset,Bitcoin|US Dollar,whale_position,whale_wallet_position,market_wide,human_review,medium,73.5,75,90.0,80,85,2,1,,,,T1,direct_asset_event_with_price,alpha_candidate,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00484,2056417103637254305,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,Asia/Shanghai,source_rule:webhook,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,,ETH,asset_eth,asset,Ethereum|Hacker,hack_security,exploit_or_theft,single_asset,human_review,medium,72.75,90,85.0,80,85,1,0,,,,T1,direct_asset_event_with_price,alpha_candidate,,,BTCUSDT,eth_event_uses_btc_or_market_basket,,,,,
cand_00493,2056415265085079912,2026-05-19 00:43:00 UTC+8,2026-05-18T16:43:00Z,2026-05-19 00:43:00 UTC+8,2026-05-19 00:43:00 UTC+8,2026-05-18T16:43:00Z,2026-05-19 00:43:00 UTC+8,Asia/Shanghai,source_rule:webhook,"JUST IN: Strategy $MSTR has generated an 84,987 #Bitcoin gain ($6.6 billion) so far this year, which is already 75% of t","JUST IN: Strategy $MSTR has generated an 84,987 #Bitcoin gain ($6.6 billion) so far this year, which is already 75% of the entire 2025 BTC gain. 

""Digital credit is helping us deliver faster growth in 2026 than in 2025,"" said CEO Phong Le. 🔥 https://t.co/VOvgjmcQWo",webhook,,BTC,asset_btc,asset,Bitcoin|Strategy,institutional_flow,etf_or_fund_flow,market_wide,human_review,medium,72.0,70,90.0,80,85,2,4,,,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00304,news:1023:433959eb334ddec6,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,UTC,source_rule:news:cryptonews,Kraken revenue hits $507m in Q1 despite slump,"Kraken revenue rose 3% year-on-year to $507m in Q1 2026 as futures trading jumped 51%, Payward said Monday.

Payward, Kraken’s Wyoming-based parent company, said in a Monday press release that it generated $507 million in Q1 2026 adjusted revenue, up 3% from the same quarter a year earlier. Bitcoin fell 22% during the quarter and industry-wide spot trading volume dropped 38%, yet Payward’s diversified platform cushioned the decline.

A year earlier, Payward had reported $492 million in Q1 2025 adjusted revenue, making the 3% year-on-year gain notable given the steeper market downturn this cycle.

Co-CEO Arjun Sethi said in the release: “Where others pulled back, we leaned in.” Growth in futures and newer business lines offset weakness in core crypto markets, with Kraken’s spot market share rising to 5.2% in March from roughly 3.5% in mid-2025.

Rival platforms reported sharper declines in trading revenue over the same period. Payward attributed its resilience to its stronger institutional business and growing derivatives offering, built partly through its $550 million acquisition of CFTC-licensed platform Bitnomial, which crypto.news covered when the deal completed on May 4.

Total platform transaction volume reached $357 billion in Q1, while funded accounts rose 47% year-on-year to 6.1 million and assets on platform reached $40 billion.

Adjusted EBITDA fell to $18 million as Payward continued investing in acquisitions including tokenization platform Backed, token management firm Magna, Bitnomial, and payments company Reap.

Crypto.news reported that non-trading revenue sources including custody, payments, and financing accounted for 53% of Payward’s 2025 total, a structural shift that reduces dependence on volatile trading volumes.

Payward filed its draft S-1 with the SEC confidentially in November 2025 but paused the process in March, citing market conditions. Sources indicate a public listing may slip to 2027. The exchange also cut approximately 150 employees in May, attributing the reductions to AI-driven operational efficiencies, representing roughly 5% of its total workforce.

Payward’s M&A push positions it as the most comprehensively regulated crypto derivatives platform in the US. Crypto.news documented how the Bitnomial deal and Deutsche Börse’s $200 million stake established Payward as a regulated hub for digital asset futures and options inside the US, with its IPO filing remaining active.",news:cryptonews,https://crypto.news/kraken-revenue-hits-507m-in-q1-despite-slump/,BTC,asset_btc,asset,Bitcoin|CFTC|RWA|Kraken,institutional_flow,etf_or_fund_flow,market_wide,human_review,medium,72.0,70,90.0,80,85,2,1,,,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00047,2056545124453327243,2026-05-19 09:19:01 UTC+8,2026-05-19T01:19:01Z,2026-05-19 09:19:01 UTC+8,2026-05-19 09:19:01 UTC+8,2026-05-19T01:19:01Z,2026-05-19 09:19:01 UTC+8,Asia/Shanghai,source_rule:webhook,Lookonchain：过去4天内发生3起重大黑客攻击事件,"币界网消息，据Lookonchain监测，过去4天内链上连续发生3起重大黑客攻击事件。其中，Thorchain于5月15日被盗超1000万美元Verus-Ethereum跨链桥于5月18日被盗约1150万美元。今日最新发生的一起攻击针对Echo Protocol，黑客恶意铸造了1,000枚eBTC（价值约7664万美元），并已借此窃取了385枚ETH（价值约82.1万美元）。",webhook,,ETH,asset_eth,asset,Ethereum|eBTC|US Dollar|Hacker|Echo Protocol|THORChain|Lookonchain,hack_security,exploit_or_theft,single_asset,human_review,medium,70.75,90,85.0,80,65,1,1,,,,T1,direct_asset_event_with_price,alpha_candidate,multiple_assets_detected,market_wide_event,BTCUSDT,eth_event_uses_btc_or_market_basket,,,,,
cand_00011,2056561304169812267,2026-05-19 10:23:18 UTC+8,2026-05-19T02:23:18Z,2026-05-19 10:23:18 UTC+8,2026-05-19 10:23:18 UTC+8,2026-05-19T02:23:18Z,2026-05-19 10:23:18 UTC+8,Asia/Shanghai,source_rule:webhook,黑客攻击Monad Echo协议，损失约7600万美元,"币界网消息，据Lookonchain报道，Monad Echo协议遭遇重大黑客攻击，攻击者铸造了1,000枚eBTC，价值约7660万美元。黑客allegedly将部分资金作为抵押在Curvance借入WBTC，并将资产跨链至以太坊，随后将其兑换为ETH，并通过Tornado Cash转移了约385 ETH。目前，攻击者仍控制着约955枚eBTC，价值超过7300万美元。这已是短短4天内发生的第三起重大加密攻击事件。",webhook,,ETH,asset_eth,asset,Ethereum|Wrapped Bitcoin|eBTC|US Dollar|Hacker|Monad|Curvance|Tornado Cash|Lookonchain,hack_security,exploit_or_theft,single_asset,human_review,medium,70.75,90,85.0,80,65,1,0,,,,T1,direct_asset_event_with_price,alpha_candidate,multiple_assets_detected,market_wide_event,BTCUSDT,eth_event_uses_btc_or_market_basket,,,,,
