source_id,source_type,source_family,adapter_script,primary_output,enabled,shadow_mode,latency_target_seconds,cost_level,confidence_level,tg_default_route,evaluation_status,last_eval_date,owner,notes
hyperliquid_clearinghouse_state,hyperliquid,first_hand_onchain,scripts/watch_hyperliquid_positions.py,data/watcher_alerts_hyperliquid_positions.csv,true,false,300,free,medium,board,needs_more_outcomes,,local,"Hyperliquid large position snapshots and changes; static positions should be downranked unless changed or near liquidation."
token_unlock_calendar,token_unlock,calendar,scripts/watch_token_unlock_calendar.py,data/watcher_alerts_token_unlocks.csv,true,false,3600,free,medium,digest,needs_more_outcomes,,local,"Token unlock calendar; mostly static supply background, default to digests unless very large or imminent."
long_short,long_short,derivatives,scripts/watch_binance_long_short_ratios.py,data/binance_long_short_snapshot.csv,true,false,600,free,medium,board,needs_more_outcomes,,local,"Binance USD-M long/short and taker ratio context; use as market-structure context, not standalone direction."
cex_netflow,cex_netflow,flow,scripts/watch_cex_netflows.py,data/watcher_alerts_cex_netflows.csv,true,false,300,free,medium,board,needs_baseline,,local,"CEX netflow signals require rolling baseline or z-score before strong routing."
stablecoin_flow,stablecoin_flow,flow,scripts/watch_stablecoin_mint_burn.py,data/watcher_alerts_stablecoin_mint_burn.csv,true,false,300,free,medium,board,needs_baseline,,local,"Stablecoin mint/burn or treasury transfer; useful as liquidity background, needs baseline."
address_transfer,address_transfer,first_hand_onchain,scripts/watch_eth_address_transfers.py,data/watcher_alerts_address_transfers.csv,true,true,300,free,medium,archive,shadow_collect,,local,"Curated Ethereum address transfer watcher; keep shadow until more useful address/entity mapping is proven."
funding_rate,funding_rate,derivatives,scripts/watch_binance_funding_rates.py,data/watcher_alerts_binance_funding.csv,true,true,600,free,medium,archive,shadow_collect,,local,"Funding rate watcher; requires rolling extremes before TG use."
cex_listing_announcement,exchange_listing,announcement,scripts/watch_cex_listing_announcements.py,data/watcher_alerts_cex_listings.csv,true,true,600,free,medium,archive,shadow_collect,,local,"CEX listing announcement watcher; should be validated against price and duplicate news noise."
lending_liquidation,lending_liquidation,defi,scripts/watch_lending_liquidations.py,data/watcher_alerts_lending_liquidations.csv,true,true,300,free,medium,archive,shadow_collect,,local,"Lending liquidation watcher; keep shadow until source produces non-empty real samples."
raw_news_real,news,news_import,scripts/import_raw_news_to_event_candidates.py,data/event_candidates_real_500_older_review.csv,true,true,86400,free,low,archive,historical_only,,local,"Historical raw news import; useful for replay/backtest, not direct TG source yet."
tg_hyperinsight,news,historical_news,scripts/build_historical_source_usefulness_from_backtest.py,results/v10_historical_signal_quality_by_source.csv,true,true,86400,free,low,archive,historical_promising,,local,"Historical source bucket tg:HyperInsight looked promising in older replay but needs non-BTC/ETH and live validation."
webhook_legacy,news,historical_news,scripts/build_historical_source_usefulness_from_backtest.py,results/v10_historical_signal_quality_by_source.csv,true,true,86400,free,low,archive,benchmark_polluted,,local,"Historical webhook bucket is heavily BTC/ETH benchmark-polluted; do not use for abnormal-vs-BTC conclusions without separation."
