candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_event_subtype,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags
cand_00001,news:3002:60fac6cc5c88296c,2026-06-01T03:33:04Z,2026-06-01 11:33:04 UTC+8,2026-06-01T03:33:04Z,2026-06-01 11:33:04 UTC+8,2026-06-01T03:33:04Z,2026-06-01T03:33:04Z,2026-06-01 11:33:04 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 11:33:04 UTC+8,2026-06-01T03:33:04Z,2026-06-01 11:33:04 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,黄仁勋详解 Vera Rubin 为何而生：Agent 时代需要全新的异构计算底座,"黄仁勋详解 Vera Rubin 为何而生：Agent 时代需要全新的异构计算底座
黄仁勋在 GTC Taipei 2026 演讲中，围绕 Agent 的计算需求重新阐释了 Vera Rubin 平台的设计逻辑，强调「Vera Rubin 不是一颗芯片，不只是一块 GPU，而是一整套从端到端设计的系统」。他称其为英伟达公司历史上最具雄心的项目，全公司 4 万名工程师参与打造。
黄仁勋以 Agent 的运行机制解释了为什么需要这样一套系统。Agent 本质上是一种聚合与分布式的异构计算模型：大语言模型（大脑）在 GPU 上思考，每一次推理都会激活整排 Grace Blackwell NVLink 72；编排引擎（身体）在 CPU 上调度全流程；工具调用（工作坊）同时动用 CPU 和 GPU；安全层运行在英伟达 BlueField DPU 上，实现数据静态、传输和使用中的全程加密，遵循机密计算标准。记忆系统涵盖 KV 缓存、数据压缩与检索，他预言这将彻底革新存储行业。
Vera Rubin 全栈包含：Rubin GPU + NVLink 6 互联、Vera CPU、ConnectX-9 SuperNIC、BlueField-4 DPU 安全处理器，以及 DOCA 软件栈。黄仁勋同时宣布，所有 CUDA X 库将配备「技能」（Agent Skills），让 Agent 像读说明书一样学会调用这些库，未来 Agent 使用 CUDA X 的效率将远超人类。
黄仁勋表示，英伟达已从 GPU 公司进化为系统公司，如今正再次转型：客户不想买计算机，而是要建 AI 工厂。英伟达的生态已扩展到电力供应、冷却系统、电网等工业基础设施，目标是交付完整的全栈系统，让客户直接构建 AI 基础设施。
信源：https://www.nvidia.com/en-tw/gtc/taipei/keynote/",tg:OneMillion_AI,https://t.me/OneMillion_AI/2415,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00002,news:1033:bd1c28fb54495086,2026-06-01T01:58:25Z,2026-06-01 09:58:25 UTC+8,2026-06-01T01:58:25Z,2026-06-01 09:58:25 UTC+8,2026-06-01T01:58:25Z,2026-06-01T01:58:25Z,2026-06-01 09:58:25 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:58:25 UTC+8,2026-06-01T01:58:25Z,2026-06-01 09:58:25 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,伊朗总统已向最高领袖办公室提交辞职请求,据总部位于伦敦的伊朗国际电视台援引一位知情人士透露，伊朗总统佩泽希齐扬已通过正式信函向最高领袖办公室提交辞职请求。消息人士称，佩泽希齐扬在周日发出的信中强调，总统和政府实际上已被排除在国家重大和关键的决策过程之外，这种情况造成的权力真空使得伊朗伊斯兰革命卫队内部的强硬派系得以控制局势。佩泽希齐扬补充说，在这种情况下，他无法管理政府并履行其法律职责，因此他已要求立即辞职。,news:jin10,https://www.jin10.com/detail/20260601015825115800.html,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00003,news:2012:34c7b59162cae270,2026-06-01T01:51:22Z,2026-06-01 09:51:22 UTC+8,2026-06-01T01:51:22Z,2026-06-01 09:51:22 UTC+8,2026-06-01T01:51:22Z,2026-06-01T01:51:22Z,2026-06-01 09:51:22 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:51:22 UTC+8,2026-06-01T01:51:22Z,2026-06-01 09:51:22 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Bithumb将上线HNT韩元交易对,据官方公告，Bithumb 将上线 HNT 韩元交易对。,news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/485667,,,,exchange_listing,listing_delisting,observe,3,unknown,low,high,true,,,missing_asset
cand_00004,news:2012:5b327a4c10990570,2026-06-01T01:51:02Z,2026-06-01 09:51:02 UTC+8,2026-06-01T01:51:02Z,2026-06-01 09:51:02 UTC+8,2026-06-01T01:51:02Z,2026-06-01T01:51:02Z,2026-06-01 09:51:02 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:51:02 UTC+8,2026-06-01T01:51:02Z,2026-06-01 09:51:02 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,韩国KOSPI指数日内大涨4.00%,据 Gate 数据，韩国 KOSPI 指数日内大涨 4.00%，现报 8816.00 点。,news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/485666,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00005,news:3001:b3689791747a74e0,2026-06-01T01:50:38Z,2026-06-01 09:50:38 UTC+8,2026-06-01T01:50:38Z,2026-06-01 09:50:38 UTC+8,2026-06-01T01:50:38Z,2026-06-01T01:50:38Z,2026-06-01 09:50:38 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:50:38 UTC+8,2026-06-01T01:50:38Z,2026-06-01 09:50:38 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,HYPE最大空头Loracle已将价值6400万美元现货转入Hyperliquid，并伴随空单止损,"HYPE最大空头Loracle已将价值6400万美元现货转入Hyperliquid，并伴随空单止损
随着HYPE大涨至70美元上方，HYPE最大空头「交易员Loracle」于过去数小时持续减持其HYPE空仓，截至发稿，其5倍杠杆空单规模由1.02亿美元降至6094万美元，当前亏损仍达2258万美元（-74%）。
据悉，周末时间内Loracle已将其链上89.3万枚HYPE现货转入Hyperliquid，伴随价格拉涨，该笔现货价值由5450万美元升值至6400万美元，目前暂未卖出
此前一个月，该巨鲸已累计解锁2次、共计111.5万枚HYPE（价值约6351万美元）。在可清晰追踪的链上记录中，其已于5月21日（HYPE首破新高当日）抛售55.7万枚HYPE，价值约3335万美元。
📌 合约地址：0x8def9f50456c6c4e37fa5d3d57f108ed23992dae
📌 链上质押地址：0xE44bd27c9F10fa2F89fdb3ab4B4F0E460da29EA8
Hyperliquid 官网查看:https://app.hyperliquid.xyz/",tg:HyperInsight,https://t.me/HyperInsight/89426,HYPE,,HYPEUSDT,macro,macro_event,observe,4,market_wide,high,high,true,,,market_wide_event
cand_00006,news:3002:44bfb2a3f5fb6b09,2026-06-01T01:46:21Z,2026-06-01 09:46:21 UTC+8,2026-06-01T01:46:21Z,2026-06-01 09:46:21 UTC+8,2026-06-01T01:46:21Z,2026-06-01T01:46:21Z,2026-06-01 09:46:21 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:46:21 UTC+8,2026-06-01T01:46:21Z,2026-06-01 09:46:21 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,MiniMax发布M3大模型：编程能力超越GPT-5.5，支持原生多模态桌面操控,"MiniMax发布M3大模型：编程能力超越GPT-5.5，支持原生多模态桌面操控
MiniMax 今日正式发布大模型 MiniMax M3。M3 是目前唯一齐备编程、超长上下文与原生多模态三大前沿要素的开源路线大模型（计划 10 天内正式开源权重），在代码生成、智能体和桌面操控上达国际领先水平，可在 MiniMax Code、Token Plan 及 API 中体验。
针对超长上下文，M3 首创稀疏注意力架构 MSA，通过 KV 块聚合命中查询，访存比 Flash-Sparse-Attention 快 4 倍。在 100 万上下文下，新架构将每 token 计算量降至上代的二十分之一，实现预填充 9 倍、解码 15 倍加速。
在 SWE-Bench Pro 上，M3 取得 59.0% 成绩，超越 GPT-5.5 与 Gemini 3.1 Pro，接近 Opus 4.7，在 Terminal Bench 2.1 取得 66.0% 得分。团队还构建了交互式用户模拟器框架，用于训练模型的长期协同规划与多轮交互能力。
实测中，M3 自主运行 12 小时复现 ICLR 2025 论文并观测到 DPO 效应。在 Hopper 优化 FP8 算子任务中，24 小时内自主调用工具 1959 次，将硬件利用率从 7.6% 推进至 71.3%，加速 9.4 倍。在 PostTrainBench 自主训练模型实测中，模型获得 0.37 分，虽略低于 Opus 4.7 与 GPT-5.5，但明显领先其余模型。
MiniMax Code 同步更新，支持 computer use 桌面操控。订阅方案 Plus 档每月 49 元获 6 亿 token，约是 Claude Pro 订阅的 5 倍容量。API 现已上线，提供 thinking 推理与 non-thinking 快速模式，权重计划 10 天内开源。
信源：https://mp.weixin.qq.com/s/JbjyiXI0kP2Wlqbd-q0www",tg:OneMillion_AI,https://t.me/OneMillion_AI/2410,,,,exchange_listing,listing_delisting,observe,3,unknown,low,high,true,,,missing_asset
cand_00007,news:1033:b76794efa64a7318,2026-06-01T01:34:48Z,2026-06-01 09:34:48 UTC+8,2026-06-01T01:34:48Z,2026-06-01 09:34:48 UTC+8,2026-06-01T01:34:48Z,2026-06-01T01:34:48Z,2026-06-01 09:34:48 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:34:48 UTC+8,2026-06-01T01:34:48Z,2026-06-01 09:34:48 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,据以色列第12频道援引消息人士称，真主党在48小时内向以色列北部发射了50多枚火箭弹,据以色列第12频道援引消息人士称，真主党在48小时内向以色列北部发射了50多枚火箭弹。,news:jin10,https://www.jin10.com/detail/20260601013448033800.html,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00008,news:1033:c9f48fae35e78b9f,2026-06-01T01:24:32Z,2026-06-01 09:24:32 UTC+8,2026-06-01T01:24:32Z,2026-06-01 09:24:32 UTC+8,2026-06-01T01:24:32Z,2026-06-01T01:24:32Z,2026-06-01 09:24:32 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:24:32 UTC+8,2026-06-01T01:24:32Z,2026-06-01 09:24:32 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,伊朗外交部长：我们不应该重视猜测,伊朗外交部长：我们不应该重视猜测。,news:jin10,https://www.jin10.com/detail/20260601012432623800.html,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00009,news:1033:f978450094420d1f,2026-06-01T01:20:31Z,2026-06-01 09:20:31 UTC+8,2026-06-01T01:20:31Z,2026-06-01 09:20:31 UTC+8,2026-06-01T01:20:31Z,2026-06-01T01:20:31Z,2026-06-01 09:20:31 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:20:31 UTC+8,2026-06-01T01:20:31Z,2026-06-01 09:20:31 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,伊朗外交部长：在达成明确结果之前，我们无法对谈判做出判断,伊朗外交部长：在达成明确结果之前，我们无法对谈判做出判断。,news:jin10,https://www.jin10.com/detail/20260601012031055800.html,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
cand_00010,news:1033:f5784e451d99d1e9,2026-06-01T01:20:15Z,2026-06-01 09:20:15 UTC+8,2026-06-01T01:20:15Z,2026-06-01 09:20:15 UTC+8,2026-06-01T01:20:15Z,2026-06-01T01:20:15Z,2026-06-01 09:20:15 UTC+8,UTC,source_timezone_field,0.0,2026-06-01 09:20:15 UTC+8,2026-06-01T01:20:15Z,2026-06-01 09:20:15 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,伊朗外交部长：与美国的会谈和信息交流仍在进行,伊朗外交部长：与美国的会谈和信息交流仍在进行。,news:jin10,https://www.jin10.com/detail/20260601012015413800.html,,,,other,needs_taxonomy_review,observe,3,unknown,low,high,true,,,"missing_asset,unknown_event_type"
