command_id,category,command,purpose,primary_outputs,safe_default,requires_network,requires_secret,notes,script_exists
quality_gate,project_os,python scripts/run_v06_quality_gate.py,"Run the full v0.6 gate, refresh Project State, Dashboard, Claude indexes, and Project OS validation.",docs/PROJECT_DASHBOARD.md; results/project_os_validation_report.md,yes,no,no,Preferred full refresh command.,yes
daily_private_pilot,publishing_draft,python scripts/run_daily_private_pilot.py,"Run the local private-pilot MVP workflow: prefilter candidates, generate drafts, validate draft safety, summarize feedback, classify other_review reasons, build approved pool, and refresh the dashboard.",data/event_candidates_v06_tg_prefilter_pass.csv; data/tg_drafts_v06_private_pilot.csv; data/tg_drafts_v06_approved_pool.csv; results/daily_private_pilot_report.md,yes,no,no,"Does not call Telegram, does not auto-send, and does not use market-data network calls.",yes
daily_private_pilot_ai_review,publishing_draft,python scripts/run_daily_private_pilot.py --ai-review,Run the local private-pilot workflow and fill draft review fields with Claude/OpenRouter suggestions.,data/tg_drafts_v06_private_pilot.csv; data/tg_drafts_v06_private_pilot_ai_reviewed.csv; results/tg_draft_ai_review_summary.csv; results/daily_private_pilot_report.md,conditional,yes,yes,Requires OPENROUTER_API_KEY only in the current terminal environment. Does not call Telegram or auto-send.,yes
daily_private_pilot_report,publishing_draft,python scripts/build_daily_private_pilot_report.py,"Build the one-page daily private-pilot report from draft, validation, feedback, other_review, dashboard, and Claude backlog state.",results/daily_private_pilot_summary.csv; results/daily_private_pilot_report.md,yes,no,no,Read-only report generator.,yes
tg_draft_rule_improvement,publishing_draft,python scripts/build_tg_draft_rule_improvement_report.py,Convert AI-rejected/noisy TG drafts into concrete local rule-improvement candidates.,results/tg_draft_rule_improvement_report.csv; results/tg_draft_rule_improvement_report.md,yes,no,no,Local analysis only; does not change classification rules by itself.,yes
project_os_validation,project_os,python scripts/validate_project_os.py,"Validate Project OS freshness, gates, boundary checks, secret scan state, and Claude decision consistency.",results/project_os_validation_report.md; results/project_os_validation_summary.csv,yes,no,no,"Use after generating prerequisite reports, or run quality_gate instead.",yes
secret_scan,security,python scripts/check_secret_leaks.py,"Scan local project text files for likely leaked API keys, tokens, passwords, and private keys.",results/secret_leak_report.md; results/secret_leak_summary.csv,yes,no,no,Report uses redacted matches only.,yes
local_environment,project_os,python scripts/check_local_environment.py,"Check Python version, required packages, required directories, and optional Claude API key environment state.",results/local_environment_report.md; results/local_environment_summary.csv,yes,no,no,OPENROUTER_API_KEY is informational; missing is acceptable unless querying Claude.,yes
cursor_prompt,agent_handoff,python scripts/generate_cursor_prompt.py,Generate file-based Cursor handoff prompt from local Project OS state.,docs/CURSOR_NEXT_PROMPT.md,yes,no,no,Does not automate Cursor UI.,yes
claude_prompt,agent_handoff,python scripts/generate_claude_question_prompt.py --force,"Generate the current Claude consultation prompt from backlog, state, decisions, and review packets.",docs/CLAUDE_NEXT_PROMPT.md,yes,no,no,Does not send the prompt.,yes
claude_query,agent_handoff,python scripts/query_claude_next.py,Send docs/CLAUDE_NEXT_PROMPT.md to Claude via OpenRouter and refresh Project OS after response.,results/claude_next_response_*.md; docs/CLAUDE_RESPONSE_INDEX.md; docs/CLAUDE_DECISION_REVIEW.md,conditional,yes,yes,Requires OPENROUTER_API_KEY in the current terminal environment. Do not write the key to files.,yes
claude_index,agent_handoff,python scripts/index_claude_responses.py,Index local Claude response files stored in results/.,docs/CLAUDE_RESPONSE_INDEX.md; results/claude_response_index.csv,yes,no,no,Does not mark recommendations as accepted.,yes
claude_decision_review,agent_handoff,python scripts/build_claude_decision_review_queue.py,Extract reviewable decision/action items from Claude responses without auto-applying them.,docs/CLAUDE_DECISION_REVIEW.md; data/claude_decision_review_queue.csv,yes,no,no,Accepted direction still requires docs/DECISIONS.md entry.,yes
project_review_actions,project_os,python scripts/build_project_review_actions.py,"Turn dashboard review metrics into explicit action items with owner, next step, and evidence.",docs/PROJECT_REVIEW_ACTIONS.md; data/project_review_action_queue.csv,yes,no,no,Does not approve direction-level changes.,yes
artifact_manifest,project_os,python scripts/build_artifact_manifest.py,Build a required artifact manifest so core local files are visible and protected from accidental deletion.,docs/ARTIFACT_MANIFEST.md; results/artifact_manifest.csv; results/artifact_manifest_summary.csv,yes,no,no,Checks existence and freshness policy for core project outputs.,yes
v07_first_hand_watchers,first_hand_intel,python scripts/run_v07_first_hand_watchers.py --hours 24 --limit-alerts 100,"Run the local v0.7 first-hand watcher MVP: watched address alerts, stablecoin mint/burn alerts, Hyperliquid large-position alerts, event normalization, and TG draft preview.",data/watcher_alerts_raw.csv; data/watcher_alerts_hyperliquid_positions.csv; data/watcher_events_raw.csv; data/tg_drafts_v07_watcher_private_pilot.csv; results/v07_watcher_daily_report.md,yes,conditional,conditional,Uses ETHERSCAN_API_KEY from the current terminal if set for Ethereum sources. Hyperliquid uses its public info endpoint. Does not call Telegram or auto-send.,yes
v07_watchlist_validation,first_hand_intel,python scripts/validate_v07_watchlists.py,"Validate v0.7 watcher address, stablecoin, and Hyperliquid watchlists before live API/TG testing.",results/v07_watchlist_validation_report.csv; results/v07_watchlist_validation_summary.csv; results/v07_watchlist_validation_report.md,yes,no,no,"Checks address format, duplicates, required labels/entities/categories, and positive thresholds.",yes
v07_first_hand_watchers_backfill,first_hand_intel,python scripts/run_v07_first_hand_watchers.py --hours 24 --limit-alerts 100 --backfill,Run v0.7 watcher MVP and verify normalized watcher events against the existing Binance price backfill/quality pipeline.,results/v07_watcher_event_price_backfill.csv; results/v07_watcher_event_quality_report.csv; results/tg_drafts_v07_watcher_validation_summary.csv,conditional,yes,conditional,Backfill uses public Binance market data. Live watcher mode requires ETHERSCAN_API_KEY in the current terminal; no Telegram send.,yes
tg_draft_test_send_dry_run,publishing_draft,python scripts/send_tg_draft_test.py --input data/tg_drafts_v07_watcher_private_pilot.csv --limit 1,Dry-run one local TG draft test message without calling Telegram.,results/tg_draft_test_send_summary.csv,yes,no,no,Prints message preview only. No Telegram API call.,yes
tg_draft_test_send,publishing_draft,python scripts/send_tg_draft_test.py --input data/tg_drafts_v07_watcher_private_pilot.csv --limit 1 --send,Manually send one local TG draft test message after TELEGRAM_BOT_TOKEN and TELEGRAM_CHAT_ID are set in the current terminal.,results/tg_draft_test_send_summary.csv,conditional,yes,yes,Manual test only. Refuses auto_send_enabled=true rows. Does not store token or chat id.,yes
v07_tg_live_monitor,publishing_live,python scripts/run_v07_tg_live_monitor.py --send --interval-seconds 300 --max-send-per-cycle 3 --limit-alerts 100,"Continuously run first-hand watchers, validate TG drafts, dedupe by candidate_id, and send new watcher alerts to Telegram.",results/v07_tg_live_monitor_summary.csv; data/tg_live_sent_state.csv; results/v07_tg_live_monitor.log,conditional,yes,yes,Loads ignored local secrets if present. Use scripts/stop_v07_tg_live_monitor.ps1 to stop the background monitor. No trading integration.,yes
v07_tg_live_monitor_stop,publishing_live,powershell -ExecutionPolicy Bypass -File scripts/stop_v07_tg_live_monitor.ps1,Stop the background v0.7 watcher-to-TG live monitor using the recorded pid file.,results/v07_tg_live_monitor.pid,yes,no,no,Does not delete sent-state. Existing dedupe history remains intact.,yes
binance_long_short_snapshot,market_structure,python scripts/watch_binance_long_short_ratios.py --output data/binance_long_short_snapshot.csv --summary results/v08_binance_long_short_summary.csv --period 1h --limit 2,Fetch public Binance USD-M top-trader/global long-short and taker buy-sell ratios for morning digest context.,data/binance_long_short_snapshot.csv; results/v08_binance_long_short_summary.csv,conditional,yes,no,"Public market-data only. Context for crowding/structure, not a direction instruction.",yes
tg_morning_digest,publishing_digest,python scripts/build_tg_morning_digest.py --output results/v08_tg_morning_digest.md --summary results/v08_tg_morning_digest_summary.csv,Build the China-time morning digest for the previous evening/night window without sending to Telegram.,results/v08_tg_morning_digest.md; results/v08_tg_morning_digest_summary.csv; data/binance_long_short_snapshot.csv,conditional,yes,no,Dry-run/report mode. Server timer uses --send with Telegram env loaded at runtime.,yes
tg_noon_digest,publishing_digest,python scripts/build_tg_morning_digest.py --digest-label noon --window-end-hour 12 --window-hours 4 --output results/v08_tg_noon_digest.md --summary results/v08_tg_noon_digest_summary.csv,Build the China-time noon digest for the morning window without sending to Telegram.,results/v08_tg_noon_digest.md; results/v08_tg_noon_digest_summary.csv; data/binance_long_short_snapshot.csv,conditional,yes,no,Dry-run/report mode. Server timer uses --send with Telegram env loaded at runtime.,yes
tg_evening_digest,publishing_digest,python scripts/build_tg_morning_digest.py --digest-label evening --window-end-hour 20 --window-hours 8 --output results/v08_tg_evening_digest.md --summary results/v08_tg_evening_digest_summary.csv,Build the China-time evening digest for the daytime window without sending to Telegram.,results/v08_tg_evening_digest.md; results/v08_tg_evening_digest_summary.csv; data/binance_long_short_snapshot.csv,conditional,yes,no,Dry-run/report mode. Server timer uses --send with Telegram env loaded at runtime.,yes
tg_sent_state_metadata_enrichment,publishing_quality,python scripts/enrich_tg_sent_state_metadata.py,Backfill missing event_type/asset/severity metadata in local TG sent-state rows from local TG draft CSV files.,data/tg_live_sent_state.csv; results/v08_tg_sent_state_metadata_enrichment_summary.csv,yes,no,no,Creates a .bak backup before overwriting sent-state. Does not send Telegram messages.,yes
tg_source_usefulness_report,publishing_quality,python scripts/build_tg_source_usefulness_report.py --lookback-days 7,Summarize live TG source usefulness from sent alerts and 4h/24h follow-up coverage.,results/v08_tg_source_usefulness_report.md; results/v08_tg_source_usefulness_summary.csv; results/v08_tg_source_usefulness_by_source.csv,yes,no,no,Local quality/operations report only. Uses sent alerts and 4h/24h follow-up data; does not use Telegram replies or reactions. Does not provide trading advice.,yes
tg_quality_loop,publishing_quality,python scripts/run_tg_quality_loop.py --lookback-days 7 --followup-min-age-hours 4,"Run the full TG quality loop: sent-state metadata enrichment, follow-up report, and source usefulness report.",results/v08_tg_quality_loop_summary.csv; results/v08_tg_alert_followup_report.md; results/v08_tg_source_usefulness_report.md,yes,yes,no,"Uses public Binance market data through follow-up backfill. Does not collect Telegram replies/reactions, send messages, or trade.",yes
historical_signal_replay_broad_200,backtest,python scripts/run_v08_historical_signal_replay.py --limit 200 --mode broad,Replay up to 200 older mature historical candidates through event price backfill to increase signal sample size.,data/events_v08_historical_replay_broad_200.csv; results/v08_historical_replay_broad_200_price_backfill.csv; results/v08_historical_replay_broad_200_findings.md,conditional,yes,no,Uses public Binance data and local cache. Research/quality analysis only; not a live publishing rule.,yes
historical_signal_replay_conservative_120,backtest,python scripts/run_v08_historical_signal_replay.py --limit 120 --mode conservative,Replay a cleaner high-score subset of older mature historical candidates for comparison against broad replay.,data/events_v08_historical_replay_conservative_120.csv; results/v08_historical_replay_conservative_120_price_backfill.csv; results/v08_historical_replay_conservative_120_findings.md,conditional,yes,no,Still dominated by BTC/macro in the current dataset; interpret abnormal-vs-BTC carefully.,yes
historical_source_usefulness_v081,source_quality,python scripts/build_historical_source_usefulness_from_backtest.py --backfill results/v08_historical_replay_conservative_120_price_backfill.csv --quality results/v08_historical_replay_conservative_120_quality_report.csv --by-event-type results/v081_historical_source_usefulness_by_event_type.csv --by-source results/v081_historical_source_usefulness_by_source.csv --summary results/v081_historical_source_usefulness_summary.csv --output results/v081_historical_source_usefulness_report.md,Summarize event/source usefulness from historical backtest rows after v081 token-unlock cleanup.,results/v081_historical_source_usefulness_report.md; results/v081_historical_source_usefulness_by_event_type.csv; results/v081_historical_source_usefulness_by_source.csv,yes,no,no,Research/source QA only. Does not send Telegram messages or produce trade instructions.,yes
source_readiness_v081,source_quality,python scripts/build_v08_source_readiness_report.py --candidates data/event_candidates_real_500_older_v081_review_suggested.csv --historical-event-type results/v081_historical_source_usefulness_by_event_type.csv --historical-source results/v081_historical_source_usefulness_by_source.csv --output results/v081_source_readiness_report.md --summary results/v081_source_readiness_summary.csv,"Build readiness checklist for token unlock, CEX listings, CEX netflow baseline, Hyperliquid state history, and source usefulness.",results/v081_source_readiness_report.md; results/v081_source_readiness_summary.csv,yes,no,no,Uses local historical replay outputs and watcher state files. Source QA only.,yes
