action_id,area,metric,current_value,target,owner,requires_claude,can_do_locally,next_step,evidence_file,status
review_project_os_validation_review_count,project_os,project_os_validation_review_count,2,tracked,project_os,no,yes,Keep review items visible; do not treat Project OS validation review rows as blocking failures.,results/project_os_validation_report.md,open
review_other_review_keep_review_count,relevance,other_review_keep_review_count,5,small manual queue,local_rules,no,yes,Inspect the remaining keep_review rows from the other_review split and convert recurring patterns into explicit taxonomy/entity rules.,results/v06_other_review_reason_summary.md,open
review_private_pilot_draft_count,tg_draft,private_pilot_draft_count,9,10-20,local_rules,no,yes,"Keep the first private-pilot queue intentionally small after prefilter tightening; expand only by adding higher-quality sources or eligible event types, not by relaxing noise filters.",results/daily_private_pilot_report.md,open
review_stratified_selected_count,backtest,stratified_selected_count,37,50 desired,claude_product,yes,no,Decide whether to relax event_type caps or improve scarce event-type classification first. Do not change caps locally without direction approval.,results/v043_stratified_selection_diagnostics.md,open
review_v043_selected_v06_discard_rows,backtest,v043_selected_v06_discard_rows,14,0 for clean current sample,local_research,no,yes,Treat v043 backtest as historical baseline and inspect discarded selected rows before using it as current evidence.,results/v043_selection_vs_v06_relevance_audit.md,open
review_v043_selected_v06_discard_rate,backtest,v043_selected_v06_discard_rate,0.3784,historical baseline only,local_research,no,yes,Use v0.6-filtered preview rather than old v043 selection for any future clean backtest branch.,results/v043_selection_vs_v06_relevance_audit.md,open
review_v043_safe_as_current_evidence,backtest,v043_safe_as_current_evidence,no,yes for current conclusions,local_research,no,yes,Keep v043 labeled as historical_baseline_only until a v0.6-filtered clean sample is approved and backtested.,results/v043_selection_vs_v06_relevance_audit.md,open
review_v06_preview_asset_high_risk,backtest,v06_preview_asset_high_risk,11,0 before clean backtest,local_rules_then_claude,partial,partial,Apply only obvious dictionary/rule fixes; route protocol exploit and multi-chain policy questions to Claude/product direction.,results/v06_filtered_preview_asset_attribution_audit.md,open
review_ready_for_statistical_conclusions,backtest,ready_for_statistical_conclusions,no,yes before product claims,local_research_then_claude,partial,partial,Do not cite event-type performance as a product conclusion; use the readiness report to decide what local cleanup remains and what needs Claude/product approval.,results/backtest_readiness_report.md,open
review_backtest_readiness_review_count,backtest,backtest_readiness_review_count,5,0 before conclusion use,local_research_then_claude,partial,partial,Reduce local data-quality review items where possible; route policy-level blockers to Claude/product direction.,results/backtest_readiness_report.md,open
review_v06_entity_protocol_exploit_policy_rows,backtest,v06_entity_protocol_exploit_policy_rows,5,ask Claude/policy,claude_product,yes,no,"Define primary-asset policy for exploit rows that mix protocol, chain, minted asset, stolen asset, and returned asset.",results/v06_entity_rule_review_packet.md,open
review_pending_claude_decision_items,claude,pending_claude_decision_items,778,review before implementation,project_direction,yes,no,"Send docs/CLAUDE_NEXT_PROMPT.md, then convert accepted recommendations into docs/DECISIONS.md before implementation.",docs/CLAUDE_DECISION_REVIEW.md,open
