item_id,source_file,response_type,line_number,section_heading,line_type,suggested_scope,recommendation_text,decision_status,decision_id,implementation_status,review_notes,content_sha256_16
claude_543ac47df43a43a2,results\claude_cost_control_response.md,next_consultation,12,1. When Should Claude Review Events?,bullet,unknown,**Recommendation: Only uncertain cases after multi-stage filtering**,pending,,not_started,,543ac47df43a43a2
claude_8270357b7b993ab4,results\claude_cost_control_response.md,next_consultation,23,2. Deterministic Local Rules (Pre-LLM Filter),bullet,unknown,**Must implement before any AI call:**,pending,,not_started,,8270357b7b993ab4
claude_eb8b4a4727559d57,results\claude_cost_control_response.md,next_consultation,32,Immediate Auto-Discard:,bullet,macro_policy,Non-English without translation (if English-only policy),pending,,not_started,,eb8b4a4727559d57
claude_80c57432ef4b80b7,results\claude_cost_control_response.md,next_consultation,52,"Small Model Tier (GPT-4o-mini, Claude Haiku, or Llama 3.1 8B local):",bullet,unknown,"**Simple binary decisions**: ""Does this mention a specific exploit?"" ""Is this about a token listing?""",pending,,not_started,,80c57432ef4b80b7
claude_13d077fb61555791,results\claude_cost_control_response.md,next_consultation,68,Claude-Level Model:,bullet,unknown,"**Critical insight:** Small models are 90% as good for structured tasks, 60% as good for judgment calls. Route accordingly.",pending,,not_started,,13d077fb61555791
claude_05babe6363176b24,results\claude_cost_control_response.md,next_consultation,80,For On-Chain Events:,bullet,unknown,"**Do NOT batch time-sensitive events** (large exploits, major transfers)",pending,,not_started,,05babe6363176b24
claude_e1c146e0117882c3,results\claude_cost_control_response.md,next_consultation,82,For On-Chain Events:,bullet,unknown,"Separate fast-track queue for high-value events (>$1M, known hacker wallets)",pending,,not_started,,e1c146e0117882c3
claude_f476a21fabb428c8,results\claude_cost_control_response.md,next_consultation,85,Batching Anti-Pattern to Avoid:,bullet,unknown,"Don't batch >200 events - quality degrades, timeouts increase",pending,,not_started,,f476a21fabb428c8
claude_55cef8ccf8607922,results\claude_cost_control_response.md,next_consultation,86,Batching Anti-Pattern to Avoid:,bullet,unknown,Don't batch mixed languages - context confusion,pending,,not_started,,55cef8ccf8607922
claude_e177322f836e2d4b,results\claude_cost_control_response.md,next_consultation,87,Batching Anti-Pattern to Avoid:,bullet,unknown,Don't delay critical events for batch efficiency,pending,,not_started,,e177322f836e2d4b
claude_305f22481a51a8cb,results\claude_cost_control_response.md,next_consultation,91,Batching Anti-Pattern to Avoid:,sentence,unknown,Queue 1 (real-time): High-priority events → immediate small model → Claude if needed,pending,,not_started,,305f22481a51a8cb
claude_7e5bb4d312104575,results\claude_cost_control_response.md,next_consultation,113,Decision Tree:,sentence,unknown,└─> Claude Decision,pending,,not_started,,7e5bb4d312104575
claude_fa195a41d602688f,results\claude_cost_control_response.md,next_consultation,134,New Requirements:,bullet,tg,**Volume explosion**: 100x more events than Telegram (every block has transactions),pending,,not_started,,fa195a41d602688f
claude_dcb87e841ec89911,results\claude_cost_control_response.md,next_consultation,135,New Requirements:,bullet,unknown,**Structured data**: On-chain events are machine-readable (no NLP needed for extraction),pending,,not_started,,dcb87e841ec89911
claude_3e84b940aef26350,results\claude_cost_control_response.md,next_consultation,136,New Requirements:,bullet,unknown,**Real-time expectations**: Exploit detection must be <1 min latency,pending,,not_started,,3e84b940aef26350
claude_a01fa78835f7f75f,results\claude_cost_control_response.md,next_consultation,137,New Requirements:,bullet,unknown,"**High signal variance**: 99.9% of transactions are routine, 0.1% are critical",pending,,not_started,,a01fa78835f7f75f
claude_fd4790d0ad68770e,results\claude_cost_control_response.md,next_consultation,148,Architecture Adaptations:,sentence,unknown,└─> Anomaly Detection: Statistical outliers → PRIORITY_REVIEW,pending,,not_started,,fd4790d0ad68770e
claude_a50016486efbd203,results\claude_cost_control_response.md,next_consultation,163,Architecture Adaptations:,bullet,unknown,Ambiguous multi-step transactions requiring reasoning,pending,,not_started,,a50016486efbd203
claude_d71519fd121aa6ac,results\claude_cost_control_response.md,next_consultation,166,Architecture Adaptations:,bullet,unknown,"**Critical change:** On-chain watchers should generate **structured alerts**, not raw events. LLMs review alerts, not transactions.",pending,,not_started,,d71519fd121aa6ac
claude_1cd1a8ec3f260947,results\claude_cost_control_response.md,next_consultation,176,Hybrid Architecture:,bullet,tg,"**Cost impact:** With proper filtering, on-chain events should cost LESS per published alert than Telegram scraping (more structured, less noise).",pending,,not_started,,1cd1a8ec3f260947
claude_5bb1c9458e70ddb2,results\claude_cost_control_response.md,next_consultation,239,Primary Metrics (Track Weekly):,bullet,unknown,Should decrease over time as rules improve,pending,,not_started,,5bb1c9458e70ddb2
claude_6f8d4dceb9dcabb4,results\claude_cost_control_response.md,next_consultation,256,Primary Metrics (Track Weekly):,bullet,unknown,**Human override rate**: % of AI decisions reversed by humans,pending,,not_started,,6f8d4dceb9dcabb4
claude_09385dca5f8eb3e7,results\claude_cost_control_response.md,next_consultation,307,Concrete First Implementation (Week 1),bullet,unknown,**Don't overthink it. Start here:**,pending,,not_started,,09385dca5f8eb3e7
claude_b9614cecb40803bc,results\claude_cost_control_response.md,next_consultation,310,Concrete First Implementation (Week 1),numbered,unknown,**Route remainder to Claude** with confidence scoring prompt - 1 day,pending,,not_started,,b9614cecb40803bc
claude_d58dee70a18d2a86,results\claude_next_response_20260527_163346.md,next_consultation,12,Executive Assessment,bullet,qa,"**Product direction**: Fundamentally sound, but you're over-engineering the quality gates before proving the core value hypothesis.",pending,,not_started,,d58dee70a18d2a86
claude_e5434900edddbae8,results\claude_next_response_20260527_163346.md,next_consultation,16,Executive Assessment,bullet,taxonomy,"**Critical gap**: You don't know if anyone wants this product. You're optimizing classification accuracy without user feedback on what ""high-value"" actually means.",pending,,not_started,,e5434900edddbae8
claude_a63945776e052ab3,results\claude_next_response_20260527_163346.md,next_consultation,28,"1. **""TG drafts amplify labeling errors, so delay until <8.5% review rate""**",bullet,tg,"You're treating TG as ""production"" when it should be your *ground truth collection tool*",pending,,not_started,,a63945776e052ab3
claude_d89895eec2867e86,results\claude_next_response_20260527_163346.md,next_consultation,47,"2. **""Asset attribution must be perfect before backtest""**",bullet,tg,Separate the pipelines: `publish_candidates.csv` vs `backtest_clean.csv`,pending,,not_started,,d89895eec2867e86
claude_8080faf2d75bd7d0,results\claude_next_response_20260527_163346.md,next_consultation,78,1. **Ship TG Research Preview by Friday** ⚠️ CRITICAL,bullet,tg,"**Acceptance**: 30+ events posted, 10+ feedback reactions received",pending,,not_started,,8080faf2d75bd7d0
claude_5d419b38c9818a2d,results\claude_next_response_20260527_163346.md,next_consultation,83,2. **Split Publish and Backtest Pipelines**,bullet,tg,**Why**: Attribution ambiguity blocks publishing but shouldn't.,pending,,not_started,,5d419b38c9818a2d
claude_1ad1e103f84530e1,results\claude_next_response_20260527_163346.md,next_consultation,98,New routing logic,bullet,unknown,Document the split in `DECISIONS.md`,pending,,not_started,,1ad1e103f84530e1
claude_220a9652fa247acc,results\claude_next_response_20260527_163346.md,next_consultation,108,3. **Collapse `other_review` into Explicit Reject Reasons**,sentence,unknown,discard_weak_relevance # Crypto-related but not actionable,pending,,not_started,,220a9652fa247acc
claude_697ae7fe85ef793d,results\claude_next_response_20260527_163346.md,next_consultation,126,"4. **Define ""Protocol Exploit Primary Asset"" Policy**",bullet,asset_attribution,**Recommended policy**:,pending,,not_started,,697ae7fe85ef793d
claude_1b2ec0c8f9be9a1e,results\claude_next_response_20260527_163346.md,next_consultation,132,"4. **Define ""Protocol Exploit Primary Asset"" Policy**",bullet,asset_attribution,Route: alpha_candidate (exploits are high-signal),pending,,not_started,,1b2ec0c8f9be9a1e
claude_ff3c41fe7e1cb535,results\claude_next_response_20260527_163346.md,next_consultation,140,"4. **Define ""Protocol Exploit Primary Asset"" Policy**",bullet,asset_attribution,Policy documented in `DECISIONS.md`,pending,,not_started,,ff3c41fe7e1cb535
claude_c79cce60b42cfa12,results\claude_next_response_20260527_163346.md,next_consultation,184,Solve Now (Critical Path),bullet,taxonomy,**Q17: Split `other_review` bucket?**,pending,,not_started,,c79cce60b42cfa12
claude_e070c358c7585989,results\claude_next_response_20260527_163346.md,next_consultation,185,Solve Now (Critical Path),sentence,taxonomy,"→ **Yes, immediately.** Use 4 explicit discard reasons (see Action #3). ""Other"" is where your classification bugs hide.",pending,,not_started,,e070c358c7585989
claude_165ad9659ec59a21,results\claude_next_response_20260527_163346.md,next_consultation,187,Solve Now (Critical Path),bullet,tg,**Q20: Hard gate for TG pilot?**,pending,,not_started,,165ad9659ec59a21
claude_27847432090f18b3,results\claude_next_response_20260527_163346.md,next_consultation,188,Solve Now (Critical Path),sentence,qa,"→ **Wrong question.** The gate should be ""research preview"" vs ""production.""",pending,,not_started,,27847432090f18b3
claude_e3abf2b5b6b1120a,results\claude_next_response_20260527_163346.md,next_consultation,196,Solve This Month (High Value),bullet,asset_attribution,**Q2: Separate macro/single-asset feeds?**,pending,,not_started,,e3abf2b5b6b1120a
claude_48602e7efa82e745,results\claude_next_response_20260527_163346.md,next_consultation,197,Solve This Month (High Value),sentence,product,"→ **Yes, separate sections in same channel.** Format:",pending,,not_started,,48602e7efa82e745
claude_6054080acb6342a5,results\claude_next_response_20260527_163346.md,next_consultation,207,Solve This Month (High Value),sentence,unknown,Users scan differently for these. Measure engagement separately.,pending,,not_started,,6054080acb6342a5
claude_584a574a826d2345,results\claude_next_response_20260527_163346.md,next_consultation,213,Solve This Month (High Value),sentence,taxonomy,"→ **New L1 type: `legal_enforcement`.** Distinct from hacks (technical) and regulation (policy). Examples: Ponzi busts, fraud charges, sanctions. Route to `research_only` unless tied to specific tradable asset.",pending,,not_started,,584a574a826d2345
claude_b825481ab56cf850,results\claude_next_response_20260527_163346.md,next_consultation,222,Solve This Month (High Value),sentence,unknown,"→ **95% minimum.** These bypass human review entirely, so threshold must be high. Start at 98% until you have 500+ auto-closed examples.",pending,,not_started,,b825481ab56cf850
claude_9aba9a055ad7f5cc,results\claude_next_response_20260527_163346.md,next_consultation,229,Solve After TG Pilot (Deferred),sentence,tg,→ **Defer.** Current BTC/ETH abnormal return is fine for initial backtest. Don't build market basket until you prove single-asset events are valuable.,pending,,not_started,,9aba9a055ad7f5cc
claude_e0ff122051719e27,results\claude_next_response_20260527_163346.md,next_consultation,241,Solve After TG Pilot (Deferred),sentence,tg,"→ **Defer.** Publish a few as `research_only`, measure engagement. Likely separate feed later.",pending,,not_started,,e0ff122051719e27
claude_e54072356c854ecf,results\claude_next_response_20260527_163346.md,next_consultation,247,Solve After TG Pilot (Deferred),sentence,tg,"→ **Defer.** Log conflicts, review monthly. Don't build override logic until you see patterns (need 50+ conflicts).",pending,,not_started,,e54072356c854ecf
claude_d9392670f6c5ffc7,results\claude_next_response_20260527_163346.md,next_consultation,250,Solve After TG Pilot (Deferred),sentence,tg,→ **Defer.** Keep them separate for now. Revisit after 3 months if certain research_only categories get high engagement.,pending,,not_started,,d9392670f6c5ffc7
claude_3f0e0d8d1fc48ab3,results\claude_next_response_20260527_163346.md,next_consultation,271,Must Have Now,numbered,asset_attribution,**Exploit event primary-asset policy** (5 blocked events),pending,,not_started,,3f0e0d8d1fc48ab3
claude_df4bf9e5ff4d2044,results\claude_next_response_20260527_163346.md,next_consultation,281,High Value This Month,bullet,unknown,Determines if you need separate feeds,pending,,not_started,,df4bf9e5ff4d2044
claude_af8ba8f9f95ff0b3,results\claude_next_response_20260527_163346.md,next_consultation,298,1. **No User Feedback Loop** ⚠️ CRITICAL,sentence,unknown,"You built a quality pipeline without defining quality. User feedback should be your primary metric, not internal review rate.",pending,,not_started,,af8ba8f9f95ff0b3
claude_323cd6461ba652c0,results\claude_next_response_20260527_163346.md,next_consultation,307,2. **Publish and Backtest Conflated**,bullet,tg,**Fix**: Separate `publish_candidates` (medium risk OK) from `backtest_clean` (strict).,pending,,not_started,,323cd6461ba652c0
claude_911a3bcc0ce1154c,results\claude_next_response_20260527_163346.md,next_consultation,330,5. **Over-Engineered Quality Gates**,sentence,qa,"You have 10 review actions, 5 audit reports, 3 preview files. This is analysis paralysis.",pending,,not_started,,911a3bcc0ce1154c
claude_1008e334eb658d13,results\claude_next_response_20260527_163346.md,next_consultation,332,5. **Over-Engineered Quality Gates**,bullet,qa,**Fix**: Collapse to 2 gates:,pending,,not_started,,1008e334eb658d13
claude_9a40bd14f38512f4,results\claude_next_response_20260527_163346.md,next_consultation,333,5. **Over-Engineered Quality Gates**,bullet,qa,**Research preview gate**: Can we show this to 10 users? (passed),pending,,not_started,,9a40bd14f38512f4
claude_9f4d424957ccf755,results\claude_next_response_20260527_163346.md,next_consultation,334,5. **Over-Engineered Quality Gates**,bullet,tg,**Auto-publish gate**: Do users find AI labels useful >70%? (not tested yet),pending,,not_started,,9f4d424957ccf755
claude_979ac85afa90b0a5,results\claude_next_response_20260527_163625.md,next_consultation,12,Executive Summary,bullet,qa,"**Product Direction**: Fundamentally sound. You're building a human-augmented intelligence filter, not a trading signal generator. The conservative approach (no auto-execution, human review gates) is correct for this domain.",pending,,not_started,,979ac85afa90b0a5
claude_ae57885237232975,results\claude_next_response_20260527_163625.md,next_consultation,16,Executive Summary,bullet,tg,**Critical Issue**: You're over-engineering the backtest validation when you should be shipping a minimal TG pilot to validate the product hypothesis. The 37-event backtest with 38% discard rate tells you the pipeline works but needs tuning - that's enough to start learning from real users.,pending,,not_started,,ae57885237232975
claude_e72f6e2e19d59b74,results\claude_next_response_20260527_163625.md,next_consultation,24,"A. ""Backtest statistical readiness is required before TG drafts""",bullet,tg,"**Why this is wrong**: You're building an intelligence feed, not a quantitative trading strategy. The backtest's purpose should be to catch catastrophic failures (wrong timestamps, broken price data, systematic entity misattribution), not to prove event-type performance with statistical significance.",pending,,not_started,,e72f6e2e19d59b74
claude_b7e19b135c055463,results\claude_next_response_20260527_163625.md,next_consultation,26,"A. ""Backtest statistical readiness is required before TG drafts""",bullet,tg,**What you should do instead**:,pending,,not_started,,b7e19b135c055463
claude_a4ab737de5e8e32c,results\claude_next_response_20260527_163625.md,next_consultation,29,"A. ""Backtest statistical readiness is required before TG drafts""",bullet,tg,"The real ""backtest"" is whether domain experts find your events actionable.",pending,,not_started,,a4ab737de5e8e32c
claude_1f6561fa4ad34bdd,results\claude_next_response_20260527_163625.md,next_consultation,43,"B. ""Manual review required rate of 6.47% is still too fragile for TG drafts""",bullet,tg,**What you should do instead**:,pending,,not_started,,1f6561fa4ad34bdd
claude_d9a7b0e7bd3014a3,results\claude_next_response_20260527_163625.md,next_consultation,48,"B. ""Manual review required rate of 6.47% is still too fragile for TG drafts""",bullet,tg,"**The real risk**: Not that 6.47% is too high, but that you don't have a fast human review workflow. If reviewing 13 events takes 2 hours, that's the bottleneck - not the percentage.",pending,,not_started,,d9a7b0e7bd3014a3
claude_23cb6b72530be861,results\claude_next_response_20260527_163625.md,next_consultation,56,"C. ""Protocol exploit events need primary-asset policy resolution before use""",bullet,asset_attribution,**What you should do instead**:,pending,,not_started,,23cb6b72530be861
claude_d4aa7c09f4c9e3fb,results\claude_next_response_20260527_163625.md,next_consultation,59,"C. ""Protocol exploit events need primary-asset policy resolution before use""",bullet,asset_attribution,"After 20-30 exploit events, you'll see which asset users actually care about for trading decisions",pending,,not_started,,d4aa7c09f4c9e3fb
claude_555e0b1b778f98ea,results\claude_next_response_20260527_163625.md,next_consultation,79,Priority 1: Ship Minimal TG Pilot This Week ⚡,bullet,tg,"Collect feedback: ""Would trade on this: Y/N"", ""Interesting but not actionable"", ""Noise""",pending,,not_started,,555e0b1b778f98ea
claude_8f4f41301ccf7841,results\claude_next_response_20260527_163625.md,next_consultation,80,Priority 1: Ship Minimal TG Pilot This Week ⚡,bullet,tg,"If >50% of events are marked ""interesting or actionable"", proceed to v0.7",pending,,not_started,,8f4f41301ccf7841
claude_6e55e334e9e165eb,results\claude_next_response_20260527_163625.md,next_consultation,82,Priority 1: Ship Minimal TG Pilot This Week ⚡,bullet,tg,"**Blocks removed**: Ignore backtest statistical readiness, ignore 8.5% review rate target, ignore exploit primary-asset policy.",pending,,not_started,,6e55e334e9e165eb
